fecha;mag001;mag006;mag007;mag008;mag010;mag012;mag014;mag020;mag030;mag035;mag042;mag043;mag044;mag009
2001-01-01;11.0;1.0;59.0;53.0;20.0;143.0;21.0;10.2;4.2;2.3;;;;
2001-01-02;10.0;1.0;75.0;65.0;28.0;179.0;25.0;11.5;4.7;2.5;;;;
2001-01-03;11.0;1.0;86.0;69.0;34.0;201.0;17.0;14.2;5.0;3.0;;;;
2001-01-04;12.0;0.9;99.0;71.0;37.0;223.0;18.0;14.8;5.7;3.3;;;;
2001-01-05;10.0;1.2;112.0;63.0;31.0;235.0;11.0;17.9;6.1;4.1;;;;
2001-01-06;14.0;0.9;59.0;67.0;17.0;157.0;21.0;9.9;3.7;2.2;;;;
2001-01-07;21.0;0.9;56.0;70.0;20.0;155.0;18.0;10.0;3.8;2.2;;;;
2001-01-08;19.0;1.3;146.0;94.0;37.0;318.0;14.0;18.2;6.6;3.8;;;;
2001-01-09;27.0;1.3;129.0;85.0;40.0;283.0;7.0;21.6;6.2;4.1;;;;
2001-01-10;21.0;1.6;183.0;67.0;48.0;347.0;8.0;25.9;8.2;5.3;;;;
2001-01-11;10.0;1.0;95.0;58.0;30.0;204.0;16.0;14.6;5.0;3.2;;;;
2001-01-12;41.0;1.5;102.0;77.0;31.0;234.0;11.0;21.6;7.2;4.2;;;;
2001-01-13;43.0;1.6;141.0;87.0;48.0;304.0;9.0;23.2;7.4;4.3;;;;
2001-01-14;28.0;1.8;184.0;73.0;50.0;354.0;11.0;25.6;9.5;5.4;;;;
2001-01-15;19.0;1.4;146.0;63.0;50.0;286.0;8.0;22.0;7.7;4.5;;;;
2001-01-16;12.0;1.1;100.0;58.0;34.0;211.0;13.0;15.4;5.8;3.3;;;;
2001-01-17;13.0;1.1;100.0;60.0;38.0;215.0;14.0;15.3;5.7;3.3;;;;
2001-01-18;11.0;1.1;104.0;66.0;29.0;225.0;13.0;14.9;5.4;3.2;;;;
2001-01-19;26.0;1.5;133.0;82.0;43.0;285.0;11.0;19.7;7.1;4.1;;;;
2001-01-20;28.0;1.7;190.0;95.0;55.0;386.0;10.0;21.7;6.7;4.4;;;;
2001-01-21;30.0;1.9;199.0;82.0;56.0;387.0;11.0;0.0;0.0;1.0;;;;
2001-01-22;25.0;1.8;196.0;78.0;66.0;378.0;7.0;0.0;0.0;3.6;;;;
2001-01-23;11.0;1.1;97.0;49.0;26.0;198.0;14.0;16.2;5.9;3.6;;;;
2001-01-24;12.0;1.0;79.0;44.0;25.0;166.0;20.0;11.9;3.7;2.5;;;;
2001-01-25;10.0;0.9;76.0;61.0;27.0;177.0;26.0;12.4;3.8;2.3;;;;
2001-01-26;8.0;1.1;87.0;66.0;23.0;199.0;18.0;14.9;4.4;3.0;;;;
2001-01-27;12.0;1.2;89.0;63.0;25.0;200.0;14.0;13.8;4.0;2.7;;;;
2001-01-28;14.0;0.7;39.0;52.0;13.0;112.0;30.0;7.3;2.4;1.5;;;;
2001-01-29;36.0;1.1;70.0;71.0;24.0;178.0;25.0;13.5;4.7;2.9;;;;
2001-01-30;38.0;2.1;245.0;122.0;67.0;499.0;9.0;28.6;8.5;5.2;;;;
2001-01-31;45.0;2.3;253.0;89.0;75.0;477.0;10.0;23.5;8.4;5.2;;;;
2001-02-01;43.0;1.7;164.0;81.0;48.0;332.0;11.0;25.6;8.7;5.6;;;;
2001-02-02;33.0;2.1;273.0;91.0;74.0;509.0;9.0;32.1;11.4;9.5;;;;
2001-02-03;33.0;1.8;177.0;83.0;60.0;354.0;10.0;25.5;9.5;5.5;;;;
2001-02-04;14.0;1.0;94.0;55.0;37.0;198.0;15.0;13.6;5.4;3.1;;;;
2001-02-05;12.0;1.3;139.0;58.0;45.0;270.0;15.0;19.8;7.4;4.6;;;;
2001-02-06;13.0;0.8;73.0;54.0;37.0;165.0;16.0;12.4;5.1;3.1;;;;
2001-02-07;9.0;0.9;81.0;54.0;28.0;179.0;22.0;12.9;5.0;3.2;;;;
2001-02-08;14.0;1.2;107.0;65.0;29.0;228.0;21.0;8.7;2.8;2.1;;;;
2001-02-09;15.0;1.2;113.0;66.0;45.0;239.0;16.0;12.9;5.5;3.3;;;;
2001-02-10;13.0;1.2;109.0;41.0;42.0;208.0;14.0;12.3;5.1;3.0;;;;
2001-02-11;32.0;2.1;209.0;34.0;54.0;354.0;13.0;24.5;10.8;5.5;;;;
2001-02-12;36.0;2.0;183.0;59.0;66.0;339.0;9.0;24.6;9.8;5.5;;;;
2001-02-13;33.0;1.7;173.0;60.0;60.0;325.0;9.0;25.0;9.4;5.2;;;;
2001-02-14;29.0;1.1;68.0;56.0;30.0;161.0;16.0;14.2;4.7;2.8;;;;
2001-02-15;28.0;1.1;60.0;54.0;28.0;146.0;20.0;13.0;4.3;2.7;;;;
2001-02-16;38.0;1.2;74.0;73.0;35.0;187.0;21.0;15.9;5.3;3.2;;;;
2001-02-17;33.0;1.3;85.0;91.0;42.0;221.0;17.0;13.8;5.4;3.1;;;;
2001-02-18;30.0;1.2;99.0;58.0;33.0;209.0;22.0;12.2;4.7;2.6;;;;
2001-02-19;30.0;1.2;81.0;58.0;37.0;182.0;24.0;15.1;5.3;3.2;;;;
