fecha;mag001;mag006;mag007;mag008;mag012;mag014
2001-01-01;22.0;0.6;27.0;43.0;84.0;26.0
2001-01-02;23.0;0.4;12.0;38.0;56.0;44.0
2001-01-03;23.0;0.5;17.0;47.0;74.0;29.0
2001-01-04;25.0;0.5;20.0;46.0;77.0;29.0
2001-01-05;27.0;0.7;43.0;46.0;113.0;11.0
2001-01-06;22.0;0.5;16.0;42.0;65.0;35.0
2001-01-07;25.0;0.6;20.0;51.0;81.0;28.0
2001-01-08;37.0;0.8;68.0;75.0;179.0;23.0
2001-01-09;49.0;1.0;85.0;79.0;209.0;7.0
2001-01-10;53.0;1.4;125.0;66.0;257.0;7.0
2001-01-11;30.0;0.7;32.0;53.0;102.0;19.0
2001-01-12;41.0;1.4;92.0;74.0;214.0;12.0
2001-01-13;60.0;1.8;103.0;83.0;241.0;8.0
2001-01-14;51.0;1.5;115.0;73.0;248.0;14.0
2001-01-15;41.0;1.0;85.0;59.0;190.0;9.0
2001-01-16;26.0;0.5;19.0;42.0;71.0;23.0
2001-01-17;24.0;0.5;20.0;43.0;74.0;27.0
2001-01-18;26.0;0.5;27.0;52.0;95.0;23.0
2001-01-19;36.0;0.7;43.0;64.0;130.0;19.0
2001-01-20;53.0;1.5;116.0;91.0;270.0;14.0
2001-01-21;62.0;1.7;149.0;81.0;310.0;14.0
2001-01-22;53.0;1.3;119.0;79.0;262.0;8.0
2001-01-23;26.0;0.4;17.0;40.0;67.0;25.0
2001-01-24;25.0;0.4;14.0;34.0;55.0;35.0
2001-01-25;21.0;0.3;10.0;34.0;50.0;46.0
2001-01-26;18.0;0.4;14.0;38.0;59.0;34.0
2001-01-27;28.0;0.8;25.0;48.0;86.0;22.0
2001-01-28;20.0;0.4;6.0;18.0;26.0;48.0
2001-01-29;36.0;0.8;44.0;52.0;119.0;31.0
2001-01-30;56.0;1.2;101.0;105.0;260.0;10.0
2001-01-31;55.0;1.2;98.0;76.0;227.0;15.0
2001-02-01;44.0;1.2;85.0;76.0;206.0;11.0
2001-02-02;61.0;1.6;146.0;89.0;313.0;10.0
2001-02-03;56.0;1.6;127.0;84.0;278.0;12.0
2001-02-04;30.0;0.7;39.0;47.0;107.0;21.0
2001-02-05;27.0;0.7;41.0;54.0;117.0;20.0
2001-02-06;32.0;0.5;24.0;50.0;88.0;18.0
2001-02-07;27.0;0.5;23.0;48.0;83.0;29.0
2001-02-08;23.0;0.5;19.0;48.0;77.0;33.0
2001-02-09;24.0;0.5;22.0;50.0;84.0;27.0
2001-02-10;28.0;0.9;51.0;42.0;120.0;21.0
2001-02-11;56.0;2.2;170.0;58.0;318.0;13.0
2001-02-12;59.0;1.6;130.0;84.0;283.0;9.0
2001-02-13;54.0;1.4;125.0;77.0;269.0;12.0
2001-02-14;30.0;0.8;46.0;65.0;136.0;19.0
2001-02-15;28.0;0.7;30.0;57.0;104.0;25.0
2001-02-16;36.0;0.9;41.0;79.0;143.0;26.0
2001-02-17;49.0;1.2;65.0;99.0;199.0;20.0
2001-02-18;34.0;1.1;63.0;71.0;168.0;24.0
2001-02-19;31.0;0.8;39.0;69.0;128.0;29.0
2001-02-20;58.0;1.6;116.0;110.0;288.0;18.0
2001-02-21;67.0;1.7;147.0;132.0;358.0;12.0
2001-02-22;75.0;1.7;139.0;123.0;336.0;12.0
2001-02-23;68.0;1.6;147.0;114.0;339.0;11.0
2001-02-24;32.0;0.9;48.0;62.0;136.0;23.0
2001-02-25;24.0;0.6;16.0;52.0;77.0;40.0
2001-02-26;36.0;0.7;34.0;66.0;119.0;33.0
2001-02-27;25.0;0.5;16.0;51.0;76.0;37.0
2001-02-28;26.0;0.5;17.0;52.0;79.0;40.0
2001-03-01;28.0;0.8;47.0;66.0;138.0;23.0
2001-03-02;26.0;0.6;28.0;45.0;87.0;30.0
2001-03-03;21.0;0.4;8.0;30.0;42.0;51.0
2001-03-04;17.0;0.5;11.0;35.0;51.0;41.0
2001-03-05;26.0;0.6;23.0;47.0;82.0;30.0
2001-03-06;34.0;0.6;35.0;43.0;96.0;21.0
2001-03-07;24.0;0.5;18.0;49.0;77.0;27.0
2001-03-08;21.0;0.3;8.0;32.0;45.0;48.0
2001-03-09;20.0;0.4;11.0;30.0;46.0;39.0
2001-03-10;19.0;0.5;17.0;21.0;47.0;23.0
2001-03-11;21.0;0.5;23.0;24.0;59.0;23.0
2001-03-12;24.0;0.6;45.0;42.0;111.0;19.0
2001-03-13;22.0;0.4;16.0;50.0;74.0;46.0
2001-03-14;42.0;1.1;79.0;97.0;218.0;20.0
2001-03-15;34.0;1.1;68.0;90.0;195.0;27.0
2001-03-16;25.0;0.5;20.0;52.0;83.0;41.0
2001-03-17;20.0;0.4;8.0;37.0;49.0;53.0
2001-03-18;18.0;0.4;7.0;33.0;44.0;46.0
2001-03-19;23.0;0.5;15.0;41.0;64.0;31.0
2001-03-20;31.0;0.5;35.0;42.0;95.0;24.0
2001-03-21;22.0;0.3;11.0;27.0;44.0;35.0
2001-03-22;26.0;0.8;47.0;34.0;106.0;29.0
2001-03-23;40.0;1.1;82.0;75.0;201.0;23.0
2001-03-24;20.0;0.4;12.0;34.0;53.0;55.0
2001-03-25;16.0;0.3;5.0;26.0;33.0;64.0
2001-03-26;25.0;0.5;17.0;49.0;75.0;38.0
2001-03-27;21.0;0.5;22.0;43.0;77.0;42.0
2001-03-28;22.0;0.4;12.0;41.0;60.0;49.0
2001-03-29;20.0;0.4;12.0;42.0;60.0;47.0
2001-03-30;25.0;0.5;21.0;41.0;72.0;34.0
2001-03-31;28.0;0.9;45.0;55.0;125.0;25.0
2001-04-01;20.0;0.6;22.0;55.0;90.0;43.0
2001-04-02;23.0;0.5;21.0;62.0;94.0;37.0
2001-04-03;18.0;0.4;19.0;49.0;78.0;40.0
2001-04-04;0.0;0.0;0.0;0.0;0.0;0.0
2001-04-05;17.0;0.4;27.0;30.0;71.0;35.0
2001-04-06;22.0;0.8;77.0;48.0;166.0;20.0
2001-04-07;14.0;0.4;11.0;42.0;59.0;51.0
2001-04-08;15.0;0.4;9.0;38.0;51.0;56.0
2001-04-09;26.0;0.8;65.0;84.0;184.0;33.0
2001-04-10;20.0;0.6;36.0;67.0;122.0;29.0
2001-04-11;16.0;0.6;23.0;63.0;98.0;44.0
2001-04-12;16.0;0.4;9.0;38.0;52.0;64.0
2001-04-13;17.0;0.3;8.0;33.0;46.0;62.0
2001-04-14;19.0;0.4;12.0;40.0;58.0;63.0
