fecha;mag006;mag007;mag008;mag012;mag014
2001-01-01;0.8;30.0;46.0;91.0;18.0
2001-01-02;0.7;28.0;38.0;81.0;37.0
2001-01-03;0.8;35.0;45.0;100.0;23.0
2001-01-04;0.8;37.0;42.0;99.0;26.0
2001-01-05;1.2;72.0;43.0;154.0;7.0
2001-01-06;0.7;22.0;34.0;68.0;32.0
2001-01-07;0.7;26.0;39.0;79.0;29.0
2001-01-08;1.3;100.0;66.0;219.0;17.0
2001-01-09;1.1;99.0;66.0;218.0;2.0
2001-01-10;1.5;149.0;58.0;287.0;3.0
2001-01-11;0.9;59.0;59.0;149.0;14.0
2001-01-12;0.9;40.0;56.0;118.0;15.0
2001-01-13;1.6;102.0;62.0;218.0;11.0
2001-01-14;1.7;129.0;69.0;268.0;8.0
2001-01-15;1.1;76.0;58.0;175.0;5.0
2001-01-16;0.8;35.0;46.0;100.0;17.0
2001-01-17;0.8;42.0;49.0;113.0;19.0
2001-01-18;0.8;46.0;57.0;127.0;17.0
2001-01-19;1.2;74.0;61.0;174.0;14.0
2001-01-20;2.5;216.0;76.0;408.0;7.0
2001-01-21;2.6;230.0;63.0;416.0;7.0
2001-01-22;1.7;153.0;57.0;292.0;4.0
2001-01-23;0.6;29.0;31.0;75.0;22.0
2001-01-24;0.6;27.0;30.0;72.0;29.0
2001-01-25;0.6;26.0;32.0;71.0;37.0
2001-01-26;0.7;29.0;28.0;73.0;30.0
2001-01-27;0.8;35.0;26.0;79.0;27.0
2001-01-28;0.5;11.0;16.0;32.0;52.0
2001-01-29;0.7;33.0;29.0;79.0;38.0
2001-01-30;2.0;173.0;56.0;321.0;5.0
2001-01-31;1.7;150.0;31.0;261.0;15.0
2001-02-01;1.4;104.0;30.0;190.0;13.0
2001-02-02;2.2;197.0;27.0;329.0;6.0
2001-02-03;1.1;75.0;44.0;159.0;8.0
2001-02-04;0.9;63.0;29.0;126.0;18.0
2001-02-05;0.9;62.0;41.0;137.0;15.0
2001-02-06;0.7;38.0;40.0;98.0;16.0
2001-02-07;0.8;35.0;40.0;94.0;24.0
2001-02-08;0.7;28.0;32.0;75.0;34.0
2001-02-09;0.8;25.0;9.0;47.0;28.0
2001-02-10;1.0;59.0;22.0;112.0;17.0
2001-02-11;2.9;265.0;18.0;424.0;10.0
2001-02-12;2.0;206.0;38.0;353.0;8.0
2001-02-13;1.5;143.0;37.0;257.0;8.0
2001-02-14;0.7;34.0;36.0;87.0;20.0
2001-02-15;0.6;15.0;32.0;55.0;30.0
2001-02-16;0.7;27.0;45.0;87.0;31.0
2001-02-17;1.3;79.0;58.0;178.0;22.0
2001-02-18;1.0;70.0;29.0;136.0;30.0
2001-02-19;0.7;29.0;36.0;81.0;34.0
2001-02-20;1.6;137.0;51.0;261.0;22.0
2001-02-21;2.4;236.0;63.0;425.0;12.0
2001-02-22;2.7;276.0;55.0;479.0;7.0
2001-02-23;2.1;213.0;41.0;367.0;5.0
2001-02-24;0.7;32.0;25.0;74.0;31.0
2001-02-25;0.4;4.0;19.0;26.0;54.0
2001-02-26;1.0;67.0;50.0;152.0;28.0
2001-02-27;0.6;21.0;36.0;68.0;38.0
2001-02-28;0.6;28.0;37.0;80.0;42.0
2001-03-01;0.8;45.0;42.0;111.0;18.0
2001-03-02;0.7;28.0;32.0;74.0;24.0
2001-03-03;0.6;16.0;19.0;43.0;48.0
2001-03-04;0.7;19.0;27.0;56.0;34.0
2001-03-05;0.8;36.0;30.0;85.0;24.0
2001-03-06;0.8;49.0;21.0;96.0;16.0
2001-03-07;0.8;33.0;31.0;82.0;22.0
2001-03-08;0.6;23.0;22.0;56.0;42.0
2001-03-09;0.6;26.0;20.0;61.0;32.0
2001-03-10;0.6;27.0;10.0;52.0;18.0
2001-03-11;0.6;26.0;14.0;54.0;17.0
