fecha;mag007;mag008;mag010;mag012;mag020;mag030;mag035;mag042;mag043;mag044
2010-01-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-21;139.0;67.0;44.0;281.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-01-22;79.0;53.0;36.0;175.0;3.6;0.9;0.6;2.33;1.34;1.0
2010-01-23;41.0;42.0;21.0;105.0;3.8;0.6;2.2;1.8;1.24;0.56
2010-01-24;15.0;36.0;17.0;59.0;0.6;0.3;2.0;1.54;1.17;0.37
2010-01-25;6.0;30.0;7.0;38.0;0.3;0.2;0.9;1.39;1.11;0.27
2010-01-26;3.0;35.0;10.0;40.0;0.6;0.2;0.8;1.34;1.1;0.24
2010-01-27;3.0;38.0;13.0;42.0;0.4;0.3;0.9;1.34;1.11;0.23
2010-01-28;58.0;68.0;26.0;157.0;0.9;0.6;0.5;1.49;1.18;0.31
2010-01-29;86.0;66.0;27.0;198.0;2.9;0.7;0.4;1.73;1.4;0.33
2010-01-30;21.0;35.0;12.0;66.0;0.5;0.3;0.5;1.37;1.14;0.23
2010-01-31;1.0;26.0;10.0;27.0;0.4;0.2;0.5;1.38;1.18;0.21
2010-02-01;9.0;44.0;13.0;57.0;0.6;0.4;0.7;1.33;1.1;0.23
2010-02-02;45.0;67.0;25.0;136.0;2.1;0.5;0.7;1.5;1.22;0.29
2010-02-03;68.0;71.0;32.0;175.0;1.3;0.6;0.6;1.54;1.23;0.31
2010-02-04;41.0;59.0;27.0;121.0;0.9;0.5;0.5;1.45;1.2;0.25
2010-02-05;4.0;37.0;13.0;43.0;0.4;0.3;0.7;1.28;1.1;0.19
2010-02-06;16.0;35.0;14.0;59.0;0.7;0.3;0.9;1.32;1.11;0.21
2010-02-07;43.0;50.0;20.0;116.0;1.0;0.5;0.7;1.59;1.3;0.29
2010-02-08;52.0;56.0;19.0;137.0;1.0;0.5;0.4;1.83;1.56;0.28
2010-02-09;10.0;46.0;12.0;62.0;0.4;0.2;0.4;1.34;1.12;0.22
2010-02-10;23.0;50.0;17.0;84.0;0.6;0.4;0.6;1.38;1.14;0.24
2010-02-11;4.0;31.0;11.0;38.0;0.6;0.2;0.9;1.37;1.14;0.23
2010-02-12;11.0;45.0;15.0;62.0;0.4;0.4;0.9;1.42;1.17;0.25
2010-02-13;4.0;26.0;11.0;32.0;0.8;0.3;0.8;1.4;1.16;0.24
2010-02-14;17.0;42.0;13.0;68.0;0.7;0.6;0.6;1.47;1.2;0.26
2010-02-15;16.0;53.0;15.0;78.0;0.4;0.6;0.5;1.47;1.21;0.26
2010-02-16;25.0;58.0;8.0;96.0;0.6;0.8;0.4;1.43;1.17;0.26
2010-02-17;7.0;40.0;13.0;51.0;0.4;0.5;0.4;1.44;1.19;0.25
2010-02-18;13.0;52.0;14.0;73.0;0.3;0.3;0.6;1.44;1.2;0.25
2010-02-19;18.0;54.0;15.0;81.0;0.5;0.3;0.7;1.43;1.17;0.26
2010-02-20;5.0;35.0;13.0;43.0;0.4;0.3;0.9;1.43;1.19;0.24
2010-02-21;14.0;52.0;12.0;72.0;0.4;0.5;0.5;1.49;1.23;0.26
2010-02-22;8.0;49.0;12.0;62.0;0.3;0.4;0.3;1.49;1.25;0.25
2010-02-23;11.0;50.0;13.0;67.0;0.5;0.4;0.3;1.44;1.2;0.25
2010-02-24;5.0;31.0;17.0;38.0;0.4;0.2;0.6;1.38;1.15;0.22
2010-02-25;6.0;40.0;14.0;49.0;0.3;0.2;0.6;1.43;1.2;0.23
2010-02-26;40.0;56.0;24.0;118.0;0.9;0.4;0.6;1.46;1.2;0.27
2010-02-27;19.0;43.0;19.0;72.0;0.6;0.3;0.4;1.45;1.2;0.25
2010-02-28;2.0;22.0;11.0;25.0;0.5;0.2;0.9;1.38;1.16;0.22
2010-03-01;9.0;34.0;15.0;48.0;0.6;0.3;0.9;1.41;1.18;0.23
2010-03-02;15.0;42.0;14.0;66.0;0.4;0.3;0.8;1.46;1.21;0.25
2010-03-03;12.0;47.0;14.0;66.0;0.6;0.3;0.5;1.45;1.2;0.25
2010-03-04;60.0;63.0;26.0;155.0;2.6;0.6;0.7;1.8;1.47;0.34
2010-03-05;9.0;41.0;11.0;55.0;0.4;0.2;0.6;1.45;1.22;0.24
2010-03-06;4.0;28.0;6.0;34.0;0.7;0.2;0.8;1.43;1.2;0.23
2010-03-07;5.0;37.0;12.0;44.0;0.4;0.3;0.6;1.51;1.26;0.25
2010-03-08;6.0;25.0;8.0;34.0;0.6;0.3;0.9;1.45;1.21;0.24
2010-03-09;10.0;38.0;14.0;54.0;0.5;0.3;0.9;1.46;1.21;0.25
2010-03-10;6.0;34.0;17.0;43.0;0.6;0.4;0.8;1.46;1.22;0.25
2010-03-11;18.0;46.0;21.0;75.0;0.5;0.7;0.5;1.51;1.24;0.28
2010-03-12;15.0;44.0;17.0;67.0;0.4;0.7;0.5;1.49;1.24;0.26
2010-03-13;13.0;45.0;19.0;66.0;0.8;0.6;0.5;1.54;1.27;0.27
2010-03-14;4.0;28.0;12.0;34.0;0.7;0.4;0.5;1.45;1.21;0.24
2010-03-15;47.0;68.0;27.0;139.0;1.9;0.8;0.7;1.58;1.27;0.3
2010-03-16;27.0;63.0;25.0;105.0;0.8;0.6;0.8;1.55;1.26;0.29
2010-03-17;23.0;58.0;28.0;94.0;1.3;0.6;0.8;1.54;1.26;0.28
2010-03-18;37.0;71.0;48.0;128.0;1.3;0.8;0.6;1.6;1.29;0.3
2010-03-19;16.0;52.0;52.0;77.0;1.3;0.8;0.4;1.58;1.3;0.29
2010-03-20;17.0;38.0;97.0;63.0;1.4;0.8;0.5;1.57;1.29;0.28
2010-03-21;14.0;38.0;70.0;59.0;1.0;0.6;0.6;1.54;1.28;0.27
2010-03-22;30.0;55.0;41.0;100.0;1.8;0.8;0.5;1.58;1.3;0.29
2010-03-23;21.0;51.0;28.0;83.0;1.4;0.6;0.6;1.57;1.29;0.28
2010-03-24;13.0;40.0;37.0;59.0;1.0;0.4;0.7;1.48;1.23;0.25
2010-03-25;5.0;36.0;13.0;43.0;0.6;0.3;0.5;1.46;1.23;0.24
2010-03-26;3.0;24.0;12.0;29.0;0.3;0.3;0.6;1.44;1.21;0.23
2010-03-27;4.0;23.0;14.0;30.0;0.5;0.3;0.9;1.46;1.23;0.23
2010-03-28;13.0;44.0;18.0;64.0;0.8;0.6;0.7;1.59;1.32;0.27
2010-03-29;24.0;47.0;24.0;84.0;1.5;0.8;0.8;1.7;1.41;0.3
2010-03-30;4.0;20.0;14.0;25.0;0.4;0.3;0.4;1.44;1.22;0.23
2010-03-31;3.0;15.0;11.0;19.0;0.3;0.3;0.2;1.44;1.21;0.23
2010-04-01;2.0;17.0;9.0;20.0;0.5;0.3;0.2;1.44;1.22;0.23
2010-04-02;10.0;33.0;16.0;49.0;0.8;0.5;0.3;1.58;1.31;0.27
2010-04-03;3.0;29.0;15.0;33.0;0.4;0.4;0.3;1.55;1.31;0.25
2010-04-04;5.0;31.0;11.0;38.0;0.5;0.4;0.3;1.47;1.23;0.24
2010-04-05;8.0;35.0;14.0;48.0;0.4;0.3;0.3;1.47;1.24;0.24
2010-04-06;14.0;50.0;25.0;72.0;0.5;0.5;0.2;1.58;1.31;0.27
2010-04-07;8.0;39.0;19.0;52.0;2.7;0.5;0.3;1.58;1.32;0.26
2010-04-08;8.0;31.0;12.0;43.0;0.5;0.3;0.4;1.47;1.22;0.25
2010-04-09;7.0;33.0;17.0;43.0;1.0;0.4;0.2;1.45;1.22;0.24
2010-04-10;5.0;33.0;18.0;41.0;0.6;0.4;0.2;1.52;1.27;0.25
2010-04-11;5.0;40.0;15.0;47.0;0.8;0.5;0.4;1.56;1.28;0.28
2010-04-12;6.0;33.0;25.0;42.0;0.7;0.4;0.3;1.47;1.23;0.24
2010-04-13;5.0;31.0;15.0;40.0;0.5;0.4;0.3;1.45;1.22;0.23
2010-04-14;9.0;36.0;10.0;50.0;0.5;0.5;0.4;1.46;1.23;0.23
2010-04-15;8.0;41.0;13.0;53.0;1.3;0.5;0.5;1.47;1.23;0.24
2010-04-16;9.0;43.0;15.0;57.0;1.4;0.5;0.4;1.51;1.26;0.25
2010-04-17;3.0;32.0;11.0;36.0;0.5;0.3;0.3;1.45;1.23;0.23
