fecha;mag007;mag008;mag012;mag014
2009-12-01;0.0;0.0;0.0;0.0
2009-12-02;0.0;0.0;0.0;0.0
2009-12-03;0.0;0.0;0.0;0.0
2009-12-04;0.0;0.0;0.0;0.0
2009-12-05;0.0;0.0;0.0;0.0
2009-12-06;0.0;0.0;0.0;0.0
2009-12-07;0.0;0.0;0.0;0.0
2009-12-08;0.0;0.0;0.0;0.0
2009-12-09;0.0;0.0;0.0;0.0
2009-12-10;0.0;0.0;0.0;0.0
2009-12-11;0.0;0.0;0.0;0.0
2009-12-12;0.0;0.0;0.0;0.0
2009-12-13;0.0;0.0;0.0;0.0
2009-12-14;3.0;14.0;19.0;50.0
2009-12-15;10.0;33.0;49.0;24.0
2009-12-16;36.0;52.0;108.0;6.0
2009-12-17;12.0;40.0;59.0;23.0
2009-12-18;40.0;54.0;115.0;11.0
2009-12-19;3.0;19.0;24.0;37.0
2009-12-20;0.0;0.0;0.0;0.0
2009-12-21;0.0;0.0;0.0;0.0
2009-12-22;31.0;50.0;98.0;23.0
2009-12-23;4.0;32.0;38.0;41.0
2009-12-24;3.0;21.0;26.0;55.0
2009-12-25;4.0;20.0;26.0;45.0
2009-12-26;3.0;15.0;19.0;43.0
2009-12-27;28.0;41.0;84.0;16.0
2009-12-28;38.0;49.0;107.0;9.0
2009-12-29;8.0;39.0;52.0;31.0
2009-12-30;4.0;32.0;39.0;46.0
2009-12-31;3.0;19.0;24.0;59.0
2010-01-01;3.0;17.0;22.0;62.0
2010-01-02;10.0;36.0;51.0;20.0
2010-01-03;18.0;41.0;68.0;10.0
2010-01-04;11.0;41.0;57.0;14.0
2010-01-05;5.0;35.0;43.0;18.0
2010-01-06;5.0;27.0;34.0;36.0
2010-01-07;3.0;18.0;22.0;47.0
2010-01-08;3.0;12.0;16.0;63.0
2010-01-09;3.0;20.0;25.0;49.0
2010-01-10;5.0;32.0;38.0;26.0
2010-01-11;17.0;47.0;74.0;19.0
2010-01-12;19.0;42.0;71.0;15.0
2010-01-13;23.0;50.0;85.0;18.0
2010-01-14;3.0;21.0;26.0;63.0
2010-01-15;50.0;61.0;138.0;13.0
2010-01-16;43.0;52.0;118.0;8.0
2010-01-17;21.0;31.0;63.0;9.0
2010-01-18;33.0;42.0;92.0;11.0
2010-01-19;25.0;47.0;85.0;16.0
2010-01-20;13.0;39.0;59.0;32.0
2010-01-21;96.0;64.0;212.0;8.0
2010-01-22;70.0;52.0;159.0;8.0
