indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,fecha,glo
2462,,25.0,94.0,0,29,1.5,817.3(20),,1017.0,807.1,-2.6,,2.0,0,7.0,1.0,,8,5.0,15.0,,,25,,,54.0,5,21.0,25.0,265.8,3,0,,16.0,28,-4.4,22,-0.8,1.0,1.0,,791.1(28),20,01-01-2001,
2462,,15.0,77.0,0,21,3.2,823.7(28),17.0,1027.1,816.6,-1.7,,6.4,0,3.0,3.0,,4,13.0,33.0,2.0,0.5,17,,422.0,48.0,0,14.0,338.0,108.5,3,0,0.6,17.0,24,-1.5,15,1.2,4.1,2.0,0.9,803.7(23),13,01-01-2002,
2462,,21.0,89.0,0,25,2.4,827.1(27),,1023.0,810.9,-5.0,,2.8,0,1.0,5.0,,6,5.0,25.0,,2.2,19,,,48.0,0,22.0,20.0,146.0,3,0,1.4,14.0,29,-7.4,17,-2.4,0.3,0.0,2.7,795.0(06),17,01-01-2003,
2462,,17.0,84.0,0,23,3.0,820.7(10),9.0,1021.0,811.4,-2.1,,2.5,0,3.0,2.0,,5,12.0,31.0,0.0,1.1,19,,395.0,55.0,0,17.0,,103.1,10,0,1.0,17.0,22,-4.6,10,0.5,3.1,3.0,1.4,801.9(27),15,01-01-2004,
2462,,9.0,65.0,0,16,5.2,827.7(06),,1028.0,816.3,-3.6,,3.1,0,1.0,10.0,,0,12.0,54.0,,,8,,,37.0,0,13.0,630.0,19.3,2,0,,12.0,22,-10.9,6,0.0,3.6,0.0,,798.3(26),6,01-01-2005,
2462,,13.0,83.0,0,20,3.5,819.7(11),,1021.1,809.8,-4.6,,2.1,0,1.0,6.0,,2,12.0,36.0,,1.6,14,,,44.0,0,18.0,151.0,48.9,0,0,0.8,9.0,29,-9.0,18,-1.7,1.2,0.0,2.2,797.1(29),6,01-01-2006,
2462,,12.0,73.0,0,20,4.4,828.8(02),3.0,1026.7,816.3,-1.6,,5.5,0,3.0,7.0,,2,12.0,46.0,0.0,2.6,7,,306.0,48.0,1,15.0,448.0,69.4,2,0,2.0,12.0,20,-6.7,7,1.6,4.9,1.0,3.0,795.4(25),5,01-01-2007,
2462,,10.0,75.0,0,19,4.5,825.0(27),,1023.6,814.5,-1.0,,6.3,0,0.0,9.0,,3,12.0,46.0,,2.0,15,,,52.0,0,17.0,351.0,79.0,4,0,1.4,14.0,19,-2.9,10,2.3,5.5,0.0,2.5,789.6(03),10,01-01-2008,
2462,,,87.0,0,23,2.0,817.7(11),,1017.1,806.3,-5.0,,2.1,0,,,,7,,21.0,,1.3,22,,,47.0,2,,7.0,216.2,6,0,0.4,15.0,27,-9.1,17,-2.2,0.6,,,792.4(25),18,01-01-2009,
2462,,25.0,93.0,0,25,1.4,814.9(17),,1015.3,804.9,-4.6,,1.9,0,0.0,0.0,,4,6.0,14.0,,1.9,23,,,51.0,0,19.0,7.0,114.4,6,0,1.0,15.0,28,-10.3,20,-2.4,-0.2,6.0,,790.0(07),16,01-01-2010,
2462,,18.0,82.0,0,20,3.3,820.6(17),,1019.0,809.0,-2.9,,3.4,0,0.0,9.0,,4,4.0,35.0,,2.0,17,,,51.0,1,18.0,152.0,137.6,6,0,1.2,13.0,20,-6.0,11,0.0,2.8,1.0,,791.0(27),15,01-01-2011,
2462,,7.0,71.0,0,13,5.5,826.8(19),2.0,1026.4,816.1,-1.9,,2.6,0,0.0,10.0,,0,14.0,57.0,0.0,,7,,278.0,47.0,0,11.0,415.0,22.9,0,0,,12.0,22,-4.8,9,1.7,5.3,0.0,,802.2(16),5,01-01-2012,
2462,,20.0,82.0,0,21,2.8,827.5(03),15.0,1020.9,811.2,-2.1,,6.8,0,0.0,6.0,,11,5.0,29.0,3.0,0.9,16,,,50.0,4,20.0,277.0,286.6,4,0,,17.0,23,-4.0,12,0.8,3.6,1.0,,777.4(19),14,01-01-2013,18423.0
2462,,22.0,92.0,0,26,1.3,820.7(25),25.0,1016.2,807.2,-2.1,,4.1,0,1.0,0.0,,11,9.0,13.0,4.0,1.4,24,,467.0,56.0,2,19.0,154.0,294.3,7,0,,19.0,19,-4.0,17,0.2,2.4,5.0,,788.0(19),23,01-01-2014,13671.0
2462,,11.0,69.0,0,17,4.7,833.0(09),13.0,1025.4,814.7,-2.4,,5.3,0,0.0,9.0,,4,11.0,49.0,4.0,0.5,11,,378.0,40.0,2,16.0,405.0,232.1,2,0,,16.0,21,-5.0,11,0.8,3.9,1.0,,788.3(31),9,01-01-2015,23905.0
2462,,24.0,91.0,0,22,1.8,825.9(23),14.0,1022.5,812.9,-1.7,,4.9,0,0.0,1.0,,6,6.0,18.0,5.0,2.1,17,,408.0,62.0,0,22.0,55.0,170.3,6,0,,18.0,22,-4.1,14,1.1,3.9,0.0,,797.2(04),14,01-01-2016,15031.0
2462,,13.0,79.0,0,20,3.7,820.1(07),17.0,1023.7,812.4,-3.8,,1.7,0,1.0,8.0,,3,10.0,39.0,0.0,0.4,13,,365.0,44.0,0,9.0,236.0,84.0,4,0,,15.0,27,-5.4,10,-0.7,2.3,6.0,,798.9(27),9,01-01-2017,21963.0
2462,,16.0,82.0,0,21,3.6,825.1(28),15.0,1024.6,813.8,-2.5,,4.9,0,0.0,6.0,,6,9.0,37.0,0.0,1.3,17,,374.0,49.0,1,20.0,258.0,172.6,6,0,,15.0,24,-3.9,12,0.1,2.8,0.0,,789.9(07),15,01-01-2018,19808.0
2462,,12.0,68.0,0,18,4.3,824.3(05),11.0,1021.8,812.1,-2.3,,2.7,0,0.0,9.0,,6,10.0,46.0,3.0,0.3,9,,349.0,40.0,2,12.0,513.0,153.3,2,1,,14.0,22,-3.6,9,1.2,4.6,5.0,,792.0(31),8,01-01-2019,22669.0
2462,,12.0,71.0,0,18,3.7,824.2(01),12.0,1025.9,816.0,-0.8,,6.3,0,0.0,7.0,,7,12.0,39.0,0.0,0.9,15,,338.0,46.0,1,16.0,,163.7,5,0,,14.0,19,-3.5,13,2.2,5.0,1.0,,807.0(25),15,01-01-2020,21605.0
2462,,17.0,86.0,0,18,3.2,820.9(17),12.0,1019.2,808.5,-4.0,,4.9,0,0.0,5.0,,6,9.0,33.0,4.0,,17,,400.0,48.0,2,18.0,,204.3,5,1,,16.0,25,-7.9,15,-1.3,1.5,0.0,,792.2(09),14,01-01-2021,20119.0
2462,,5.0,63.0,0,10,5.9,824.5(29),11.0,1028.3,817.3,-2.0,,7.4,0,0.0,15.0,,2,11.0,61.0,0.0,1.2,5,,353.0,39.0,0,9.0,,45.7,3,0,,14.0,22,-2.8,4,1.3,4.6,1.0,,803.6(04),3,01-01-2022,
2462,,,82.0,0,16,3.4,824.5(04),13.0,1024.4,813.2,-4.0,,2.6,0,,,,5,,36.0,2.0,1.8,18,,339.0,48.0,2,,,187.3,6,1,,15.0,25,-6.4,13,-0.7,2.5,,,793.8(17),13,01-01-2023,17238.0
2462,,,75.0,0,16,4.1,831.2(24),10.0,1022.6,814.6,0.5,,10.2,0,,,,10,,42.0,3.0,2.6,14,,341.0,57.0,1,,,196.4,8,0,,14.0,14,-3.4,6,3.6,6.6,,,797.1(17),13,01-01-2024,19831.0
2462,,12.0,75.0,1,15,4.7,827.9(11),,1021.9,811.8,-2.4,,3.6,0,2.0,6.0,,4,10.0,44.0,,,14,,,46.0,2,13.0,190.0,139.1,2,0,,11.0,21,-5.8,11,0.2,2.9,0.0,,792.7(27),12,01-02-2001,
2462,,9.0,68.0,0,13,6.1,822.5(19),12.0,1023.9,814.7,-1.7,,5.0,0,1.0,8.0,,1,11.0,57.0,2.0,1.9,7,,349.0,46.0,0,9.0,479.0,39.7,3,0,2.4,14.0,19,-2.6,6,2.2,6.1,1.0,1.5,800.7(28),6,01-02-2002,
2462,,17.0,91.0,0,22,2.0,819.3(28),,1020.1,808.8,-4.5,,0.0,0,2.0,2.0,,3,9.0,19.0,,1.1,16,,,49.0,2,20.0,0.0,164.0,3,0,0.4,14.0,28,-6.2,15,-2.2,0.1,0.0,1.7,794.7(19),12,01-02-2003,
2462,,11.0,72.0,0,15,4.6,827.3(04),,1019.7,810.6,-2.3,,4.0,0,0.0,10.0,,6,8.0,44.0,,2.5,10,,,47.0,1,13.0,410.0,125.5,0,0,3.0,11.0,16,-6.2,11,1.2,4.6,0.0,2.0,788.3(21),10,01-02-2004,
2462,,13.0,88.0,0,18,3.6,826.5(11),,1021.1,808.1,-7.2,,0.4,0,1.0,6.0,,3,9.0,34.0,,0.7,13,,,39.0,3,16.0,26.0,139.0,0,0,-0.2,10.0,27,-8.5,14,-4.2,-1.2,0.0,1.2,793.3(22),9,01-02-2005,
2462,,11.0,73.0,0,13,4.8,815.8(06),,1016.3,806.5,-3.5,,1.7,0,1.0,9.0,,5,8.0,46.0,,,12,,,39.0,1,11.0,340.0,146.5,1,0,,8.0,20,-5.4,12,-0.3,2.9,1.0,,789.5(26),11,01-02-2006,
2462,,19.0,91.0,1,23,3.0,819.7(27),13.0,1019.2,809.9,-2.0,,2.0,0,1.0,1.0,,6,8.0,28.0,4.0,1.8,22,,450.0,58.0,0,18.0,164.0,143.6,3,1,1.2,18.0,26,-0.6,18,0.7,3.4,0.0,2.4,797.9(16),17,01-02-2007,
2462,,12.0,80.0,0,18,4.0,823.4(06),8.0,1024.4,814.9,-0.9,,3.4,0,0.0,7.0,,4,10.0,38.0,0.0,2.1,13,,422.0,55.0,0,15.0,249.0,91.2,4,0,1.7,17.0,16,-1.5,11,2.2,5.3,0.0,2.5,800.7(03),13,01-02-2008,
2462,,,74.0,0,13,4.9,820.1(22),,1015.7,806.9,-2.3,,3.1,0,,,,6,,46.0,,1.2,11,,,46.0,1,,,133.2,1,0,0.8,14.0,21,-5.7,10,0.6,3.6,,,783.3(01),10,01-02-2009,
2462,,16.0,91.0,0,22,2.1,812.6(06),,1008.0,799.2,-4.9,,1.0,0,4.0,2.0,,6,10.0,19.0,,1.2,22,,,49.0,1,12.0,42.0,172.6,7,0,0.3,15.0,26,-8.3,15,-2.3,0.3,5.0,,785.1(16),17,01-02-2010,
2462,,13.0,79.0,0,14,4.9,825.0(04),,1021.4,811.6,-2.4,,3.5,0,0.0,5.0,,3,10.0,46.0,,1.1,13,,,49.0,0,14.0,337.0,108.7,2,0,0.4,14.0,21,-4.9,12,0.9,4.1,0.0,,785.8(16),11,01-02-2011,
2462,,12.0,78.0,0,15,4.5,820.1(23),,1026.4,812.9,-6.3,,2.5,0,0.0,5.0,,2,12.0,41.0,,,13,,,38.0,0,12.0,160.0,61.6,0,0,,12.0,23,-11.0,15,-3.0,0.4,3.0,,800.0(02),8,01-02-2012,
2462,,24.0,94.0,0,21,1.7,821.2(01),,1019.8,808.2,-4.9,,0.6,0,0.0,1.0,,5,3.0,16.0,,0.7,23,,,48.0,0,21.0,66.0,166.4,0,0,,18.0,26,-6.3,22,-2.4,0.1,2.0,,793.2(22),18,01-02-2013,17672.0
2462,,21.0,98.0,0,26,1.9,818.3(27),21.0,1017.3,806.9,-4.4,,1.0,0,0.0,0.0,,6,7.0,17.0,7.0,0.9,23,,511.0,54.0,0,23.0,3.0,195.5,2,0,,21.0,26,-3.6,21,-1.8,0.9,1.0,,787.4(09),23,01-02-2014,18361.0
2462,,19.0,,0,23,1.5,820.5(17),18.0,1021.6,809.1,-5.3,,0.0,0,0.0,1.0,,6,8.0,14.0,5.0,0.7,22,,435.0,49.0,3,23.0,0.0,201.5,4,0,,18.0,28,-8.1,19,-3.2,-1.1,0.0,,789.9(04),19,01-02-2015,18083.0
2462,,15.0,83.0,0,20,3.3,825.8(01),16.0,1020.6,810.6,-3.5,,3.3,0,0.0,4.0,,11,10.0,31.0,4.0,1.9,18,,437.0,50.0,4,18.0,87.0,364.1,4,0,,18.0,23,-6.4,14,-0.3,2.8,2.0,,787.4(27),17,01-02-2016,23014.0
2462,,16.0,79.0,0,15,3.7,821.0(16),16.0,1019.6,810.8,-1.5,,4.0,0,0.0,3.0,,6,8.0,34.0,5.0,0.2,12,,430.0,52.0,2,10.0,198.0,258.7,2,0,,17.0,22,-4.0,10,1.4,4.4,5.0,,794.1(13),12,01-02-2017,26128.0
2462,,22.0,90.0,0,24,2.3,817.9(15),9.0,1016.9,805.7,-5.3,,2.0,0,1.0,3.0,,7,3.0,21.0,1.0,1.0,20,,375.0,46.0,1,18.0,29.0,217.9,1,0,,16.0,25,-7.3,20,-2.8,-0.2,5.0,,786.6(28),13,01-02-2018,18489.0
2462,,6.0,61.0,1,4,7.3,824.0(24),7.0,1024.9,816.0,-0.5,,4.0,0,0.0,10.0,,0,12.0,68.0,1.0,0.8,2,,359.0,45.0,0,3.0,563.0,14.2,1,0,,15.0,16,-5.3,2,3.4,7.2,1.0,,786.2(01),2,01-02-2019,37189.0
2462,,8.0,66.0,0,14,6.3,826.7(23),6.0,1025.7,818.3,1.9,,6.8,0,0.0,9.0,,0,12.0,59.0,1.0,3.2,9,,278.0,58.0,0,11.0,,11.7,7,0,,12.0,8,1.7,2,5.8,9.6,0.0,,805.9(29),5,01-02-2020,34578.0
2462,,15.0,87.0,0,17,4.2,822.6(23),21.0,1018.3,810.3,-0.3,,3.6,0,0.0,0.0,,5,13.0,39.0,3.0,1.7,12,,492.0,61.0,3,16.0,,171.4,2,0,,20.0,14,-0.5,11,2.3,4.9,0.0,,795.1(08),11,01-02-2021,27801.0
2462,,9.0,65.0,0,11,6.1,822.7(02),6.0,1025.5,816.6,-0.2,,8.2,0,0.0,7.0,,1,12.0,57.0,0.0,,5,,287.0,47.0,0,10.0,,22.9,2,0,,12.0,15,-0.7,6,3.7,7.5,1.0,,806.6(14),5,01-02-2022,
2462,,,71.0,0,6,5.6,823.7(03),10.0,1025.3,814.4,-3.0,,3.0,0,,,,0,,53.0,0.0,1.3,5,,333.0,43.0,0,,,11.6,2,0,,13.0,20,-7.7,6,0.6,4.2,,,797.2(25),2,01-02-2023,30119.0
2462,,,79.0,0,16,3.5,827.3(01),15.0,1021.0,812.8,-0.3,,5.2,0,,,,4,,33.0,2.0,2.7,15,,385.0,57.0,2,,,161.2,4,0,,16.0,15,-2.9,13,2.9,6.0,,,785.8(09),13,01-02-2024,23392.0
2462,,22.0,88.0,0,26,2.8,816.7(31),,1012.6,806.3,0.5,,6.8,0,4.0,1.0,,8,8.0,24.0,,,24,,,67.0,0,20.0,,191.6,14,0,,20.0,16,0.6,11,3.1,5.7,0.0,,787.5(02),21,01-03-2001,
2462,,14.0,72.0,0,18,4.6,823.8(21),8.0,1016.8,809.5,-0.1,,8.4,0,1.0,8.0,,5,9.0,38.0,2.0,,15,,289.0,50.0,1,15.0,580.0,133.5,1,0,,13.0,17,-2.4,14,3.0,6.1,2.0,,796.7(14),11,01-03-2002,
2462,,15.0,71.0,1,15,5.5,820.3(10),,1020.1,812.8,0.3,,6.8,0,2.0,5.0,,4,11.0,47.0,,2.3,13,,,56.0,1,8.0,523.0,120.3,6,1,2.5,11.0,17,1.0,6,3.8,7.3,1.0,2.5,799.5(30),10,01-03-2003,
2462,,15.0,83.0,0,20,4.2,823.4(19),10.0,1021.1,811.5,-2.6,,2.8,0,4.0,1.0,,5,15.0,35.0,0.0,1.9,16,,325.0,54.0,0,12.0,282.0,153.1,3,0,2.2,12.0,24,-6.3,15,0.6,3.9,0.0,1.8,795.7(29),14,01-03-2004,
2462,,12.0,72.0,1,13,5.2,822.3(17),10.0,1018.1,809.7,-1.8,,4.8,0,0.0,2.0,,3,17.0,44.0,0.0,1.5,11,,404.0,51.0,0,13.0,435.0,64.4,4,0,1.7,16.0,14,-6.0,8,1.8,5.5,0.0,1.6,794.3(01),6,01-03-2005,
2462,,18.0,84.0,0,22,3.9,819.1(07),8.0,1016.5,808.6,-1.0,,5.0,0,6.0,2.0,,5,11.0,33.0,0.0,1.6,16,,,58.0,2,14.0,318.0,173.4,5,0,1.6,18.0,17,-3.6,11,2.1,5.1,0.0,2.0,792.3(05),13,01-03-2006,
2462,,14.0,78.0,1,19,5.0,824.9(10),10.0,1020.9,811.4,-2.9,,2.4,0,0.0,3.0,,2,14.0,42.0,1.0,2.5,15,,370.0,50.0,1,17.0,385.0,78.8,1,0,1.9,16.0,27,-6.0,13,1.0,4.9,1.0,2.9,800.3(19),10,01-03-2007,
2462,,9.0,78.0,0,17,5.2,819.9(01),15.0,1017.3,808.9,-2.8,,4.6,0,0.0,4.0,,2,18.0,43.0,1.0,2.9,10,,432.0,53.0,0,16.0,249.0,68.8,0,1,2.3,18.0,24,-5.4,11,1.2,5.2,0.0,3.3,789.7(22),9,01-03-2008,
