fecha;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;hrmedia;hrmax;horahrmax;hrmin;horahrmin
2001-01-01;540;10.8;5.5;8.2;23:59;13.3;14:30;99.0;2.5;9.7;Varias;76.0;88.0;Varias;66.0;Varias
2001-01-02;540;9.2;0.5;6.4;23:59;12.1;Varias;27.0;1.9;11.9;10:40;71.0;88.0;Varias;53.0;15:00
2001-01-03;540;8.6;0.3;5.1;05:40;12.0;Varias;21.0;1.9;7.8;11:20;72.0;85.0;Varias;59.0;11:20
2001-01-04;540;10.0;0.4;6.1;21:00;14.0;12:45;30.0;2.2;9.7;12:50;70.0;85.0;21:15;57.0;13:00
2001-01-05;540;12.2;8.3;8.1;Varias;16.4;16:40;22.0;2.5;10.8;20:40;78.0;87.0;04:00;70.0;16:45
2001-01-06;540;9.6;1.8;5.1;23:55;14.0;Varias;18.0;1.9;10.0;00:50;79.0;89.0;Varias;64.0;Varias
2001-01-07;540;5.4;0.0;0.4;Varias;10.3;14:30;31.0;1.4;6.4;15:00;66.0;89.0;08:30;45.0;Varias
2001-01-08;540;4.6;0.0;-1.4;07:25;10.7;14:30;12.0;0.8;3.6;23:30;66.0;89.0;07:35;47.0;14:55
2001-01-09;540;4.6;1.0;0.2;Varias;9.1;18:40;14.0;1.7;7.8;07:50;76.0;88.0;Varias;59.0;10:40
2001-01-10;540;10.7;3.0;6.2;00:35;15.2;13:40;19.0;1.7;11.4;22:20;77.0;89.0;Varias;60.0;Varias
2001-01-11;540;9.4;4.6;7.0;Varias;11.8;00:05;18.0;2.2;10.3;00:10;78.0;87.0;15:25;67.0;05:40
2001-01-12;540;8.4;3.4;6.9;Varias;10.0;15:10;14.0;1.4;6.7;02:40;86.0;89.0;Varias;81.0;Varias
2001-01-13;540;9.2;0.2;3.2;08:00;15.2;15:40;30.0;1.1;5.8;17:50;71.0;89.0;Varias;47.0;15:50
2001-01-14;540;8.5;0.6;2.7;08:10;14.3;13:50;99.0;0.6;3.6;Varias;70.0;89.0;Varias;43.0;15:30
2001-01-15;540;6.2;0.1;3.9;00:20;8.6;12:30;26.0;0.8;6.9;14:40;82.0;89.0;Varias;76.0;15:50
2001-01-16;540;7.1;1.4;5.2;23:10;9.0;13:45;27.0;0.6;4.7;14:20;83.0;89.0;23:40;76.0;13:40
2001-01-17;540;8.4;4.7;6.2;00:30;10.7;11:50;31.0;1.1;6.9;11:40;76.0;89.0;Varias;61.0;15:00
2001-01-18;540;8.1;5.8;5.4;23:59;10.8;16:00;30.0;1.9;8.1;14:50;80.0;89.0;23:05;74.0;15:55
2001-01-19;540;6.6;0.0;0.8;07:40;12.5;15:00;32.0;1.4;8.9;15:40;67.0;91.0;08:35;49.0;Varias
2001-01-20;540;6.6;0.0;0.3;07:20;13.0;Varias;12.0;0.3;4.7;09:10;71.0;90.0;01:30;45.0;15:10
2001-01-21;540;6.4;0.0;-0.6;06:50;13.3;14:50;12.0;0.6;5.3;23:50;74.0;90.0;07:00;49.0;Varias
2001-01-22;540;6.2;0.0;0.8;07:30;11.5;Varias;23.0;1.4;7.5;14:20;74.0;89.0;Varias;62.0;Varias
2001-01-23;540;11.4;1.0;8.1;01:20;14.8;15:50;26.0;1.4;8.3;23:50;81.0;89.0;Varias;69.0;Varias
2001-01-24;540;11.4;0.6;8.7;23:20;14.2;Varias;28.0;2.2;13.3;10:00;69.0;86.0;10:25;56.0;15:40
2001-01-25;540;8.1;0.3;5.3;06:50;10.9;13:00;25.0;3.1;12.8;12:10;70.0;82.0;Varias;52.0;Varias
2001-01-26;540;8.3;10.1;4.5;03:15;12.1;23:59;26.0;1.7;8.9;21:30;80.0;87.0;Varias;74.0;11:15
2001-01-27;540;11.0;1.8;8.4;05:10;13.6;15:50;28.0;2.2;10.6;00:40;84.0;89.0;Varias;78.0;16:25
2001-01-28;540;7.8;3.4;4.4;23:40;11.2;01:10;30.0;4.7;21.9;16:50;70.0;83.0;Varias;55.0;13:00
2001-01-29;540;6.1;0.0;1.3;23:50;10.9;12:00;32.0;2.2;11.9;14:40;53.0;79.0;Varias;42.0;13:00
2001-01-30;540;6.2;0.0;-1.8;07:30;14.1;14:40;31.0;0.8;6.4;16:40;59.0;88.0;08:00;37.0;Varias
2001-01-31;540;8.8;0.0;0.5;04:35;17.0;13:30;31.0;2.5;10.8;13:30;64.0;89.0;Varias;45.0;Varias
2001-02-01;540;9.4;0.0;2.9;04:25;16.0;13:40;3.0;1.9;11.9;15:30;59.0;89.0;Varias;41.0;Varias
2001-02-02;540;8.8;0.0;0.7;07:30;16.8;15:20;12.0;0.6;5.0;10:00;68.0;88.0;Varias;42.0;Varias
2001-02-03;540;8.0;0.0;0.0;07:10;15.9;15:10;32.0;0.3;5.0;15:20;71.0;89.0;Varias;49.0;Varias
2001-02-04;540;8.6;0.1;2.9;01:30;14.3;15:00;29.0;1.9;10.3;14:40;66.0;88.0;Varias;43.0;14:55
2001-02-05;540;9.2;0.2;5.8;07:20;12.7;Varias;28.0;0.3;5.3;02:40;82.0;87.0;01:45;66.0;10:30
2001-02-06;540;12.3;4.6;9.7;07:30;14.9;14:20;18.0;2.2;10.0;23:30;61.0;76.0;Varias;49.0;15:00
2001-02-07;540;9.8;2.4;7.4;06:10;12.1;16:30;20.0;4.2;15.6;12:30;65.0;87.0;Varias;52.0;09:10
2001-02-08;540;7.2;4.6;4.4;23:30;9.9;17:00;28.0;2.5;12.8;11:50;79.0;87.0;Varias;67.0;12:00
2001-02-09;540;5.8;0.2;0.0;06:45;11.6;14:05;29.0;1.7;8.9;14:30;73.0;91.0;Varias;58.0;Varias
2001-02-10;540;10.9;0.0;6.4;Varias;15.4;15:35;11.0;0.6;3.3;15:00;82.0;89.0;Varias;67.0;15:55
2001-02-11;540;11.7;0.0;3.4;07:50;20.0;16:20;10.0;0.8;4.2;23:50;69.0;89.0;Varias;47.0;Varias
2001-02-12;540;12.0;0.0;3.3;07:20;20.8;Varias;99.0;0.8;3.9;Varias;67.0;89.0;Varias;40.0;Varias
2001-02-13;540;10.7;0.0;2.2;07:50;19.2;15:10;30.0;0.8;6.4;16:00;66.0;89.0;Varias;46.0;16:30
2001-02-14;540;6.8;0.8;2.2;07:30;11.4;15:05;7.0;1.7;8.6;11:00;61.0;88.0;Varias;47.0;Varias
2001-02-15;540;9.0;0.1;4.5;05:35;13.4;13:20;6.0;1.9;9.4;15:40;66.0;87.0;Varias;47.0;13:20
2001-02-16;540;8.4;0.0;0.5;07:20;16.3;14:10;2.0;0.3;5.0;15:40;56.0;89.0;Varias;34.0;Varias
2001-02-17;540;8.2;0.0;-0.9;Varias;17.4;15:10;29.0;0.8;4.7;15:40;54.0;88.0;Varias;34.0;Varias
2001-02-18;540;4.8;0.9;-3.2;06:45;12.7;14:00;99.0;1.9;8.1;Varias;58.0;89.0;Varias;34.0;Varias
2001-02-19;540;8.2;0.0;2.6;01:30;13.7;Varias;10.0;1.1;9.2;11:00;60.0;89.0;01:50;41.0;Varias
2001-02-20;540;8.2;0.0;-0.7;07:10;17.1;16:10;34.0;0.6;5.0;12:50;55.0;87.0;Varias;34.0;Varias
2001-02-21;540;7.8;0.0;-3.5;07:10;19.2;Varias;31.0;0.6;3.9;15:30;50.0;89.0;Varias;22.0;Varias
2001-02-22;540;8.2;0.1;-3.5;07:05;20.0;16:50;99.0;0.8;4.7;Varias;49.0;88.0;Varias;27.0;16:45
2001-02-23;540;8.7;8.1;0.7;06:20;16.7;14:30;30.0;0.6;7.8;14:40;65.0;84.0;06:55;46.0;13:50
2001-02-24;540;9.5;0.8;4.8;23:59;14.2;15:50;4.0;0.6;8.9;21:00;69.0;89.0;Varias;49.0;Varias
2001-02-25;540;5.4;0.0;-1.0;Varias;11.7;15:10;4.0;1.9;6.9;10:30;54.0;88.0;Varias;34.0;16:25
2001-02-26;540;3.8;0.0;-4.3;Varias;11.9;16:30;99.0;1.1;6.7;15:35;55.0;88.0;07:00;36.0;Varias
2001-02-27;540;4.9;0.8;0.4;01:20;9.4;Varias;32.0;3.1;12.8;15:50;63.0;85.0;12:00;37.0;Varias
2001-02-28;540;6.1;0.1;0.8;05:20;11.4;14:20;27.0;3.6;13.6;11:20;53.0;83.0;05:35;34.0;Varias
2001-03-01;540;6.8;11.7;2.0;04:15;11.6;23:55;18.0;0.3;6.1;23:50;83.0;89.0;Varias;62.0;00:00
2001-03-02;540;13.4;6.9;10.4;23:59;16.5;14:50;26.0;3.9;18.3;12:50;68.0;89.0;Varias;62.0;Varias
2001-03-03;540;13.2;0.7;9.6;07:10;16.7;14:10;23.0;1.9;13.1;12:20;69.0;89.0;Varias;58.0;Varias
2001-03-04;540;13.8;8.1;11.4;Varias;16.1;14:30;23.0;2.2;11.7;Varias;75.0;88.0;Varias;59.0;13:25
2001-03-05;540;14.7;0.0;11.3;07:00;18.1;15:30;18.0;1.1;6.1;17:30;73.0;89.0;Varias;55.0;15:40
2001-03-06;540;18.1;0.0;13.0;Varias;23.2;15:50;22.0;2.8;12.2;16:30;56.0;82.0;Varias;40.0;16:00
