indicativo,p_max,n_cub,hr,nw_55,tm_min,ta_max,ts_min,nt_30,n_des,w_racha,np_100,n_nub,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha
3100B,,,73.0,1.0,4.1,,8.7,0.0,,,1.0,,0.0,22.0,,152.0,82.0,0.0,58.8,6.0,3.0,8.6,8.3,12.5,14.0,01-01-2001
3100B,,,76.0,0.0,1.9,,7.8,0.0,,,0.0,,0.0,10.0,,131.0,76.0,0.0,30.4,5.0,11.0,6.0,7.1,12.2,6.0,01-01-2002
3100B,,,66.0,1.0,-0.1,,9.5,0.0,,,0.0,,0.0,11.0,,141.0,64.0,0.0,29.4,6.0,17.0,6.8,6.0,12.0,7.0,01-01-2003
3100B,,,66.0,0.0,0.3,,9.3,0.0,,,0.0,,0.0,6.0,,118.0,66.0,0.0,9.0,5.0,15.0,8.7,6.3,12.3,3.0,01-01-2004
3100B,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2005
3100B,,,75.0,0.0,0.0,,4.9,0.0,,,2.0,,0.0,6.0,,123.0,65.0,0.0,28.6,5.0,16.0,4.2,4.8,9.6,4.0,01-01-2006
3100B,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2007
3100B,,,72.0,1.0,0.9,,9.3,0.0,,,0.0,,0.0,8.0,,104.0,74.0,0.0,15.3,5.0,14.0,7.3,7.2,13.4,4.0,01-01-2008
3100B,,,76.0,1.0,-0.5,,11.7,0.0,,,,,0.0,,,151.0,66.0,,,6.0,16.0,-0.7,4.1,8.6,,01-01-2009
3100B,,,73.0,,1.3,,8.2,0.0,,,2.0,,,13.0,,,69.0,0.0,56.1,6.0,11.0,0.3,5.4,9.5,9.0,01-01-2010
3100B,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2011
3100B,,,68.0,,-2.2,,2.7,0.0,,,0.0,,,3.0,,,59.0,0.0,6.7,4.0,27.0,5.3,5.6,13.4,3.0,01-01-2012
3100B,,,71.0,2.0,1.2,,9.4,0.0,,,1.0,,0.0,9.0,,145.0,68.0,0.0,28.9,6.0,10.0,4.9,6.2,11.3,5.0,01-01-2013
3100B,,,73.0,0.0,2.9,,10.1,0.0,,,1.0,,0.0,18.0,,130.0,78.0,0.0,60.9,5.0,5.0,8.3,7.8,12.6,12.0,01-01-2014
3100B,,,65.0,,-2.5,,10.6,0.0,,,2.0,,,4.0,,,55.0,0.0,30.3,,27.0,4.3,5.1,12.6,4.0,01-01-2015
3100B,,,73.0,,3.9,,10.1,0.0,,,0.0,,,13.0,,,84.0,0.0,35.8,,4.0,7.7,8.6,13.2,6.0,01-01-2016
3100B,,,66.0,1.0,-1.9,,7.9,0.0,,,0.0,,0.0,3.0,,126.0,58.0,0.0,7.5,5.0,22.0,3.5,4.9,11.7,3.0,01-01-2017
3100B,,,71.0,0.0,0.4,,8.5,0.0,,,1.0,,0.0,7.0,,140.0,68.0,0.0,26.4,6.0,16.0,3.9,6.4,12.4,4.0,01-01-2018
3100B,,,61.0,1.0,-2.8,,7.7,0.0,,,0.0,,0.0,3.0,,135.0,53.0,0.0,11.3,6.0,23.0,7.4,5.1,12.9,3.0,01-01-2019
3100B,,,71.0,2.0,0.8,,10.2,0.0,,,0.0,,0.0,9.0,,125.0,69.0,0.0,11.3,5.0,16.0,6.8,6.5,12.3,5.0,01-01-2020
3100B,,,,1.0,,,,,,,,,0.0,,,152.0,63.0,,,6.0,,,,,,01-01-2021
3100B,,3.0,62.0,1.0,-2.5,,3.6,0.0,19.0,,0.0,9.0,0.0,2.0,,121.0,55.0,0.0,5.3,5.0,26.0,9.2,5.6,13.7,2.0,01-01-2022
