indicativo,p_max,np_100,np_001,np_300,p_mes,np_010,fecha,n_cub,hr,nw_55,tm_min,ta_max,ts_min,nt_30,n_des,w_racha,n_nub,nw_91,ta_min,w_rec,e,w_med,nt_00,ti_max,tm_mes,tm_max
3104Y,,,,,,,01-01-2003,,,,,,,,,,,,,,,,,,,
3104Y,,4.0,18.0,0.0,105.2,10.0,01-01-2004,,,,0.5,,8.3,0.0,,,,,,,,,15.0,0.8,5.2,9.9
3104Y,,0.0,2.0,0.0,0.4,0.0,01-01-2005,,,,,,,,,,,,,,,,,,,
3104Y,,,,,,,01-01-2006,,,,,,,,,,,,,,,,,,,
3104Y,,0.0,8.0,0.0,27.4,6.0,01-01-2007,,,,-2.6,,3.4,0.0,,,,,,,,,23.0,-1.0,3.9,10.4
3104Y,,,,,,,01-01-2008,,,,-1.4,,3.5,0.0,,,,,,,,,18.0,4.4,5.1,11.5
3104Y,,3.0,16.0,1.0,142.2,14.0,01-01-2009,,79.0,8.0,-3.5,,8.6,0.0,,,,0.0,,143.0,56.0,6.0,21.0,-1.9,1.2,5.9
3104Y,,0.0,18.0,0.0,54.4,12.0,01-01-2010,,79.0,5.0,-1.8,,3.8,0.0,,,,1.0,,142.0,58.0,5.0,17.0,-3.4,1.9,5.5
3104Y,,2.0,12.0,0.0,52.9,9.0,01-01-2011,,,1.0,-2.6,,5.6,0.0,,,,0.0,,59.0,58.0,2.0,21.0,2.0,2.8,8.2
3104Y,,,,,,,01-01-2012,,,1.0,-3.7,,3.9,0.0,,,,0.0,,66.0,46.0,3.0,30.0,1.4,3.9,11.4
3104Y,,7.0,17.0,5.0,316.8,15.0,01-01-2013,,72.0,14.0,-1.0,,7.4,0.0,,,,0.0,,188.0,57.0,8.0,23.0,1.7,4.3,9.5
3104Y,,10.0,27.0,1.0,260.6,21.0,01-01-2014,,81.0,7.0,1.0,,5.8,0.0,,,,0.0,,156.0,68.0,7.0,13.0,2.4,4.4,7.9
3104Y,,2.0,11.0,2.0,254.2,9.0,01-01-2015,,,3.0,-2.4,,6.3,0.0,,,,0.0,,120.0,44.0,6.0,24.0,0.7,4.2,10.8
3104Y,,,,,,,01-01-2016,,,,,,,,,,,,,,,,,,,
3104Y,,2.0,9.0,0.0,53.6,6.0,01-01-2017,,,3.0,-3.6,,3.2,0.0,,,,0.0,,82.0,,4.0,28.0,2.2,2.6,8.8
3104Y,,1.0,15.0,0.0,65.8,11.0,01-01-2018,,72.0,3.0,-1.6,,8.4,0.0,,,,0.0,,104.0,56.0,4.0,22.0,-0.1,4.1,9.6
3104Y,,7.0,9.0,1.0,159.2,7.0,01-01-2019,,,7.0,-3.0,,5.5,0.0,,,,0.0,,147.0,43.0,7.0,24.0,1.0,4.1,11.2
3104Y,,6.0,16.0,0.0,131.2,14.0,01-01-2020,,,2.0,-2.1,,7.2,0.0,,,,0.0,,67.0,55.0,3.0,23.0,2.5,4.3,10.7
3104Y,,,,,,,01-01-2021,,72.0,8.0,-3.1,,6.0,0.0,,,,0.0,,148.0,54.0,6.0,20.0,-1.4,2.9,9.0
3104Y,,1.0,7.0,0.0,35.6,4.0,01-01-2022,3.0,65.0,3.0,-4.4,,1.8,0.0,13.0,,15.0,0.0,,74.0,44.0,3.0,27.0,3.8,3.7,11.6
3104Y,,4.0,14.0,4.0,243.6,10.0,01-01-2023,14.0,70.0,8.0,-3.1,,2.7,0.0,8.0,,9.0,0.0,,133.0,53.0,5.0,26.0,0.3,3.0,9.1
3104Y,,8.0,18.0,1.0,207.2,16.0,01-01-2024,14.0,77.0,2.0,-0.1,,8.3,0.0,3.0,,14.0,0.0,,81.0,68.0,4.0,18.0,2.9,6.0,12.1
3104Y,,,,,,,01-02-2003,,,,,,,,,,,,,,,,,,,
3104Y,,4.0,12.0,0.0,80.0,8.0,01-02-2004,,,,-2.2,,1.6,0.0,,,,,,,,,23.0,-0.2,4.1,10.3
3104Y,,4.0,14.0,0.0,78.4,9.0,01-02-2005,,,,,,,,,,,,,,,,,,,
3104Y,,1.0,12.0,0.0,57.0,10.0,01-02-2006,,,,,,,,,,,,,,,,,,,
3104Y,,5.0,19.0,1.0,150.4,13.0,01-02-2007,,,,1.0,,8.6,0.0,,,,,,,,,10.0,4.8,5.6,10.2
3104Y,,,,,,,01-02-2008,,,,-0.9,,5.3,0.0,,,,,,,,,19.0,4.1,5.1,11.1
3104Y,,,,,,,01-02-2009,,66.0,3.0,-2.5,,5.0,0.0,,,,0.0,,120.0,51.0,5.0,25.0,-0.1,3.9,10.3
3104Y,,3.0,16.0,0.0,93.9,13.0,01-02-2010,,74.0,4.0,-1.9,,5.4,0.0,,,,0.0,,154.0,55.0,6.0,17.0,-1.1,2.4,6.6
3104Y,,3.0,11.0,0.0,79.9,10.0,01-02-2011,,65.0,5.0,-1.9,,6.0,0.0,,,,0.0,,135.0,52.0,6.0,20.0,3.2,4.6,11.1
3104Y,,,,,,,01-02-2012,,,5.0,-5.3,,0.8,0.0,,,,0.0,,118.0,37.0,6.0,28.0,-1.7,1.4,8.2
3104Y,,5.0,22.0,0.0,128.4,19.0,01-02-2013,,72.0,8.0,-1.5,,4.1,0.0,,,,0.0,,152.0,55.0,7.0,20.0,0.3,2.4,6.2
3104Y,,5.0,23.0,0.0,162.4,22.0,01-02-2014,,75.0,10.0,-0.8,,6.4,0.0,,,,0.0,,192.0,59.0,8.0,16.0,3.6,3.4,7.6
3104Y,,6.0,20.0,2.0,156.4,14.0,01-02-2015,,74.0,8.0,-2.1,,3.9,0.0,,,,0.0,,172.0,53.0,7.0,17.0,-1.7,1.8,5.7
3104Y,,10.0,20.0,2.0,356.7,17.0,01-02-2016,,71.0,10.0,-1.6,,7.2,0.0,,,,0.0,,183.0,58.0,7.0,21.0,1.6,3.7,8.9
3104Y,,3.0,14.0,1.0,170.0,11.0,01-02-2017,,,8.0,-1.3,,7.9,0.0,,,,0.0,,125.0,,5.0,20.0,1.9,4.8,10.9
3104Y,,5.0,11.0,2.0,122.0,10.0,01-02-2018,,68.0,1.0,-3.7,,3.6,0.0,,,,0.0,,106.0,48.0,5.0,23.0,0.5,2.0,7.6
3104Y,,0.0,5.0,0.0,14.0,4.0,01-02-2019,,,3.0,-3.3,,0.0,0.0,,,,0.0,,92.0,47.0,4.0,28.0,3.0,5.5,14.4
3104Y,,0.0,4.0,0.0,7.0,2.0,01-02-2020,,63.0,3.0,-0.2,,6.6,0.0,,,,0.0,,101.0,65.0,4.0,17.0,9.7,7.9,15.9
3104Y,,5.0,11.0,2.0,140.4,10.0,01-02-2021,,73.0,5.0,1.0,,6.7,0.0,,,,0.0,,109.0,69.0,5.0,12.0,5.5,6.5,12.0
3104Y,,0.0,5.0,0.0,15.6,3.0,01-02-2022,9.0,58.0,0.0,-1.9,,2.9,0.0,9.0,,10.0,0.0,,73.0,52.0,3.0,23.0,5.3,6.5,14.7
3104Y,,0.0,5.0,0.0,6.6,3.0,01-02-2023,8.0,,0.0,-4.2,,1.3,0.0,12.0,,8.0,0.0,,65.0,44.0,3.0,27.0,0.0,3.4,11.1
