indicativo,p_max,hr,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,q_min,np_010,fecha,n_cub,n_des,n_nub
3110C,,75.0,908.1(20),4.0,1010.8,895.5,1.6,,5.4,0.0,,4.0,0.0,21.0,,179.0,65.0,0.0,97.0,7.0,7.0,2.1,4.7,7.8,877.4(28),15.0,01-01-2001,,,
3110C,,74.0,913.1(11),0.0,1022.1,905.4,-0.3,,5.0,0.0,,1.0,0.0,13.0,,114.0,62.0,0.0,36.7,4.0,20.0,4.5,4.2,8.6,889.5(23),6.0,01-01-2002,,,
3110C,,65.0,913.7(27),9.0,1016.1,899.5,-0.1,,7.4,0.0,,3.0,0.0,16.0,,244.0,52.0,0.0,68.4,10.0,16.0,-0.9,3.3,6.7,881.2(05),13.0,01-01-2003,,,
3110C,,65.0,906.2(10),4.0,1013.5,898.2,0.5,,9.5,0.0,,0.0,0.0,9.0,,205.0,60.0,0.0,11.2,8.0,14.0,2.8,5.2,9.8,886.5(27),4.0,01-01-2004,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2005,,,
3110C,,67.0,909.6(11),2.0,1014.7,898.1,-1.5,,3.2,0.0,,0.0,0.0,1.0,,120.0,51.0,0.0,0.1,5.0,20.0,0.3,2.7,6.8,886.6(26),0.0,01-01-2006,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2007,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2008,,,
3110C,,,909.0(11),,1009.7,893.5,,,,,,,,,,,49.0,,,7.0,,,,,875.8(25),,01-01-2009,,,
3110C,,63.0,901.9(27),,1008.2,892.4,-0.2,,5.7,0.0,,,,,,,49.0,,,6.0,14.0,-2.3,2.9,6.0,876.3(14),,01-01-2010,,,
3110C,,,906.7(12),0.0,1013.5,896.0,-1.2,,5.9,0.0,,1.0,0.0,10.0,,109.0,,0.0,38.5,5.0,20.0,1.3,3.4,8.0,878.2(27),7.0,01-01-2011,,,
3110C,,78.0,913.7(19),1.0,1022.3,902.7,-2.7,,5.8,0.0,,0.0,0.0,4.0,,133.0,66.0,0.0,8.5,6.0,26.0,3.1,3.9,10.6,889.2(16),3.0,01-01-2012,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2013,,,
3110C,,75.0,910.2(26),4.0,1013.2,894.4,0.9,,6.5,0.0,,2.0,0.0,22.0,,178.0,61.0,0.0,101.8,8.0,14.0,2.7,4.0,7.1,874.3(19),16.0,01-01-2014,,,
3110C,,64.0,919.2(09),6.0,1020.3,900.3,-2.6,,6.6,0.0,,2.0,0.0,9.0,,205.0,48.0,1.0,79.2,9.0,26.0,-0.9,3.3,9.2,871.2(31),6.0,01-01-2015,,,
3110C,,74.0,911.2(31),2.0,1016.5,897.6,0.0,,8.3,0.0,,0.0,0.0,3.0,,134.0,64.0,0.0,0.3,6.0,19.0,3.4,4.5,9.0,877.6(04),0.0,01-01-2016,,,
3110C,,66.0,907.3(07),3.0,1018.0,898.1,-3.2,,3.0,0.0,,1.0,0.0,7.0,,175.0,49.0,0.0,22.1,7.0,25.0,2.5,2.2,7.6,884.5(27),3.0,01-01-2017,,,
3110C,,,,,,,,,,,,,,,,165.0,,,,8.0,,,,,,,01-01-2018,,,
3110C,,58.0,916.9(05),7.0,1026.5,905.4,-3.1,,4.6,0.0,,,0.0,,,228.0,46.0,,,11.0,23.0,2.0,3.3,9.6,891.3(23),,01-01-2019,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2020,,,
3110C,,61.0,914.1(16),5.0,1022.1,901.7,-1.5,,7.2,0.0,,0.0,0.0,3.0,,174.0,50.0,0.0,7.5,7.0,19.0,0.3,3.2,7.9,886.6(09),2.0,01-01-2021,,,
3110C,,54.0,918.1(29),0.0,1031.7,910.5,-2.5,,7.7,0.0,,0.0,0.0,5.0,,117.0,45.0,0.0,13.9,5.0,23.0,6.2,4.4,11.3,895.1(04),3.0,01-01-2022,5.0,16.0,10.0
3110C,,59.0,918.1(04),10.0,1027.3,906.5,-1.0,,5.4,0.0,,2.0,0.0,12.0,,197.0,49.0,0.0,46.4,8.0,22.0,3.4,4.1,9.1,884.1(17),7.0,01-01-2023,7.0,8.0,16.0
3110C,,65.0,921.0(25),0.0,1026.0,906.2,1.4,,8.4,0.0,,1.0,0.0,15.0,,92.0,63.0,0.0,65.6,4.0,9.0,4.6,6.4,11.3,887.2(17),9.0,01-01-2024,13.0,5.0,13.0
3110C,,62.0,916.7(11),2.0,1015.7,900.3,0.4,,5.9,0.0,,1.0,0.0,10.0,,111.0,57.0,0.0,34.3,4.0,13.0,4.3,5.4,10.4,879.4(27),4.0,01-02-2001,,,
3110C,,64.0,912.5(19),2.0,1018.5,902.6,-0.6,,3.7,0.0,,0.0,0.0,4.0,,185.0,58.0,0.0,12.8,7.0,18.0,5.5,5.1,10.7,888.9(28),3.0,01-02-2002,,,
3110C,,66.0,907.7(28),3.0,1013.4,897.3,-0.7,,4.4,0.0,,2.0,1.0,11.0,,199.0,54.0,0.0,63.7,9.0,16.0,-1.5,3.3,7.2,882.1(19),6.0,01-02-2003,,,
3110C,,64.0,914.7(04),2.0,1013.9,898.1,-1.6,,4.1,0.0,,1.0,0.0,9.0,,140.0,55.0,0.0,58.4,5.0,20.0,0.6,4.1,9.7,874.3(21),7.0,01-02-2004,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-02-2005,,,
3110C,,55.0,905.0(07),2.0,1009.0,893.7,-1.6,,5.9,0.0,,0.0,0.0,2.0,,154.0,45.0,0.0,0.2,6.0,21.0,3.3,4.3,10.1,874.4(26),0.0,01-02-2006,,,
3110C,,61.0,908.5(27),6.0,1010.4,895.8,1.7,,9.6,0.0,,0.0,0.0,19.0,,173.0,60.0,0.0,41.6,8.0,8.0,5.1,6.1,10.5,882.9(16),9.0,01-02-2007,,,
3110C,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,01-02-2008,,,
3110C,,56.0,907.6(22),2.0,1008.0,893.0,-1.3,,3.6,0.0,,0.0,0.0,6.0,,150.0,47.0,0.0,16.1,6.0,21.0,1.5,4.6,10.4,868.7(02),3.0,01-02-2009,,,
3110C,,64.0,903.0(01),2.0,1001.0,886.2,-0.2,,6.2,0.0,,,0.0,,,143.0,52.0,,,6.0,14.0,0.4,3.4,7.0,868.6(17),,01-02-2010,,,
3110C,,,912.4(04),4.0,,897.8,-0.2,,7.6,0.0,,0.0,0.0,8.0,,183.0,63.0,0.0,38.2,7.0,16.0,4.5,5.5,11.2,871.6(17),7.0,01-02-2011,,,
3110C,,73.0,909.2(04),9.0,1021.3,901.1,-3.9,,3.5,0.0,,0.0,1.0,6.0,,227.0,55.0,0.0,10.6,10.0,27.0,-0.8,2.2,8.3,889.0(01),3.0,01-02-2012,,,
3110C,,70.0,907.3(04),10.0,1014.2,894.9,-1.1,,4.3,0.0,,1.0,0.0,13.0,,227.0,54.0,0.0,41.4,10.0,20.0,1.1,2.7,6.5,877.1(23),8.0,01-02-2013,,,
3110C,,71.0,906.3(26),3.0,1014.0,894.7,-1.7,,5.8,0.0,,1.0,0.0,20.0,,177.0,54.0,0.0,63.6,8.0,17.0,1.5,2.6,6.9,872.6(09),14.0,01-02-2014,,,
3110C,,68.0,908.5(19),9.0,1014.5,895.0,-1.5,,4.7,0.0,,1.0,0.0,11.0,,248.0,50.0,0.0,42.3,11.0,17.0,-1.6,2.3,6.1,874.5(03),6.0,01-02-2015,,,
3110C,,66.0,913.0(04),11.0,1014.1,895.4,-1.3,,7.5,0.0,,0.0,0.0,9.0,,245.0,56.0,0.0,27.4,11.0,21.0,2.5,3.8,8.9,872.6(27),5.0,01-02-2016,,,
3110C,,68.0,908.3(16),6.0,1013.6,895.4,-0.9,,5.8,0.0,,2.0,0.0,13.0,,160.0,61.0,1.0,109.3,7.0,19.0,1.5,4.6,10.1,878.5(12),8.0,01-02-2017,,,
3110C,,,,,,898.6,,,,,,,,,,202.0,,,,10.0,,,,,,,01-02-2018,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-02-2019,,,
3110C,,64.0,919.3(23),,1029.9,910.5,1.0,,7.2,0.0,,0.0,,5.0,,,68.0,0.0,2.0,,13.0,7.5,7.6,14.2,897.0(29),1.0,01-02-2020,,,
3110C,,63.0,917.9(23),2.0,1021.6,902.8,2.2,,6.3,0.0,,2.0,0.0,12.0,,115.0,63.0,0.0,60.3,5.0,5.0,7.3,6.8,11.4,886.7(09),7.0,01-02-2021,,,
3110C,,53.0,915.1(22),1.0,1028.4,908.9,-0.6,,3.2,0.0,,0.0,0.0,4.0,,118.0,53.0,0.0,9.5,5.0,16.0,6.5,7.0,14.6,899.4(14),2.0,01-02-2022,7.0,10.0,11.0
3110C,,53.0,919.1(10),2.0,1029.0,908.2,-2.7,,3.5,0.0,,0.0,0.0,3.0,,109.0,43.0,0.0,7.7,5.0,24.0,0.5,4.2,11.1,889.2(25),1.0,01-02-2023,1.0,11.0,16.0
3110C,,57.0,920.0(01),7.0,1023.6,904.8,2.3,,7.0,0.0,,2.0,0.0,12.0,,176.0,60.0,0.0,51.3,8.0,7.0,5.2,7.6,12.7,875.0(09),8.0,01-02-2024,11.0,6.0,12.0
3110C,,68.0,906.0(31),4.0,1006.2,893.2,5.0,,10.2,0.0,,1.0,0.0,23.0,,190.0,80.0,0.0,51.8,8.0,1.0,2.4,9.0,12.9,870.6(02),13.0,01-03-2001,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-03-2002,,,
3110C,,59.0,909.3(10),0.0,1014.1,900.1,2.3,,6.7,0.0,,4.0,0.0,10.0,,130.0,66.0,0.0,91.6,6.0,6.0,8.6,8.2,14.1,886.4(30),8.0,01-03-2003,,,
3110C,,61.0,911.0(20),0.0,1013.7,898.7,1.1,,6.1,0.0,,3.0,0.0,11.0,,155.0,59.0,1.0,69.8,6.0,8.0,2.3,6.0,11.0,882.0(29),6.0,01-03-2004,,,
3110C,,,,,,,,,,,,,,,,,,,,,,,,,,,01-03-2005,,,
