indicativo,p_max,n_cub,n_des,np_100,n_nub,np_001,np_300,p_mes,np_010,fecha,w_med,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,nw_91,ta_min,w_rec,e,nt_00,ti_max,tm_mes,tm_max,q_max,q_mar,q_med,q_min,hr
3111D,,,,,,,,,,01-01-2005,,,,,,,,,,,,,,,,,,,,
3111D,,,,0.0,,14.0,0.0,18.1,6.0,01-01-2006,7.0,2.0,-2.8,,0.3,0.0,,0.0,,208.0,56.0,30.0,-4.7,-0.2,2.4,868.4(11),1025.4,858.1,846.1(28),
3111D,,,,,,,,,,01-01-2007,,,,,,,,,,,,,,,,,,,,
3111D,,,,3.0,,16.0,0.0,89.7,13.0,01-01-2008,8.0,3.0,0.1,,3.6,0.0,,0.0,,190.0,66.0,13.0,0.6,3.6,7.0,873.3(27),1027.8,862.2,835.8(03),86.0
3111D,,,,,,,,,,01-01-2009,7.0,6.0,-3.3,,5.6,0.0,,0.0,,203.0,56.0,23.0,-5.3,-0.4,2.4,866.6(11),1020.8,854.4,840.0(25),87.0
3111D,,,,,,,,,,01-01-2010,7.0,,,,,,,,,,,,,,,,,,,
3111D,,,,4.0,,15.0,0.0,97.6,12.0,01-01-2011,7.0,1.0,-0.9,,4.0,0.0,,0.0,,168.0,59.0,13.0,-0.7,2.0,4.9,869.2(12),1023.2,857.5,839.3(27),81.0
3111D,,,,1.0,,11.0,0.0,20.8,2.0,01-01-2012,6.0,0.0,-0.7,,2.2,0.0,,0.0,,144.0,53.0,16.0,-0.8,2.8,6.2,875.3(19),1031.1,864.4,850.4(16),74.0
3111D,,,,9.0,,15.0,1.0,216.3,14.0,01-01-2013,7.0,5.0,-0.5,,5.6,0.0,,0.0,,165.0,57.0,18.0,-1.1,2.6,5.7,875.7(03),1024.4,858.8,824.0(19),80.0
3111D,,,,,,,,,,01-01-2014,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-01-2015,,,,,,,,,,,,,,,,,,,,
3111D,,,,6.0,,22.0,2.0,182.6,16.0,01-01-2016,7.0,5.0,0.6,,5.8,0.0,,0.0,,154.0,65.0,16.0,0.1,3.6,6.5,873.5(31),1025.5,860.3,843.4(04),82.0
3111D,,,,1.0,,15.0,0.0,40.9,7.0,01-01-2017,6.0,6.0,-2.4,,3.4,0.0,,0.0,,139.0,46.0,24.0,-1.9,1.1,4.6,867.1(07),1026.7,859.9,846.3(27),71.0
3111D,,,,2.0,,11.0,0.0,75.3,9.0,01-01-2018,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-01-2019,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-01-2020,2.0,3.0,-0.3,,5.5,0.0,,0.0,,38.0,53.0,18.0,0.0,3.2,6.6,,,,,
3111D,,,,,,,,,,01-01-2021,,,,,,,,,,,,,,,,,,,,
3111D,,4.0,17.0,2.0,10.0,7.0,0.0,45.5,4.0,01-01-2022,4.0,1.0,-1.1,,6.6,0.0,,0.0,,88.0,44.0,23.0,-1.4,3.0,7.1,,,,,
3111D,,10.0,7.0,4.0,14.0,14.0,3.0,167.4,11.0,01-01-2023,8.0,4.0,-2.5,,3.4,0.0,,0.0,,185.0,52.0,25.0,-2.9,1.1,4.7,,,,,82.0
3111D,,13.0,4.0,8.0,14.0,17.0,1.0,174.1,14.0,01-01-2024,5.0,1.0,1.2,,8.8,0.0,,0.0,,134.0,64.0,14.0,-0.7,4.8,8.2,,,,,
3111D,,,,,,,,,,01-02-2005,,,,,,,,,,,,,,,,,,,,
3111D,,,,0.0,,12.0,0.0,32.8,10.0,01-02-2006,8.0,3.0,-2.1,,2.4,0.0,,0.0,,199.0,49.0,17.0,-1.1,1.7,5.6,864.0(07),1019.7,854.2,836.6(26),
3111D,,,,,,,,,,01-02-2007,10.0,,,,,,,,,,69.0,,,,,867.7(27),1022.2,857.6,843.6(16),
3111D,,,,2.0,,13.0,0.0,60.6,8.0,01-02-2008,,,1.3,,3.7,0.0,,,,,68.0,6.0,2.6,4.6,7.8,871.1(06),1027.9,862.9,847.2(03),81.0
3111D,,,,,,,,,,01-02-2009,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-02-2010,11.0,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-02-2011,6.0,,-0.5,,3.1,0.0,,,,,54.0,12.0,0.1,3.0,6.4,873.6(04),1024.9,859.5,834.0(17),75.0
3111D,,,,,,,,,,01-02-2012,,,,,,,,,,,,,,,,,,,,
3111D,,,,4.0,,24.0,0.0,115.2,17.0,01-02-2013,8.0,8.0,-2.4,,2.7,0.0,,0.0,,197.0,56.0,21.0,-2.5,0.3,3.0,869.0(04),1022.8,856.2,840.3(23),88.0
3111D,,,,,,,,,,01-02-2014,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-02-2015,,,,,,,,,,,,,,,,,,,,
3111D,,,,10.0,,17.0,3.0,256.7,16.0,01-02-2016,7.0,11.0,-1.6,,3.9,0.0,,0.0,,177.0,55.0,18.0,-1.3,1.9,5.4,873.4(01),1023.6,857.9,834.2(27),76.0
3111D,,,,6.0,,12.0,1.0,164.1,10.0,01-02-2017,8.0,7.0,0.2,,6.1,0.0,,1.0,,199.0,55.0,15.0,0.3,4.0,7.8,869.3(16),1022.6,858.1,840.7(13),70.0
3111D,,,,0.0,,0.0,0.0,0.0,0.0,01-02-2018,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-02-2019,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-02-2020,,,,,,,,,,,,,,,,,,,,
3111D,,,,,,,,,,01-02-2021,,,,,,,,,,,,,,,,,,,,
3111D,,7.0,8.0,0.0,13.0,6.0,0.0,14.3,2.0,01-02-2022,4.0,1.0,0.4,,4.2,0.0,,0.0,,93.0,51.0,12.0,3.7,5.1,9.9,,,,,
