indicativo,fecha,p_max,hr,np_100,np_001,np_300,p_mes,np_010,tm_min,ta_max,ts_min,nt_30,ta_min,e,nt_00,ti_max,tm_mes,tm_max,n_cub,n_des,n_nub
3125Y,01-01-2009,,,0.0,17.0,0.0,37.2,12.0,,,,,,,,,,,,,
3125Y,01-01-2010,,,3.0,20.0,0.0,60.4,9.0,,,,,,,,,,,,,
3125Y,01-01-2011,,,1.0,11.0,0.0,39.2,9.0,,,,,,,,,,,,,
3125Y,01-01-2012,,,0.0,2.0,0.0,5.0,2.0,,,,,,,,,,,,,
3125Y,01-01-2013,,78.0,0.0,10.0,0.0,25.0,8.0,-1.4,,7.4,0.0,,67.0,23.0,2.0,4.1,9.6,,,
3125Y,01-01-2014,,79.0,1.0,24.0,0.0,65.6,12.0,,,,,,,,,,,,,
3125Y,01-01-2015,,69.0,0.0,5.0,0.0,16.0,3.0,,,,,,,,,,,,,
3125Y,01-01-2016,,,,,,,,,,,,,,,,,,,,
3125Y,01-01-2017,,71.0,1.0,3.0,0.0,15.6,2.0,,,,,,,,,,,,,
3125Y,01-01-2019,,,,,,,,,,,,,,,,,,,,
3125Y,01-01-2020,,72.0,0.0,8.0,0.0,12.0,3.0,2.2,,9.7,0.0,,72.0,11.0,4.4,6.9,11.6,,,
3125Y,01-01-2021,,74.0,2.0,12.0,0.0,47.6,8.0,0.0,,9.9,0.0,,66.0,19.0,1.1,4.6,9.1,,,
3125Y,01-01-2022,,,,,,,,,,,,,,,,,,3.0,18.0,10.0
3125Y,01-01-2023,,67.0,0.0,5.0,0.0,15.8,2.0,1.3,,7.3,0.0,,66.0,10.0,5.9,6.5,11.7,5.0,12.0,14.0
3125Y,01-01-2024,,78.0,3.0,11.0,0.0,61.2,9.0,3.8,,10.6,0.0,,86.0,2.0,6.4,8.4,12.9,12.0,4.0,15.0
3125Y,01-02-2009,,,1.0,7.0,0.0,41.2,5.0,,,,,,,,,,,,,
3125Y,01-02-2010,,,3.0,18.0,0.0,91.4,13.0,,,,,,,,,,,,,
3125Y,01-02-2011,,,0.0,8.0,0.0,26.0,5.0,,,,,,,,,,,,,
3125Y,01-02-2012,,,0.0,1.0,0.0,3.2,1.0,,,,,,,,,,,,,
3125Y,01-02-2013,,69.0,0.0,11.0,0.0,14.2,6.0,-1.5,,6.6,0.0,,64.0,19.0,3.9,4.5,10.4,,,
3125Y,01-02-2014,,75.0,2.0,17.0,0.0,54.6,11.0,,,,,,,,,,,,,
3125Y,01-02-2015,,66.0,0.0,7.0,0.0,10.2,4.0,,,,,,,,,,,,,
3125Y,01-02-2016,,70.0,0.0,7.0,0.0,23.4,5.0,,,,,,,,,,,,,
3125Y,01-02-2017,,,1.0,9.0,0.0,48.2,6.0,,,,,,,,,,,,,
3125Y,01-02-2019,,51.0,0.0,1.0,0.0,0.2,0.0,1.5,,4.6,0.0,,55.0,4.0,8.8,9.1,16.6,,,
3125Y,01-02-2020,,66.0,0.0,0.0,0.0,0.0,0.0,4.5,,11.0,0.0,,83.0,0.0,10.8,10.8,16.9,,,
3125Y,01-02-2021,,70.0,1.0,10.0,0.0,53.2,7.0,5.1,,9.2,0.0,,86.0,0.0,9.5,10.1,15.0,,,
3125Y,01-02-2022,,,0.0,3.0,0.0,7.4,3.0,2.7,,6.2,0.0,,64.0,1.0,8.8,9.6,16.5,6.0,13.0,9.0
3125Y,01-02-2023,,52.0,0.0,2.0,0.0,0.8,0.0,0.8,,7.1,0.0,,53.0,12.0,6.5,7.6,14.2,2.0,13.0,13.0
3125Y,01-02-2024,,66.0,1.0,9.0,0.0,31.6,4.0,4.8,,9.2,0.0,,81.0,0.0,9.3,10.1,15.4,10.0,8.0,11.0
3125Y,01-03-2009,,,,,,,,,,,,,,,,,,,,
3125Y,01-03-2010,,,1.0,12.0,1.0,62.2,8.0,,,,,,,,,,,,,
3125Y,01-03-2011,,,2.0,13.0,0.0,56.4,9.0,,,,,,,,,,,,,
3125Y,01-03-2012,,52.0,1.0,2.0,0.0,19.6,2.0,-2.8,,1.1,0.0,,54.0,27.0,5.5,7.3,17.5,,,
3125Y,01-03-2013,,76.0,3.0,25.0,0.0,111.7,17.0,3.0,,9.0,0.0,,85.0,11.0,6.7,8.0,12.9,,,
3125Y,01-03-2014,,,0.0,5.0,0.0,15.2,5.0,,,,,,,,,,,,,
3125Y,01-03-2015,,61.0,0.0,4.0,0.0,8.2,2.0,,,,,,,,,,,,,
3125Y,01-03-2016,,62.0,1.0,10.0,0.0,32.0,6.0,,,,,,,,,,,,,
3125Y,01-03-2017,,,0.0,7.0,0.0,16.2,5.0,,,,,,,,,,,,,
3125Y,01-03-2019,,42.0,,,,,,4.4,,8.8,0.0,,57.0,0.0,12.1,12.0,19.5,,,
