indicativo,p_max,n_cub,hr,nw_55,tm_min,ta_max,ts_min,nt_30,n_des,w_racha,np_100,n_nub,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha
3126Y,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2003
3126Y,,,,,1.4,,9.0,0.0,,,0.0,,,7.0,,,,0.0,7.2,,14.0,6.4,6.2,11.0,2.0,01-01-2004
3126Y,,,,,-2.6,,2.5,0.0,,,0.0,,,0.0,,,,0.0,0.0,,26.0,1.4,4.2,10.8,0.0,01-01-2005
3126Y,,,,,-0.3,,4.6,0.0,,,2.0,,,9.0,,,,1.0,47.2,,15.0,1.5,3.9,8.1,3.0,01-01-2006
3126Y,,,,,0.9,,5.1,0.0,,,0.0,,,8.0,,,,0.0,13.4,,14.0,4.1,5.4,9.8,2.0,01-01-2007
3126Y,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2008
3126Y,,,,,0.1,,9.9,0.0,,,0.0,,,17.0,,,,0.0,32.6,,16.0,0.6,3.8,7.5,10.0,01-01-2009
3126Y,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2010
3126Y,,,81.0,0.0,0.5,,7.8,0.0,,,0.0,,0.0,12.0,,83.0,74.0,0.0,45.4,4.0,14.0,3.5,4.8,9.0,9.0,01-01-2011
3126Y,,,72.0,0.0,-1.4,,3.1,0.0,,,0.0,,0.0,2.0,,77.0,62.0,0.0,6.2,3.0,25.0,2.9,4.8,10.9,2.0,01-01-2012
3126Y,,,78.0,2.0,0.9,,7.2,0.0,,,1.0,,0.0,11.0,,140.0,70.0,0.0,29.8,6.0,12.0,2.0,5.0,9.1,7.0,01-01-2013
3126Y,,,82.0,1.0,3.0,,8.9,0.0,,,3.0,,0.0,18.0,,141.0,82.0,0.0,82.4,6.0,2.0,6.3,6.5,9.9,13.0,01-01-2014
3126Y,,,66.0,1.0,-1.4,,9.5,0.0,,,0.0,,0.0,4.0,,88.0,57.0,0.0,12.0,4.0,23.0,2.3,4.7,10.6,3.0,01-01-2015
3126Y,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2016
3126Y,,,69.0,0.0,-1.1,,6.2,0.0,,,1.0,,0.0,6.0,,91.0,61.0,0.0,21.6,4.0,18.0,4.4,4.2,9.5,3.0,01-01-2017
3126Y,,,,,,,,,,,,,,,,,,,,4.0,,,,,,01-01-2018
3126Y,,,65.0,0.0,-1.6,,6.6,0.0,,,0.0,,0.0,3.0,,90.0,57.0,0.0,20.6,4.0,24.0,2.9,4.8,11.2,3.0,01-01-2019
