indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
3129,,12,,79,0,1,3.5,961.0(20),9.0,1017.9,948.8,2.5,,7.8,0,0,2,,3,17,36,0.0,17,,281.0,81,0,0,72.6,18,0,12,7,3.9,0,6.4,10.2,0,932.6(28),13,01-01-2001
3129,,9,,80,0,7,4.4,966.7(11),0.0,1028.9,959.0,1.1,,6.8,0,0,2,,2,20,45,0.0,11,,138.0,78,0,0,53.4,11,0,7,14,7.4,0,6.0,10.8,1,943.5(23),7,01-01-2002
3129,,7,,68,0,3,5.2,966.2(27),9.0,1022.4,952.7,0.7,,9.0,0,0,9,,1,15,53,0.0,9,,323.0,65,0,1,34.3,11,0,14,12,4.0,0,5.4,10.0,0,933.8(05),7,01-01-2003
3129,,7,,74,0,5,5.4,960.9(10),2.0,1021.3,951.9,0.8,,9.9,0,0,8,,0,16,56,0.0,2,,199.0,74,0,3,4.1,3,0,10,18,7.7,0,6.1,11.5,1,941.0(27),1,01-01-2004
3129,,0,,61,0,0,8.3,970.7(06),4.0,1028.8,958.3,-3.3,,3.3,0,0,19,,0,12,86,0.0,0,,230.0,52,0,0,0.0,0,0,8,28,2.8,0,4.3,11.9,0,944.1(27),0,01-01-2005
3129,,7,20704.0,74,0,4,4.0,963.4(11),1.0,1021.7,951.9,0.1,,4.4,0,0,3,,2,21,42,0.0,7,,197.0,67,0,0,37.8,6,0,9,14,2.5,2,4.9,9.6,0,939.8(06),4,01-01-2006
3129,,9,19797.0,74,0,4,3.9,971.8(02),2.0,1027.9,957.9,0.9,,6.1,0,0,5,,0,17,40,0.0,2,,200.0,71,0,2,9.3,4,0,9,13,5.0,0,6.0,11.1,0,937.0(25),2,01-01-2007
3129,,5,22625.0,74,0,4,4.8,968.0(27),4.0,1024.9,955.5,1.6,,8.3,0,0,11,,1,15,50,0.0,6,,213.0,78,0,0,19.8,6,0,9,11,7.7,0,7.4,13.2,0,927.7(03),4,01-01-2008
3129,,11,20655.0,75,0,7,3.4,962.5(11),8.0,1017.5,948.0,0.5,,11.5,0,0,4,,0,16,35,0.0,13,,296.0,68,0,3,27.4,10,0,13,16,1.0,3,4.8,9.0,0,931.8(25),9,01-01-2009
3129,,15,18589.0,74,0,5,2.9,956.9(15),7.0,1016.3,947.0,1.8,,8.4,0,0,1,,0,15,30,0.0,16,,273.0,70,0,2,43.5,12,0,12,8,0.5,5,5.5,9.1,0,931.2(07),8,01-01-2010
3129,,12,22504.0,74,0,7,4.4,962.5(17),3.0,1020.1,950.6,1.6,,8.9,0,0,8,,1,11,45,0.0,11,,196.0,72,0,2,26.6,9,0,8,11,5.4,2,6.1,10.5,0,931.9(27),6,01-01-2011
3129,,4,27799.0,67,0,1,7.1,969.7(19),3.0,1027.9,957.7,-1.6,,1.9,0,0,18,,0,9,74,0.0,2,,190.0,60,0,0,4.2,2,0,9,26,4.1,0,5.5,12.4,0,943.5(16),1,01-01-2012
3129,,10,22560.0,71,0,6,4.7,970.6(04),11.0,1021.6,952.1,1.3,,8.6,0,0,4,,0,17,49,1.0,8,,308.0,68,0,3,14.0,8,0,14,11,3.3,0,5.9,10.5,0,914.1(19),4,01-01-2013
3129,,14,19800.0,77,0,4,3.1,963.1(27),10.0,1016.0,947.4,4.4,,10.7,0,0,0,,1,17,32,0.0,14,,330.0,85,0,1,64.8,15,0,14,2,8.4,2,8.2,12.0,0,927.2(18),12,01-01-2014
3129,,4,28884.0,67,0,2,6.5,974.7(09),6.0,1025.7,955.7,-1.2,,10.4,0,0,12,,0,15,67,0.0,4,,234.0,60,0,0,18.4,3,0,10,26,4.2,1,5.6,12.2,0,925.9(31),3,01-01-2015
3129,,16,20063.0,78,0,3,3.5,966.7(30),10.0,1022.7,953.7,4.1,,10.7,0,0,2,,1,13,36,0.0,11,,311.0,89,0,0,28.9,11,0,14,5,7.5,0,8.2,12.2,0,934.6(04),7,01-01-2016
3129,,6,26880.0,69,0,5,5.7,962.3(07),2.0,1023.5,953.6,-1.1,,7.1,0,0,8,,1,17,59,0.0,3,,218.0,63,0,2,17.5,4,0,10,22,4.3,0,4.9,10.9,0,939.7(27),2,01-01-2017
3129,,7,25357.0,75,0,3,5.5,967.8(28),6.0,1024.1,954.5,1.0,,7.3,0,0,7,,2,17,57,0.0,7,,236.0,74,0,4,46.6,8,0,10,15,4.7,0,6.6,12.1,0,928.9(06),6,01-01-2018
3129,,3,29970.0,64,0,0,6.7,965.7(05),3.0,1021.9,952.2,-1.4,,7.8,0,0,16,,0,12,70,0.0,4,,239.0,59,0,0,18.2,4,0,11,22,5.1,0,5.7,12.7,0,929.2(31),3,01-01-2019
3129,,13,,75,0,5,4.3,965.8(04),2.0,1026.9,957.0,1.5,,10.5,0,0,10,,0,8,45,0.0,7,,211.0,74,0,0,12.4,9,0,9,15,4.5,0,6.7,11.7,0,947.8(25),4,01-01-2020
3129,,11,,78,0,5,4.8,962.6(17),7.0,1019.6,949.5,-1.7,,9.5,0,0,7,,2,13,50,0.0,11,,251.0,66,0,0,52.1,7,1,11,20,0.3,3,3.2,8.1,0,934.3(09),8,01-01-2021
3129,,1,,67,0,3,7.0,966.3(29),1.0,1028.9,958.6,-2.0,,4.8,0,0,18,,0,12,73,0.0,2,,156.0,60,0,0,11.5,2,0,7,24,7.6,0,5.4,12.8,0,941.7(04),2,01-01-2022
3129,,5,,71,0,4,6.2,966.7(04),6.0,1024.2,954.5,0.4,,8.4,0,1,10,,0,16,64,0.0,6,,268.0,69,0,0,10.4,5,0,12,17,6.3,1,5.9,11.4,0,932.9(17),2,01-01-2023
3129,,13,,82,0,7,4.4,970.6(23),2.0,1023.9,954.6,2.9,,11.2,0,0,4,,2,14,45,0.0,10,,174.0,88,0,2,58.2,9,0,7,6,7.3,1,7.8,12.7,0,934.4(17),9,01-01-2024
3129,,2,,65,0,2,6.9,969.8(11),5.0,1022.5,953.3,1.5,,8.7,0,0,9,,1,17,65,0.0,3,,249.0,68,0,0,27.9,8,0,12,11,7.7,1,7.1,12.8,0,934.5(27),3,01-02-2001
