fecha;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;sol;hrmedia;hrmax;horahrmax;hrmin;horahrmin
2001-01-01;664;8.3;4.3;5.8;00:10;10.8;14:15;24.0;1.1;12.2;22:40;;84.0;90.0;04:00;78.0;08:20
2001-01-02;664;8.9;0.1;6.4;23:50;11.4;14:50;24.0;3.6;14.7;14:30;;72.0;85.0;Varias;58.0;15:15
2001-01-03;664;7.2;2.2;4.9;04:10;9.6;Varias;24.0;1.7;9.4;15:40;;79.0;88.0;05:15;70.0;Varias
2001-01-04;664;10.0;2.4;8.1;23:59;11.8;11:55;23.0;3.3;11.4;13:10;;75.0;90.0;Varias;64.0;Varias
2001-01-05;664;11.0;13.3;8.0;Varias;14.0;Varias;17.0;1.1;12.8;23:50;;86.0;91.0;Varias;77.0;23:35
2001-01-06;664;8.5;0.0;4.1;23:59;12.9;00:00;30.0;2.5;11.4;11:20;;68.0;89.0;06:05;49.0;15:15
2001-01-07;664;5.6;0.0;1.7;Varias;9.6;14:20;26.0;2.2;8.6;15:30;;65.0;83.0;Varias;48.0;Varias
2001-01-08;664;4.4;0.0;0.6;07:20;8.3;Varias;25.0;0.3;6.4;01:20;;61.0;83.0;23:40;48.0;13:00
2001-01-09;664;2.8;1.5;0.6;05:50;5.0;23:55;8.0;0.6;5.3;16:50;;79.0;90.0;Varias;66.0;13:00
2001-01-10;664;8.2;9.8;4.8;Varias;11.5;15:25;16.0;0.3;9.7;22:40;;89.0;91.0;Varias;81.0;15:40
2001-01-11;664;9.0;14.8;7.2;23:10;10.7;Varias;16.0;1.7;9.2;00:40;;85.0;87.0;Varias;76.0;05:10
2001-01-12;664;7.8;3.6;6.2;21:00;9.3;15:00;10.0;2.2;8.1;21:40;;84.0;89.0;Varias;75.0;Varias
2001-01-13;664;8.1;0.0;2.1;07:45;14.1;13:30;3.0;1.4;6.7;17:30;;63.0;90.0;08:55;46.0;13:40
2001-01-14;664;6.8;0.0;0.9;07:40;12.8;14:30;99.0;0.8;3.9;Varias;;68.0;90.0;08:45;51.0;14:55
2001-01-15;664;5.2;0.7;3.2;07:00;7.2;12:35;27.0;1.1;7.8;14:20;;86.0;90.0;Varias;81.0;Varias
2001-01-16;664;6.6;1.4;4.8;Varias;8.3;12:20;24.0;1.1;7.8;14:40;;81.0;88.0;Varias;70.0;12:20
2001-01-17;664;6.4;2.3;3.1;05:40;9.7;13:50;25.0;1.4;7.8;14:50;;74.0;91.0;Varias;60.0;13:00
2001-01-18;664;6.7;1.9;3.8;23:59;9.6;15:50;24.0;0.8;12.8;19:20;;85.0;90.0;Varias;67.0;16:10
2001-01-19;664;6.6;0.0;1.5;08:00;11.8;13:10;30.0;2.5;11.4;14:30;;67.0;91.0;Varias;48.0;Varias
2001-01-20;664;6.0;0.0;0.3;07:50;11.7;14:50;24.0;0.8;4.2;13:30;;66.0;88.0;08:35;48.0;Varias
2001-01-21;664;5.2;0.0;-1.0;Varias;11.3;14:50;24.0;0.3;4.2;14:10;;73.0;92.0;07:00;55.0;Varias
2001-01-22;664;3.9;0.2;-0.3;05:40;8.1;Varias;23.0;1.1;8.1;16:20;;82.0;92.0;Varias;72.0;13:55
2001-01-23;664;10.3;0.4;8.0;Varias;12.6;18:30;23.0;1.7;13.3;21:00;;85.0;90.0;Varias;79.0;Varias
2001-01-24;664;10.2;5.9;7.9;23:00;12.5;05:40;26.0;3.9;15.0;15:00;;79.0;89.0;Varias;56.0;15:50
2001-01-25;664;7.0;;3.9;Varias;10.0;13:10;24.0;4.4;13.6;10:30;;69.0;86.0;08:55;56.0;Varias
2001-01-26;664;;;;;;;;3.9;;;;88.0;;;;
2001-01-27;664;;1.5;;;;;;3.6;;;;78.0;;;;
2001-01-28;664;7.3;;4.6;22:10;10.0;00:10;29.0;6.4;20.0;Varias;;60.0;87.0;Varias;48.0;Varias
2001-01-29;664;;;;;;;;2.2;;;;56.0;;;;
2001-01-30;664;;;;;;;;0.8;;;;62.0;;;;
2001-01-31;664;;;;;;;;1.9;;;;62.0;;;;
2001-02-01;664;;;;;;;;2.2;;;;60.0;;;;
2001-02-02;664;;;;;;;;0.8;;;;65.0;;;;
2001-02-03;664;;;;;;;;0.6;;;;69.0;;;;
2001-02-04;664;8.7;;4.9;Varias;12.5;Varias;26.0;3.3;11.7;14:20;;69.0;90.0;Varias;52.0;14:35
2001-02-05;664;;;;;;;;1.1;;;;86.0;;;;
2001-02-06;664;;;;;;;;1.7;;;;67.0;;;;
2001-02-07;664;;;;;;;;1.9;;;;78.0;;;;
2001-02-08;664;;;;;;;;2.5;;;;75.0;;;;
2001-02-09;664;6.8;0.0;2.1;06:30;11.5;14:20;28.0;1.7;10.8;00:20;;68.0;82.0;Varias;53.0;Varias
2001-02-10;664;12.0;0.0;7.7;Varias;16.2;15:40;99.0;0.8;5.0;Varias;;76.0;90.0;Varias;63.0;15:30
2001-02-11;664;12.3;0.0;6.4;Varias;18.2;Varias;23.0;0.6;4.2;14:40;;69.0;92.0;08:40;48.0;16:50
2001-02-12;664;11.1;0.0;3.4;Varias;18.8;16:10;24.0;0.6;3.6;14:30;;66.0;91.0;Varias;47.0;Varias
2001-02-13;664;10.7;0.0;2.9;07:20;18.5;15:40;23.0;0.6;5.0;16:20;;62.0;91.0;Varias;46.0;15:50
2001-02-14;664;5.6;0.0;1.5;07:20;9.7;00:40;8.0;2.8;10.0;01:40;;65.0;85.0;08:00;56.0;Varias
2001-02-15;664;8.7;2.4;4.8;05:20;12.6;13:50;9.0;3.6;13.1;15:00;;68.0;83.0;16:35;53.0;Varias
2001-02-16;664;10.4;0.0;5.9;04:50;14.8;Varias;6.0;2.2;8.3;00:20;;47.0;68.0;Varias;38.0;Varias
2001-02-17;664;8.9;0.0;0.7;07:45;17.1;15:20;4.0;1.1;6.4;19:10;;47.0;77.0;08:05;33.0;16:00
2001-02-18;664;4.9;1.0;-1.1;05:50;10.9;13:50;8.0;2.8;10.8;18:00;;63.0;86.0;06:55;40.0;13:00
2001-02-19;664;6.6;0.0;1.4;01:30;11.9;15:30;6.0;2.2;9.7;09:20;;54.0;87.0;02:20;43.0;16:00
2001-02-20;664;8.8;0.0;1.2;07:25;16.4;15:40;6.0;0.3;6.7;06:10;;50.0;77.0;08:00;33.0;Varias
2001-02-21;664;8.1;0.0;-1.6;07:00;17.8;16:10;4.0;0.8;5.3;00:00;;50.0;83.0;07:55;29.0;16:00
2001-02-22;664;9.0;0.0;-0.8;07:00;18.9;15:40;23.0;0.3;5.6;15:20;;53.0;89.0;07:40;34.0;Varias
2001-02-23;664;7.6;0.0;-0.5;06:00;15.7;15:00;23.0;1.1;7.8;15:10;;65.0;88.0;Varias;47.0;12:25
2001-02-24;664;9.6;0.0;5.7;23:59;13.5;14:30;8.0;2.2;9.2;22:40;;53.0;87.0;Varias;43.0;14:35
2001-02-25;664;5.6;0.0;0.6;07:20;10.7;13:30;5.0;1.7;10.0;16:30;;46.0;66.0;07:55;39.0;13:00
2001-02-26;664;3.2;0.0;-3.3;07:10;9.8;16:10;24.0;0.8;8.3;14:30;;54.0;78.0;07:55;43.0;Varias
2001-02-27;664;5.8;0.0;1.8;22:50;9.8;Varias;29.0;6.1;17.8;16:40;;53.0;79.0;Varias;42.0;Varias
2001-02-28;664;4.9;0.0;0.0;06:05;9.8;15:35;29.0;3.9;15.0;11:00;;50.0;67.0;Varias;42.0;16:00
2001-03-01;664;4.6;14.8;2.9;00:30;6.2;Varias;23.0;0.6;6.7;04:20;;85.0;91.0;23:35;64.0;00:00
2001-03-02;664;10.0;6.3;5.5;Varias;14.4;11:15;23.0;4.2;17.8;12:00;;82.0;93.0;03:55;69.0;11:20
2001-03-03;664;12.1;2.7;9.2;Varias;15.0;15:00;27.0;5.3;18.1;14:50;;74.0;87.0;Varias;59.0;16:35
2001-03-04;664;11.4;12.9;9.7;Varias;13.1;13:05;23.0;2.5;13.9;13:10;;83.0;90.0;23:45;69.0;00:00
2001-03-05;664;12.6;0.5;10.0;07:00;15.1;16:10;16.0;1.4;7.8;22:30;;76.0;90.0;Varias;64.0;18:30
2001-03-06;664;17.0;4.5;12.7;Varias;21.3;16:00;23.0;1.9;15.0;13:50;;55.0;85.0;20:50;41.0;13:00
2001-03-07;664;12.0;12.3;8.8;23:55;15.3;13:05;22.0;0.3;15.0;18:30;;77.0;89.0;Varias;64.0;13:00
2001-03-08;664;10.0;0.5;7.4;06:15;12.6;Varias;24.0;3.9;13.6;16:20;;75.0;89.0;Varias;65.0;Varias
