indicativo,p_max,glo,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3194U,,31375.0,,,,,,,,,,,,,78.0,,,7.0,,,,,,01-01-2001,,,
3194U,,20680.0,72.0,0.0,2.2,,8.2,0.0,,4.0,0.0,11.0,,100.0,73.0,0.0,65.3,4.0,8.0,8.1,6.7,11.1,8.0,01-01-2002,,,
3194U,,23430.0,65.0,7.0,1.2,,10.1,0.0,,1.0,0.0,11.0,,185.0,62.0,0.0,39.8,8.0,14.0,4.5,6.0,10.8,9.0,01-01-2003,,,
3194U,,22729.0,68.0,2.0,2.4,,10.0,0.0,,0.0,0.0,6.0,,99.0,71.0,0.0,6.9,3.0,12.0,8.1,7.4,12.4,2.0,01-01-2004,,,
3194U,,31375.0,,,,,,,,,,,,77.0,,,,,,,,,,01-01-2005,,,
3194U,,21462.0,,0.0,1.1,,5.4,0.0,,0.0,0.0,24.0,,91.0,62.0,0.0,11.0,4.0,11.0,3.2,5.4,9.7,3.0,01-01-2006,,,
3194U,,20938.0,,,,,,,,,,,,,,,,,,,,,,01-01-2007,,,
3194U,,23515.0,,,,,,,,,,,,,,,,,,,,,,01-01-2008,,,
3194U,,21372.0,,,,,,,,,,,,,,,,,,,,,,01-01-2009,,,
3194U,,19574.0,,,1.9,,7.9,0.0,,0.0,,16.0,,,66.0,0.0,55.2,,8.0,1.0,5.4,8.8,9.0,01-01-2010,,,
3194U,,22410.0,71.0,,,,,,,,,,,119.0,68.0,,,4.0,,,,,,01-01-2011,,,
3194U,,29129.0,,,,,,,,,,,,,56.0,,,5.0,,,,,,01-01-2012,,,
3194U,,23215.0,67.0,9.0,1.3,,7.6,0.0,,0.0,0.0,15.0,,185.0,61.0,0.0,21.9,7.0,10.0,3.3,5.9,10.3,8.0,01-01-2013,,,
3194U,,19259.0,67.0,4.0,3.7,,9.6,0.0,,1.0,0.0,15.0,,150.0,70.0,0.0,61.4,6.0,3.0,6.7,7.6,11.4,12.0,01-01-2014,,,
3194U,,28169.0,58.0,,-0.9,,9.5,0.0,,,,,,,51.0,,,,22.0,3.3,5.6,12.1,,01-01-2015,,,
3194U,,19532.0,68.0,3.0,3.6,,9.6,0.0,,0.0,0.0,10.0,,169.0,73.0,0.0,19.1,7.0,5.0,7.1,7.7,11.7,6.0,01-01-2016,,,
3194U,,24448.0,,,,,,,,1.0,,3.0,,,,0.0,20.4,,,,,,3.0,01-01-2017,,,
3194U,,25511.0,,,,,,,,,,,,,,,,,,,,,,01-01-2018,,,
3194U,,28072.0,56.0,4.0,-1.0,,7.2,0.0,,0.0,0.0,4.0,,149.0,48.0,0.0,16.8,7.0,22.0,4.1,6.0,13.0,3.0,01-01-2019,,,
3194U,,21617.0,64.0,,1.5,,9.5,0.0,,0.0,,11.0,,,60.0,0.0,18.3,,13.0,6.1,6.4,11.3,5.0,01-01-2020,,,
3194U,,23906.0,,,-0.5,,9.5,0.0,,,,,,,,,,,20.0,0.9,4.6,9.6,,01-01-2021,,,
3194U,,30116.0,,,,,,,,,,,,,,,,,,,,,,01-01-2022,6.0,18.0,7.0
3194U,,27969.0,,3.0,,,,,,0.0,0.0,9.0,,183.0,,0.0,13.6,7.0,,,,,2.0,01-01-2023,3.0,12.0,16.0
3194U,,22843.0,,,,,,,,1.0,,10.0,,,,0.0,53.4,0.0,,,,,8.0,01-01-2024,13.0,6.0,12.0
3194U,,31931.0,,,,,,,,,,,,,68.0,,,6.0,,,,,,01-02-2001,,,
3194U,,33490.0,,,,,,,,,,,,,69.0,,,5.0,,,,,,01-02-2002,,,
3194U,,25199.0,63.0,2.0,1.7,,7.9,0.0,,2.0,0.0,10.0,,147.0,63.0,0.0,43.4,6.0,10.0,2.3,6.5,11.2,6.0,01-02-2003,,,
3194U,,29531.0,64.0,1.0,1.9,,8.8,0.0,,3.0,0.0,7.0,,93.0,67.0,0.0,73.5,4.0,9.0,5.5,7.6,13.2,6.0,01-02-2004,,,
3194U,,33008.0,,,,,,,,,,,,,,,,,,,,,,01-02-2005,,,
3194U,,31220.0,,2.0,0.4,,6.1,0.0,,0.0,0.0,8.0,,102.0,60.0,0.0,1.9,4.0,12.0,6.1,6.5,12.5,0.0,01-02-2006,,,
3194U,,25655.0,67.0,,4.8,,9.4,0.0,,,,,,,79.0,,,,2.0,7.9,9.3,13.7,,01-02-2007,,,
3194U,,26856.0,,,,,,,,,,,,,,,,,,,,,,01-02-2008,,,
3194U,,32128.0,,,,,,,,,,,,,,,,,,,,,,01-02-2009,,,
3194U,,26203.0,68.0,,2.2,,8.3,0.0,,3.0,,15.0,,,66.0,0.0,99.7,,8.0,2.3,6.3,10.3,12.0,01-02-2010,,,
3194U,,33531.0,61.0,5.0,1.4,,8.6,0.0,,0.0,0.0,9.0,,146.0,62.0,0.0,22.6,6.0,12.0,7.3,8.0,14.6,3.0,01-02-2011,,,
3194U,,40813.0,47.0,6.0,-2.5,,3.7,0.0,,0.0,0.0,2.0,,171.0,42.0,0.0,4.6,8.0,23.0,4.8,5.3,13.1,1.0,01-02-2012,,,
3194U,,29117.0,,,,,,,,,,,,,,,,,,,,,,01-02-2013,,,
3194U,,25661.0,63.0,7.0,2.7,,8.8,0.0,,1.0,0.0,16.0,,161.0,64.0,0.0,45.0,7.0,5.0,4.4,7.0,11.3,10.0,01-02-2014,,,
3194U,,30449.0,54.0,,1.9,,6.5,0.0,,0.0,,6.0,,,53.0,0.0,18.5,,8.0,3.3,6.7,11.4,5.0,01-02-2015,,,
3194U,,31027.0,58.0,8.0,2.8,,10.6,0.0,,1.0,0.0,10.0,,252.0,62.0,0.0,40.8,11.0,4.0,7.4,7.8,12.7,8.0,01-02-2016,,,
3194U,,28672.0,,,,,,,,2.0,,11.0,,,,0.0,51.0,,,,,,8.0,01-02-2017,,,
3194U,,31178.0,54.0,0.0,-0.1,,6.5,0.0,,4.0,0.0,8.0,,165.0,49.0,0.0,70.3,6.0,15.0,2.6,5.5,11.1,6.0,01-02-2018,,,
3194U,,39212.0,50.0,2.0,0.0,,3.8,0.0,,0.0,0.0,1.0,,111.0,48.0,0.0,0.5,5.0,15.0,9.4,8.2,16.3,0.0,01-02-2019,,,
3194U,,32855.0,58.0,,3.8,,10.5,0.0,,0.0,,0.0,,,70.0,0.0,0.0,,2.0,10.7,10.0,16.1,0.0,01-02-2020,,,
3194U,,29799.0,,,5.1,,9.1,0.0,,1.0,,11.0,,,,0.0,44.9,,0.0,9.5,10.1,15.1,7.0,01-02-2021,,,
3194U,,35090.0,,,,,,,,,,,,,,,,,,,,,,01-02-2022,7.0,12.0,9.0
3194U,,35370.0,,,,,,,,,,,,,,,,,,,,,,01-02-2023,0.0,12.0,16.0
3194U,,31312.0,,,,,,,,0.0,,9.0,,,,0.0,21.1,0.0,,,,,4.0,01-02-2024,8.0,7.0,14.0
3194U,,38996.0,66.0,7.0,7.7,,12.9,0.0,,3.0,0.0,14.0,,209.0,95.0,0.0,64.8,9.0,0.0,6.2,12.1,16.4,10.0,01-03-2001,,,
3194U,,43207.0,,,,,,,,,,,,,,,,5.0,,,,,,01-03-2002,,,
3194U,,47106.0,56.0,0.0,5.8,,10.1,0.0,,2.0,0.0,8.0,,133.0,78.0,0.0,54.9,5.0,0.0,11.4,11.6,17.4,5.0,01-03-2003,,,
3194U,,41959.0,60.0,1.0,4.1,,9.2,0.0,,3.0,0.0,12.0,,154.0,71.0,0.0,63.0,6.0,4.0,5.6,9.2,14.3,6.0,01-03-2004,,,
3194U,,51916.0,,,,,,,,,,,,,,,,,,,,,,01-03-2005,,,
3194U,,47346.0,,4.0,5.4,,10.4,0.0,,,0.0,,,153.0,81.0,,,6.0,3.0,9.0,11.2,16.9,,01-03-2006,,,
3194U,,51782.0,54.0,4.0,3.4,,7.7,0.0,,0.0,0.0,5.0,,171.0,66.0,0.0,21.7,7.0,1.0,9.5,9.7,15.9,4.0,01-03-2007,,,
3194U,,53449.0,,,,,,,,,,,,,,,,,,,,,,01-03-2008,,,
3194U,,54093.0,54.0,3.0,3.8,,9.9,0.0,,0.0,0.0,7.0,,161.0,70.0,0.0,14.2,6.0,0.0,10.0,11.3,18.6,5.0,01-03-2009,,,
3194U,,43283.0,59.0,,3.5,,10.5,0.0,,1.0,,10.0,,,67.0,0.0,49.6,,6.0,4.6,8.6,13.7,7.0,01-03-2010,,,
3194U,,39130.0,,,,,,,,,,,,,72.0,,,7.0,,,,,,01-03-2011,,,
3194U,,55371.0,,,,,,,,,,,,,,,,,,,,,,01-03-2012,,,
3194U,,37659.0,64.0,7.0,4.4,,9.1,0.0,,3.0,0.0,19.0,,193.0,73.0,0.0,71.3,9.0,4.0,8.5,8.7,13.0,12.0,01-03-2013,,,
3194U,,49688.0,50.0,6.0,4.1,,9.6,0.0,,1.0,0.0,6.0,,123.0,63.0,0.0,24.2,2.0,3.0,11.5,10.4,16.8,3.0,01-03-2014,,,
3194U,,48416.0,,,,,,,,1.0,,6.0,,,62.0,0.0,34.7,,,,,,6.0,01-03-2015,,,
3194U,,51610.0,,,,,,,,,,,,,,,,8.0,,,,,,01-03-2016,,,
3194U,,50527.0,53.0,,4.3,,9.4,0.0,,0.0,,6.0,,,66.0,0.0,16.7,,3.0,4.9,10.9,17.5,6.0,01-03-2017,,,
