indicativo,fecha,p_max,tm_min,ta_max,ts_min,nt_30,np_100,np_001,ta_min,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010,hr,e,n_cub,n_des,n_nub
3194Y,01-01-2005,,,,,,,,,,,,,,,,,,,,
3194Y,01-01-2006,,-0.5,,4.8,0.0,1.0,8.0,,0.0,38.0,20.0,2.9,4.5,9.4,3.0,,,,,
3194Y,01-01-2007,,0.3,,5.2,0.0,0.0,2.0,,0.0,10.6,18.0,5.7,5.6,10.9,2.0,,,,,
3194Y,01-01-2008,,,,,,,,,,,,,,,,,,,,
3194Y,01-01-2009,,,,,,,,,,,,,,,,,,,,
3194Y,01-01-2010,,,,,,2.0,17.0,,0.0,66.0,,,,,9.0,77.0,,,,
3194Y,01-01-2011,,,,,,3.0,14.0,,0.0,63.2,,,,,8.0,79.0,,,,
3194Y,01-01-2012,,-2.3,,6.4,0.0,0.0,2.0,,0.0,8.6,27.0,4.4,5.5,13.3,2.0,68.0,60.0,,,
3194Y,01-01-2013,,0.7,,7.9,0.0,1.0,11.0,,0.0,38.6,14.0,3.6,5.8,10.8,7.0,76.0,71.0,,,
3194Y,01-01-2014,,3.0,,9.5,0.0,2.0,16.0,,0.0,92.3,5.0,6.9,7.2,11.3,13.0,78.0,81.0,,,
3194Y,01-01-2015,,-2.3,,9.2,0.0,1.0,7.0,,0.0,25.0,25.0,3.3,5.2,12.5,5.0,67.0,57.0,,,
3194Y,01-01-2016,,,,,,,,,,,,,,,,,,,,
3194Y,01-01-2017,,-1.8,,6.8,0.0,1.0,7.0,,0.0,25.6,23.0,6.0,4.8,11.4,3.0,67.0,61.0,,,
3194Y,01-01-2018,,0.5,,7.8,0.0,2.0,9.0,,0.0,66.4,16.0,3.5,6.3,12.2,6.0,75.0,72.0,,,
3194Y,01-01-2019,,-2.3,,7.0,0.0,1.0,4.0,,0.0,27.0,25.0,4.3,5.5,13.3,4.0,64.0,57.0,,,
3194Y,01-01-2020,,0.9,,9.3,0.0,0.0,12.0,,0.0,25.8,14.0,6.4,6.4,11.9,6.0,76.0,73.0,,,
3194Y,01-01-2021,,-1.3,,9.4,0.0,,,,,,19.0,0.1,4.1,9.4,,77.0,67.0,,,
3194Y,01-01-2022,,-2.2,,4.8,0.0,0.0,3.0,,0.0,14.6,25.0,8.5,5.8,13.8,2.0,64.0,58.0,5.0,18.0,8.0
3194Y,01-01-2023,,-0.9,,7.3,0.0,0.0,11.0,,0.0,20.2,18.0,6.3,5.5,11.8,4.0,70.0,67.0,2.0,11.0,18.0
3194Y,01-01-2024,,2.7,,11.5,0.0,3.0,12.0,,0.0,78.6,8.0,6.9,7.9,13.0,9.0,80.0,87.0,12.0,6.0,13.0
3194Y,01-02-2005,,,,,,,,,,,,,,,,,,,,
3194Y,01-02-2006,,-1.2,,6.2,0.0,3.0,8.0,,0.0,40.4,19.0,5.5,5.7,12.5,3.0,,,,,
3194Y,01-02-2007,,3.3,,9.1,0.0,1.0,14.0,,0.0,36.2,5.0,7.4,8.2,13.2,5.0,,,,,
3194Y,01-02-2008,,,,,,,,,,,,,,,,,,,,
3194Y,01-02-2009,,,,,,,,,,,,,,,,,,,,
3194Y,01-02-2010,,,,,,6.0,16.0,,0.0,146.7,,,,,15.0,72.0,,,,
