fecha;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;presmax;horapresmax;presmin;horapresmin;hrmedia;hrmax;horahrmax;hrmin;horahrmin;sol
2001-01-01;667;8.2;5.2;5.6;00:10;10.7;13:50;23.0;2.2;11.7;20:00;937.9;00;930.1;18;91.0;;;;;0.0
2001-01-02;667;8.8;0.1;6.3;Varias;11.2;13:05;28.0;4.4;12.8;11:00;939.7;24;931.0;00;76.0;;;;;4.3
2001-01-03;667;7.5;2.8;5.6;03:50;9.4;15:15;22.0;3.9;10.0;13:30;942.2;10;936.9;24;82.0;;;;;0.5
2001-01-04;667;9.2;0.7;7.1;Varias;11.2;11:50;23.0;3.1;11.4;14:40;941.9;11;935.8;02;75.0;;;;;1.4
2001-01-05;667;10.0;12.2;6.5;00:25;13.6;Varias;20.0;2.5;12.8;23:20;941.0;00;927.5;24;92.0;;;;;0.0
2001-01-06;667;9.0;0.0;5.0;23:55;13.0;Varias;20.0;2.8;11.1;00:10;936.6;24;927.1;01;70.0;;;;;5.3
2001-01-07;667;5.5;0.0;2.4;23:00;8.6;15:30;30.0;1.9;8.6;15:40;943.3;24;936.6;00;61.0;;;;;5.5
2001-01-08;667;4.6;0.0;1.4;06:30;7.8;15:10;27.0;1.7;5.8;04:00;943.7;13;940.5;24;69.0;;;;;6.3
2001-01-09;667;3.0;2.2;1.8;04:50;4.3;Varias;11.0;1.4;7.8;16:10;940.5;00;935.5;14;84.0;;;;;0.0
2001-01-10;667;7.9;7.2;4.3;00:00;11.5;14:50;15.0;0.6;9.4;23:50;939.5;00;933.9;24;92.0;;;;;0.0
2001-01-11;667;8.3;15.2;6.6;23:59;10.0;Varias;18.0;2.5;10.0;00:30;933.9;00;929.8;15;91.0;;;;;0.0
2001-01-12;667;8.0;2.8;6.5;Varias;9.4;20:45;31.0;1.9;8.6;02:20;935.7;24;929.4;05;87.0;;;;;0.0
2001-01-13;667;8.0;0.0;4.0;08:30;12.0;13:50;2.0;1.4;6.7;00:30;941.1;24;935.7;00;67.0;;;;;5.0
2001-01-14;667;7.8;0.0;4.2;07:30;11.5;15:30;10.0;0.8;4.2;05:50;941.3;11;939.4;16;73.0;;;;;7.1
2001-01-15;667;5.6;0.9;4.1;07:05;7.2;00:00;28.0;1.7;6.9;16:10;940.1;00;938.2;18;85.0;;;;;0.0
2001-01-16;667;6.7;1.1;4.4;00:00;9.0;12:10;23.0;2.2;7.8;15:10;940.2;Varias;938.5;15;85.0;;;;;0.2
2001-01-17;667;6.2;2.4;3.1;08:00;9.3;13:45;21.0;1.7;6.9;14:50;943.9;11;940.2;00;83.0;;;;;4.0
2001-01-18;667;6.2;2.9;3.7;23:55;8.7;15:30;26.0;2.2;10.8;19:20;942.5;00;934.6;18;89.0;;;;;1.3
2001-01-19;667;6.4;0.0;1.9;05:10;11.0;13:20;31.0;1.9;11.1;14:20;947.5;24;936.2;00;68.0;;;;;8.6
2001-01-20;667;6.5;0.0;2.7;07:10;10.3;14:50;29.0;0.6;4.2;01:20;949.8;11;947.5;00;73.0;;;;;8.2
2001-01-21;667;6.1;0.0;1.7;07:30;10.5;14:40;22.0;1.1;4.2;13:40;949.3;01;943.5;24;79.0;;;;;6.9
2001-01-22;667;4.9;0.2;2.1;07:10;7.7;15:00;23.0;1.9;8.1;19:00;943.5;00;939.4;19;87.0;;;;;0.0
2001-01-23;667;9.5;0.7;7.0;Varias;12.0;18:00;21.0;3.9;12.2;21:30;941.5;11;936.9;24;91.0;;;;;0.0
2001-01-24;667;9.9;2.2;7.8;23:50;12.0;Varias;22.0;4.2;13.3;14:40;936.9;00;934.3;24;81.0;;;;;3.0
2001-01-25;667;6.4;0.7;3.3;23:45;9.4;13:30;26.0;4.2;13.6;11:20;939.9;24;933.9;02;73.0;;;;;5.3
2001-01-26;667;6.2;12.3;2.4;04:00;10.0;23:59;23.0;3.9;14.7;21:20;941.1;09;932.5;Varias;93.0;;;;;0.0
2001-01-27;667;9.0;1.2;6.6;Varias;11.5;13:15;30.0;2.8;14.7;04:10;937.3;Varias;929.5;24;85.0;;;;;0.5
