indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,nw_55,w_racha,nw_91,w_rec,w_med,ts_20,ts_10,ts_50
3195,,14.0,79.0,0.0,0.0,3.1,949.8(20),1016.7,938.2,4.2,,7.8,0.0,0.0,3.0,3.0,14.0,31.0,20.0,,82.0,0.0,0.0,247.0,73.6,19.0,0.0,0.0,4.3,1.0,7.2,10.2,0.0,923.0(28),13.0,01-01-2001,2.0,,0.0,201.0,9.0,,,
3195,,10.0,76.0,0.0,5.0,3.8,955.5(11),1027.4,948.1,4.0,,8.0,0.0,0.0,3.0,4.0,18.0,38.0,11.0,,78.0,0.0,3.0,267.0,57.4,12.0,0.0,1.0,7.5,0.0,7.2,10.3,0.0,933.4(23),9.0,01-01-2002,0.0,,0.0,132.0,6.0,,,
3195,,8.0,72.0,0.0,1.0,5.2,955.5(27),1021.6,942.4,2.6,,9.7,0.0,0.0,11.0,1.0,12.0,53.0,12.0,,70.0,0.0,2.0,389.0,44.3,11.0,1.0,9.0,2.9,1.0,6.1,9.6,0.0,924.3(05),8.0,01-01-2003,,,,,,,,
3195,,7.0,74.0,0.0,4.0,4.2,950.5(10),1020.2,941.5,3.9,,9.9,0.0,0.0,5.0,0.0,19.0,43.0,2.0,,79.0,0.0,2.0,314.0,5.9,3.0,0.0,3.0,7.4,0.0,7.6,11.3,1.0,931.7(27),1.0,01-01-2004,3.0,,0.0,171.0,6.0,,,
3195,,0.0,64.0,0.0,0.0,7.4,959.4(06),1027.7,947.9,1.0,,5.6,0.0,0.0,16.0,0.0,15.0,77.0,1.0,,61.0,0.0,0.0,464.0,0.3,0.0,0.0,8.0,2.4,1.0,5.8,10.5,0.0,934.2(27),0.0,01-01-2005,2.0,,0.0,163.0,5.0,,,
3195,,10.0,72.0,0.0,0.0,4.3,953.1(11),1020.9,941.6,2.6,,5.9,0.0,0.0,5.0,2.0,16.0,44.0,9.0,,67.0,0.0,0.0,303.0,35.6,7.0,0.0,5.0,2.6,2.0,5.6,8.5,0.0,927.0(06),3.0,01-01-2006,0.0,,0.0,162.0,6.0,,,
3195,,8.0,74.0,0.0,5.0,3.9,960.8(02),1027.6,948.0,3.2,,6.5,0.0,0.0,4.0,0.0,19.0,41.0,2.0,,73.0,0.0,3.0,289.0,11.9,3.0,0.0,4.0,4.5,1.0,6.5,9.8,0.0,924.8(25),2.0,01-01-2007,,,,,,,,
3195,,7.0,76.0,0.0,3.0,,957.4(27),1024.2,945.3,4.6,,8.6,0.0,0.0,10.0,1.0,14.0,,10.0,,82.0,0.0,1.0,288.0,25.2,10.0,0.0,2.0,6.0,0.0,8.0,11.4,0.0,917.7(03),5.0,01-01-2008,2.0,,0.0,141.0,4.0,,,
3195,,11.0,,0.0,7.0,,951.6(11),1017.0,937.9,2.3,,10.7,0.0,0.0,4.0,0.0,16.0,,14.0,,71.0,0.0,3.0,297.0,29.8,11.0,0.0,11.0,1.0,4.0,5.2,8.1,0.0,922.8(25),8.0,01-01-2009,3.0,,0.0,193.0,9.0,,,
3195,,13.0,,0.0,2.0,,946.6(17),1015.7,936.8,2.8,,8.4,0.0,0.0,1.0,1.0,17.0,,14.0,,71.0,0.0,1.0,257.0,61.0,11.0,0.0,7.0,0.1,4.0,5.4,8.0,0.0,920.3(07),9.0,01-01-2010,4.0,,0.0,161.0,8.0,,,
3195,,11.0,,0.0,2.0,,952.9(17),1019.7,940.8,3.2,,8.4,0.0,0.0,9.0,1.0,11.0,,10.0,,77.0,0.0,1.0,311.0,40.7,10.0,0.0,6.0,4.2,0.0,6.4,9.5,0.0,921.8(27),8.0,01-01-2011,1.0,,0.0,131.0,5.0,,,
3195,,4.0,,0.0,0.0,,959.0(19),1027.3,947.8,2.3,,5.8,0.0,0.0,16.0,0.0,11.0,,3.0,,66.0,0.0,0.0,432.0,6.5,5.0,0.0,3.0,5.3,0.0,6.7,11.2,0.0,933.9(16),2.0,01-01-2012,0.0,,0.0,125.0,5.0,,,
3195,,9.0,,0.0,3.0,,959.8(03),1021.4,942.3,3.1,,8.6,0.0,0.0,4.0,0.0,18.0,,11.0,,71.0,0.0,1.0,363.0,26.3,9.0,0.0,1.0,4.0,2.0,6.5,9.9,0.0,907.3(19),6.0,01-01-2013,4.0,,0.0,201.0,6.0,,,
3195,,12.0,,0.0,0.0,,950.0(26),1015.7,937.4,5.0,,9.8,0.0,0.0,0.0,2.0,19.0,,14.0,,82.0,0.0,0.0,365.0,63.7,15.0,0.0,0.0,6.5,0.0,8.0,11.0,0.0,918.1(18),11.0,01-01-2014,3.0,,0.0,211.0,8.0,,,
3195,,4.0,,0.0,0.0,,963.1(09),1025.2,945.7,1.6,,9.6,0.0,0.0,14.0,0.0,13.0,,4.0,,64.0,0.0,0.0,443.0,17.0,5.0,0.0,4.0,3.5,1.0,6.2,10.8,0.0,917.2(31),3.0,01-01-2015,2.0,,0.0,130.0,5.0,,,
3195,,13.0,78.0,0.0,2.0,,956.4(31),1022.5,943.9,5.3,,10.4,0.0,0.0,3.0,1.0,15.0,,13.0,,90.0,0.0,1.0,287.0,34.2,13.0,0.0,1.0,7.0,0.0,8.4,11.5,0.0,925.6(04),6.0,01-01-2016,3.0,,0.0,147.0,6.0,,,
3195,,8.0,67.0,0.0,0.0,,954.1(14),1023.1,943.8,1.8,,8.2,0.0,0.0,10.0,1.0,13.0,,3.0,,65.0,0.0,0.0,345.0,21.5,4.0,0.0,11.0,4.0,0.0,6.0,10.1,0.0,930.2(27),3.0,01-01-2017,3.0,,0.0,102.0,4.0,,,
