indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha
3196,,13.0,82.0,0,4,3.8,948.5(20),5.0,1017.8,937.0,3.5,,7.8,0,0,1.0,,3,17.0,39.0,0.0,20,,362.0,85,0,1,623.0,73.9,19,0,15.0,1,4.8,2,6.9,10.2,0,922.3(28),14,01-01-2001
3196,,11.0,81.0,0,9,4.5,953.4(10),0.0,1028.1,946.5,3.3,,7.6,0,0,3.0,,4,17.0,46.0,0.0,11,,186.0,83,0,4,441.0,54.5,11,0,7.0,2,7.6,0,7.2,11.1,0,932.6(23),7,01-01-2002
3196,,9.0,72.0,0,4,5.7,953.1(27),7.0,1022.5,940.9,1.2,,8.6,0,0,10.0,,1,12.0,59.0,0.0,11,,327.0,69,0,1,,41.7,12,0,15.0,11,3.8,1,5.6,10.1,1,923.1(05),9,01-01-2003
3196,,10.0,76.0,0,8,5.3,948.7(10),4.0,1021.5,940.4,2.5,,9.0,0,1,6.0,,0,15.0,55.0,0.0,6,,262.0,80,0,4,722.0,7.6,4,0,11.0,7,7.6,0,7.1,11.8,0,930.6(27),2,01-01-2004
3196,,0.0,62.0,0,1,8.1,957.3(06),5.0,1028.6,946.4,-0.4,,2.8,0,0,19.0,,0,12.0,84.0,0.0,0,,192.0,58,0,0,854.0,0.0,0,0,8.0,15,2.6,1,5.5,11.5,0,933.3(27),0,01-01-2005
3196,,8.0,75.0,0,2,4.6,951.0(11),1.0,1021.3,939.6,1.4,,5.4,0,0,6.0,,2,17.0,47.0,0.0,7,,203.0,68,0,0,769.0,37.2,9,0,8.0,8,3.2,2,5.1,8.9,0,927.6(06),3,01-01-2006
3196,,9.0,74.0,0,9,4.5,959.3(02),,1027.4,945.6,2.3,,5.4,0,0,4.0,,0,18.0,47.0,,3,,,73,0,4,568.0,11.0,4,0,8.0,6,5.0,3,6.5,10.7,0,925.2(25),2,01-01-2007
3196,,6.0,75.0,0,6,5.6,955.5(27),4.0,1024.5,943.3,3.2,,7.8,0,0,11.0,,1,14.0,57.0,0.0,9,,188.0,80,0,3,744.0,30.2,10,0,7.0,2,6.6,0,7.7,12.2,0,916.1(03),4,01-01-2008
3196,,12.0,76.0,0,7,4.1,948.9(11),6.0,1016.9,935.5,1.3,,9.0,0,0,4.0,,0,15.0,42.0,0.0,14,,284.0,70,0,3,568.0,27.7,13,0,11.0,14,0.5,3,4.9,8.6,0,920.5(25),8,01-01-2009
3196,,12.0,77.0,0,8,3.8,944.5(15),3.0,1016.0,934.8,2.1,,7.4,0,0,2.0,,0,17.0,39.0,0.0,14,,247.0,72,0,3,585.0,55.1,16,0,11.0,8,0.0,5,5.2,8.3,0,918.7(07),9,01-01-2010
3196,,12.0,76.0,0,9,4.8,950.1(17),1.0,1019.7,938.5,2.6,,8.0,0,0,9.0,,1,10.0,49.0,0.0,11,,189.0,77,0,3,592.0,39.2,11,0,7.0,8,5.0,0,6.6,10.5,0,919.7(27),8,01-01-2011
3196,,4.0,68.0,0,2,7.5,957.3(19),1.0,1027.2,945.5,1.2,,6.0,0,0,10.0,,0,17.0,78.0,0.0,2,,140.0,68,0,0,938.0,6.0,4,0,,6,4.8,0,6.7,12.2,0,931.4(16),1,01-01-2012
3196,,9.0,75.0,0,4,5.0,957.9(04),11.0,1021.5,940.1,2.1,,8.1,0,0,4.0,,0,18.0,51.0,0.0,11,,301.0,73,0,3,840.0,26.5,10,0,12.0,8,3.6,2,6.2,10.4,0,902.1(19),7,01-01-2013
3196,,7.0,77.0,0,3,4.0,947.9(26),4.0,1016.0,935.5,4.4,,9.6,0,0,0.0,,3,24.0,41.0,0.0,14,,356.0,82,0,2,869.0,62.6,17,0,13.0,0,6.8,1,7.6,10.9,0,915.3(19),10,01-01-2014
3196,,3.0,65.0,0,3,7.1,962.0(09),3.0,1025.3,943.6,0.7,,9.4,0,0,12.0,,0,16.0,73.0,0.0,5,,197.0,63,0,1,908.0,20.0,3,0,7.0,16,3.0,3,6.1,11.4,0,914.8(31),4,01-01-2015
3196,,14.0,81.0,0,9,3.9,954.3(31),5.0,1022.6,941.7,4.3,,8.5,0,0,2.0,,1,15.0,40.0,0.0,11,,292.0,90,0,2,615.0,39.6,14,0,12.0,2,7.2,0,7.9,11.5,0,923.1(04),5,01-01-2016
3196,,8.0,68.0,0,6,5.8,949.7(07),2.0,1023.1,941.5,0.9,,7.9,0,0,8.0,,1,15.0,61.0,0.0,5,,184.0,65,0,3,617.0,21.6,6,0,7.0,13,4.6,0,6.0,11.1,0,927.7(27),2,01-01-2017
3196,,7.0,73.0,0,4,6.2,955.4(28),0.0,1023.9,942.5,2.7,,8.3,0,0,8.0,,2,16.0,64.0,0.0,7,,255.0,74,0,2,885.0,48.9,5,0,10.0,4,3.5,2,7.2,11.6,0,917.2(06),6,01-01-2018
3196,,5.0,64.0,0,1,7.3,953.0(05),6.0,1021.5,940.3,1.1,,7.6,0,0,15.0,,0,11.0,75.0,0.0,4,,256.0,64,0,1,1241.0,19.3,5,0,10.0,15,5.1,0,6.8,12.6,0,917.5(31),3,01-01-2019
3196,,14.0,,0,5,4.8,953.5(04),3.0,1026.5,944.9,2.9,,9.2,0,0,6.0,,0,11.0,50.0,0.0,9,,240.0,77,0,1,834.0,13.4,12,0,9.0,4,6.6,0,7.2,11.4,0,935.7(21),4,01-01-2020
3196,,9.0,78.0,0,5,4.7,949.8(17),7.0,1019.1,937.4,0.5,,10.4,0,0,6.0,,2,15.0,49.0,0.0,10,,310.0,70,0,3,501.0,48.1,8,0,12.0,18,0.0,3,4.6,8.6,0,921.8(09),6,01-01-2021
3196,,3.0,63.0,0,1,7.3,953.6(29),2.0,1028.2,946.5,1.4,,7.1,0,0,18.0,,0,10.0,75.0,0.0,2,,179.0,64,0,0,1010.0,12.2,2,0,6.0,11,8.6,0,7.1,12.8,0,930.5(04),2,01-01-2022
3196,,4.0,68.0,0,4,6.8,954.3(04),4.0,1024.0,942.4,1.6,,8.2,0,0,8.0,,0,19.0,70.0,0.0,6,,286.0,67,0,3,964.0,10.3,8,0,11.0,11,5.8,1,6.4,11.2,0,921.4(17),2,01-01-2023
3196,,11.0,80.0,0,5,5.0,958.3(24),2.0,1023.6,942.6,4.7,,10.6,0,0,2.0,,1,18.0,51.0,0.0,10,,225.0,90,0,1,596.0,58.5,11,0,8.0,2,7.4,0,8.6,12.5,0,923.0(17),8,01-01-2024
3196,,4.0,65.0,0,1,6.8,956.5(11),2.0,1022.0,941.2,3.1,,8.4,0,0,7.0,,1,17.0,64.0,0.0,9,,270.0,74,0,0,923.0,38.0,10,0,11.0,3,8.0,1,8.2,13.3,0,923.4(27),5,01-02-2001
3196,,6.0,67.0,0,9,7.2,952.9(19),2.0,1024.6,943.8,3.4,,8.4,0,0,9.0,,0,13.0,67.0,0.0,4,,226.0,77,0,3,889.0,7.9,3,1,8.0,1,8.8,0,8.9,14.5,0,931.0(28),3,01-02-2002
3196,,10.0,69.0,0,1,5.0,949.1(28),3.0,1020.1,938.9,1.4,,6.2,0,0,5.0,,1,13.0,47.0,0.0,9,,285.0,69,0,1,783.0,37.5,9,0,12.0,9,2.0,1,6.1,10.9,0,924.6(19),6,01-02-2003
3196,,9.0,70.0,0,5,5.8,955.0(05),1.0,1020.7,939.8,2.8,,8.2,0,0,10.0,,2,10.0,55.0,0.0,8,,214.0,75,0,3,861.0,64.2,6,0,8.0,3,5.2,4,7.8,12.8,0,915.0(21),6,01-02-2004
3196,,4.0,60.0,1,0,7.2,957.3(11),6.0,1020.5,938.8,-0.1,,3.4,0,0,11.0,,2,13.0,67.0,0.0,5,,281.0,53,0,0,1042.0,48.2,3,1,11.0,13,3.0,5,4.9,9.9,0,923.4(22),5,01-02-2005
3196,,3.0,66.0,1,1,6.8,945.5(07),4.0,1016.1,935.2,1.1,,5.8,0,0,9.0,,2,16.0,64.0,0.0,6,,292.0,64,0,0,1142.0,42.6,3,1,11.0,9,4.2,5,6.4,11.7,0,917.1(26),3,01-02-2006
3196,,7.0,73.0,0,1,5.0,948.2(27),8.0,1018.7,938.3,4.9,,8.5,0,0,3.0,,1,18.0,46.0,0.0,11,,359.0,85,0,1,949.0,37.5,17,0,14.0,0,8.2,0,9.0,13.1,0,924.1(16),6,01-02-2007
3196,,7.0,69.0,0,2,5.1,952.8(06),0.0,1024.8,944.0,4.6,,8.0,0,0,5.0,,1,17.0,48.0,0.0,10,,185.0,80,0,0,972.0,34.7,11,0,7.0,0,9.0,0,9.2,13.7,1,929.4(03),7,01-02-2008
3196,,6.0,65.0,1,0,6.7,949.5(22),3.0,1015.6,935.0,2.2,,7.0,0,0,13.0,,1,9.0,62.0,0.0,8,,236.0,66,0,0,989.0,47.2,5,0,8.0,3,3.2,2,7.5,12.7,0,909.0(02),7,01-02-2009
3196,,11.0,72.0,0,3,4.9,944.3(02),9.0,1008.7,928.3,1.8,,7.5,0,0,3.0,,6,14.0,46.0,0.0,16,,306.0,71,0,2,853.0,116.1,15,0,13.0,10,2.2,1,5.9,9.9,0,910.3(16),14,01-02-2010
3196,,5.0,64.0,0,1,7.6,954.1(04),5.0,1021.1,940.4,2.7,,9.5,0,0,5.0,,1,18.0,71.0,0.0,8,,237.0,72,0,1,1070.0,34.7,8,0,10.0,4,7.8,1,8.4,14.0,0,915.0(17),5,01-02-2011
3196,,0.0,46.0,0,0,9.2,950.9(04),8.0,1024.8,943.1,-0.5,,6.0,0,0,13.0,,0,16.0,85.0,0.0,2,,224.0,44,0,0,1263.0,3.9,3,0,9.0,19,3.6,0,6.0,12.4,0,931.1(02),1,01-02-2012
3196,,8.0,66.0,0,2,6.1,950.8(04),4.0,1018.6,937.6,1.9,,7.5,0,0,4.0,,0,16.0,58.0,0.0,10,,307.0,66,0,1,1102.0,22.6,9,0,12.0,6,5.4,2,6.4,10.8,0,920.7(22),7,01-02-2013
3196,,12.0,73.0,0,0,4.7,948.4(26),8.0,1016.8,936.1,3.1,,8.6,0,0,2.0,,1,14.0,44.0,0.0,15,,390.0,75,0,0,894.0,54.9,13,0,16.0,3,4.6,2,7.0,10.9,0,913.8(10),11,01-02-2014
3196,,4.0,64.0,0,1,6.3,951.2(18),4.0,1019.7,938.6,2.6,,7.6,0,0,2.0,,0,22.0,59.0,0.0,5,,375.0,64,0,1,1077.0,23.8,8,0,13.0,5,3.6,1,6.6,10.6,0,918.2(04),5,01-02-2015
3196,,9.0,70.0,0,3,5.9,955.6(04),11.0,1019.9,939.1,3.7,,10.8,0,0,5.0,,1,15.0,55.0,0.0,10,,403.0,78,0,0,952.0,42.7,10,0,15.0,2,8.4,0,8.1,12.5,0,915.5(27),8,01-02-2016
3196,,11.0,71.0,0,1,5.2,951.5(16),7.0,1019.5,939.0,4.5,,9.0,0,0,3.0,,2,14.0,48.0,0.0,10,,293.0,82,0,0,769.0,47.0,10,0,11.0,0,6.4,1,9.0,13.4,0,920.2(13),8,01-02-2017
3196,,8.0,60.0,0,2,6.5,946.2(15),1.0,1015.2,934.2,1.0,,6.8,0,0,4.0,,4,16.0,61.0,0.0,5,,252.0,57,0,0,1128.0,62.3,4,0,9.0,9,2.5,3,6.0,10.9,0,912.0(28),5,01-02-2018
3196,,1.0,57.0,0,1,9.1,951.9(25),2.0,1025.1,944.3,2.9,,5.4,0,0,14.0,,0,13.0,85.0,0.0,1,,204.0,66,0,0,1291.0,0.7,1,0,8.0,2,8.0,0,9.2,15.5,0,913.5(01),0,01-02-2019
3196,,7.0,,0,6,6.5,954.0(23),1.0,1026.4,945.9,5.8,,10.5,0,0,6.0,,0,16.0,60.0,0.0,0,,209.0,89,0,6,1027.0,0.0,1,0,8.0,0,10.8,0,11.0,16.1,0,932.8(29),0,01-02-2020
3196,,11.0,72.0,0,1,5.5,953.3(23),2.0,1018.1,938.1,5.9,,8.6,0,0,0.0,,1,16.0,51.0,0.0,10,,312.0,89,0,1,919.0,40.7,11,1,12.0,0,9.6,0,10.3,14.6,0,922.3(05),7,01-02-2021
3196,,5.0,60.0,0,0,7.5,950.7(08),1.0,1025.0,944.5,3.9,,6.7,0,0,9.0,,0,14.0,70.0,0.0,4,,202.0,74,0,0,1283.0,6.1,4,0,7.0,1,9.5,0,10.1,16.2,0,935.7(14),1,01-02-2022
3196,,3.0,56.0,0,0,7.9,955.8(10),1.0,1024.9,943.6,2.0,,8.0,0,0,10.0,,0,15.0,74.0,0.0,1,,206.0,59,0,0,1121.0,1.7,3,0,8.0,7,7.8,0,7.7,13.3,0,925.1(25),1,01-02-2023
3196,,9.0,70.0,0,3,6.1,955.2(01),4.0,1020.6,940.4,5.1,,10.0,0,0,3.0,,0,17.0,57.0,0.0,5,,316.0,88,0,0,1073.0,17.1,9,0,13.0,0,8.5,0,10.1,15.1,0,910.2(09),4,01-02-2024
3196,,15.0,72.0,0,2,5.3,944.3(13),8.0,1013.1,934.0,7.3,,11.6,0,0,2.0,,3,14.0,44.0,0.0,15,,399.0,103,0,0,1164.0,71.0,17,1,18.0,0,6.6,0,11.9,16.4,0,912.7(02),11,01-03-2001
3196,,12.0,67.0,0,2,6.0,949.7(20),1.0,1017.2,937.6,5.8,,10.2,0,1,8.0,,2,11.0,49.0,0.0,9,,230.0,88,0,1,1201.0,47.7,9,1,10.0,0,5.4,1,11.1,16.4,0,926.2(14),5,01-03-2002
3196,,11.0,60.0,0,0,6.8,948.6(16),1.0,1020.5,940.9,6.0,,10.2,0,0,7.0,,1,13.0,57.0,0.0,9,,294.0,85,0,0,1224.0,39.5,9,1,11.0,0,11.0,0,11.8,17.5,0,926.2(30),4,01-03-2003
3196,,8.0,64.0,0,1,5.7,951.0(17),0.0,1021.2,940.6,4.3,,9.4,0,0,4.0,,3,19.0,47.0,0.0,12,,273.0,76,0,0,1366.0,66.5,10,0,12.0,3,5.2,3,9.1,13.8,0,923.4(29),7,01-03-2004
3196,,4.0,54.0,0,1,7.6,950.6(17),3.0,1018.3,938.4,4.6,,12.6,0,0,3.0,,0,24.0,64.0,0.0,5,,292.0,72,0,0,1797.0,10.4,6,0,12.0,8,6.4,0,10.4,16.2,0,927.3(01),4,01-03-2005
3196,,7.0,65.0,0,2,7.1,948.2(06),7.0,1015.7,936.2,5.5,,9.8,0,0,3.0,,2,21.0,60.0,0.0,9,,366.0,86,0,1,1960.0,42.7,11,0,15.0,4,8.0,0,10.8,16.0,0,919.9(05),6,01-03-2006
3196,,2.0,55.0,0,0,7.7,954.1(10),5.0,1020.0,939.8,4.3,,7.2,0,0,9.0,,0,20.0,65.0,0.0,7,,320.0,68,0,0,1917.0,22.7,8,0,13.0,1,9.0,0,9.8,15.4,0,929.1(19),5,01-03-2007
3196,,4.0,50.0,0,0,8.1,947.3(01),11.0,1016.1,936.5,4.4,,8.0,0,0,4.0,,0,23.0,68.0,0.0,3,,331.0,66,0,0,2190.0,4.9,5,0,14.0,2,9.0,0,10.6,16.6,0,916.6(22),3,01-03-2008
3196,,3.0,50.0,0,1,8.1,947.3(17),3.0,1015.7,936.5,5.6,,10.4,0,0,15.0,,0,13.0,68.0,0.0,7,,234.0,70,0,0,2008.0,10.5,7,0,9.0,0,9.4,0,12.1,18.5,0,916.9(05),3,01-03-2009
3196,,11.0,62.0,0,0,5.9,947.2(17),3.0,1017.3,937.0,3.8,,9.8,0,0,3.0,,1,17.0,49.0,0.0,10,,277.0,73,1,0,1147.0,60.0,13,1,11.0,5,4.8,1,8.7,13.6,0,925.4(08),7,01-03-2010
3196,,11.0,67.0,0,2,5.1,948.5(31),0.0,1018.2,938.0,5.0,,10.0,0,0,4.0,,2,16.0,43.0,0.0,12,,271.0,81,0,0,1296.0,54.6,13,0,12.0,0,6.6,1,9.7,14.4,0,920.5(14),9,01-03-2011
3196,,4.0,48.0,0,0,8.2,953.2(10),0.0,1023.7,943.7,4.8,,9.0,0,0,8.0,,2,19.0,69.0,0.0,2,,222.0,65,0,0,2034.0,28.2,1,0,9.0,1,6.4,2,11.4,18.0,0,930.0(31),2,01-03-2012
3196,,14.0,74.0,0,0,5.1,939.4(20),8.0,1008.0,928.4,5.0,,9.4,0,0,1.0,,3,16.0,43.0,0.0,20,,386.0,86,0,0,1076.0,105.9,20,0,16.0,2,7.4,0,9.0,12.9,0,917.1(05),17,01-03-2013
3196,,5.0,54.0,0,0,7.1,948.6(15),4.0,1017.7,938.0,5.5,,10.0,0,0,11.0,,1,15.0,60.0,0.0,3,,313.0,71,0,0,1869.0,24.4,8,0,12.0,0,11.6,0,11.2,16.9,0,924.0(29),2,01-03-2014
3196,,7.0,55.0,0,2,7.0,953.9(05),2.0,1020.3,940.5,5.8,,12.6,0,0,9.0,,1,15.0,59.0,0.0,6,,221.0,74,0,2,1785.0,30.7,7,0,9.0,1,8.0,0,11.5,17.1,0,922.9(23),6,01-03-2015
3196,,5.0,57.0,1,2,7.7,947.4(01),4.0,1016.2,936.1,3.7,,8.4,0,0,4.0,,2,22.0,65.0,0.0,10,,308.0,67,0,1,1538.0,39.0,14,0,12.0,1,11.0,0,9.2,14.7,0,924.5(04),5,01-03-2016
3196,,5.0,60.0,0,2,7.2,948.8(09),7.0,1019.0,939.4,5.6,,10.0,0,0,6.0,,0,20.0,60.0,0.0,7,,284.0,79,0,0,1650.0,18.3,7,0,11.0,3,5.6,2,11.6,17.7,0,921.7(03),5,01-03-2017
3196,,13.0,68.0,1,1,5.6,945.6(27),11.0,1008.8,929.0,4.3,,9.0,0,0,2.0,,5,16.0,47.0,1.0,21,,473.0,75,0,1,1579.0,135.8,20,0,18.0,2,8.7,1,8.5,12.7,0,905.0(01),16,01-03-2018
3196,,2.0,47.0,0,0,9.3,952.1(09),1.0,1022.3,942.6,5.7,,8.8,0,0,14.0,,0,15.0,78.0,0.0,2,,272.0,66,0,0,2288.0,7.5,2,1,12.0,0,12.4,0,12.2,18.6,0,924.4(06),1,01-03-2019
3196,,,64.0,0,0,5.9,947.6(10),5.0,1016.9,937.3,6.2,,11.1,0,0,,,1,,50.0,0.0,10,,325.0,85,0,0,1491.0,41.3,10,1,13.0,0,9.6,1,11.2,16.3,0,922.9(02),7,01-03-2020
3196,,7.0,53.0,0,2,6.8,949.3(03),1.0,1021.6,941.7,5.7,,12.3,0,0,6.0,,0,18.0,57.0,0.0,1,,245.0,71,0,0,1966.0,7.2,3,1,10.0,1,9.8,0,11.4,17.0,0,931.4(19),1,01-03-2021
3196,,21.0,71.0,0,0,3.1,946.5(01),1.0,1017.1,937.2,6.5,,11.2,0,0,0.0,,5,10.0,26.0,0.0,20,,293.0,89,0,0,1159.0,114.1,22,0,11.0,0,9.7,0,10.2,13.8,0,924.0(30),12,01-03-2022
3196,,6.0,56.0,0,2,8.4,945.2(28),4.0,1018.0,938.6,6.4,,10.7,0,0,6.0,,1,19.0,70.0,0.0,6,,333.0,82,0,2,2328.0,16.9,6,0,13.0,3,7.7,0,12.5,18.6,0,929.5(07),3,01-03-2023
