indicativo,p_max,hr,tm_min,ta_max,ts_min,nt_30,np_100,np_001,ta_min,e,np_300,p_mes,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3229Y,,,,,,,,,,,,,,,,,,01-01-2011,,,
3229Y,,67.0,-2.0,,3.4,0.0,0.0,3.0,,63.0,0.0,6.0,27.0,5.3,5.6,13.1,3.0,01-01-2012,,,
3229Y,,76.0,1.0,,9.1,0.0,0.0,13.0,,74.0,0.0,22.0,14.0,4.0,6.0,11.0,8.0,01-01-2013,,,
3229Y,,79.0,3.2,,9.4,0.0,3.0,18.0,,84.0,0.0,66.2,4.0,7.2,7.6,11.9,14.0,01-01-2014,,,
3229Y,,65.0,-2.2,,10.1,0.0,1.0,5.0,,59.0,0.0,19.2,26.0,3.7,5.2,12.5,2.0,01-01-2015,,,
3229Y,,,,,,,,,,,,,,,,,,01-01-2016,,,
3229Y,,68.0,-1.7,,7.3,0.0,0.0,3.0,,62.0,0.0,8.4,24.0,4.2,4.7,11.1,1.0,01-01-2017,,,
3229Y,,77.0,0.3,,8.7,0.0,0.0,4.0,,75.0,0.0,2.8,19.0,3.9,5.8,11.3,2.0,01-01-2018,,,
3229Y,,63.0,-2.6,,7.3,0.0,0.0,4.0,,57.0,0.0,17.6,25.0,6.5,4.8,12.2,3.0,01-01-2019,,,
3229Y,,75.0,1.2,,10.2,0.0,0.0,10.0,,75.0,0.0,14.6,16.0,6.0,6.2,11.2,4.0,01-01-2020,,,
3229Y,,,,,,,,,,,,,,,,,,01-01-2021,,,
3229Y,,,-2.3,,3.3,0.0,0.0,3.0,,,0.0,7.2,23.0,7.6,5.2,12.6,2.0,01-01-2022,4.0,17.0,10.0
3229Y,,68.0,-0.6,,10.1,0.0,0.0,8.0,,66.0,0.0,16.0,19.0,6.0,5.2,11.0,4.0,01-01-2023,6.0,9.0,16.0
3229Y,,80.0,2.9,,11.5,0.0,2.0,12.0,,90.0,0.0,61.8,8.0,7.5,7.7,12.5,10.0,01-01-2024,14.0,6.0,11.0
3229Y,,,,,,,,,,,,,,,,,,01-02-2011,,,
3229Y,,45.0,-3.8,,3.7,0.0,0.0,4.0,,39.0,0.0,6.8,25.0,4.6,4.5,12.8,1.0,01-02-2012,,,
3229Y,,65.0,0.6,,7.2,0.0,0.0,9.0,,65.0,0.0,18.8,13.0,6.4,6.2,11.8,4.0,01-02-2013,,,
3229Y,,74.0,2.1,,10.9,0.0,1.0,15.0,,78.0,0.0,44.8,10.0,5.2,6.9,11.7,11.0,01-02-2014,,,
3229Y,,64.0,1.1,,7.8,0.0,0.0,6.0,,64.0,0.0,31.8,12.0,3.5,6.4,11.6,5.0,01-02-2015,,,
3229Y,,69.0,2.6,,12.0,0.0,0.0,10.0,,77.0,0.0,28.2,10.0,9.0,7.8,13.0,8.0,01-02-2016,,,
3229Y,,72.0,2.8,,9.4,0.0,0.0,6.0,,82.0,0.0,5.4,8.0,7.8,8.3,13.7,1.0,01-02-2017,,,
3229Y,,63.0,-0.9,,6.2,0.0,,,,58.0,,,15.0,4.5,4.9,10.8,,01-02-2018,,,
3229Y,,55.0,-0.5,,3.8,0.0,0.0,1.0,,59.0,0.0,2.8,18.0,8.4,7.6,15.7,1.0,01-02-2019,,,
3229Y,,70.0,3.0,,10.0,0.0,0.0,1.0,,89.0,0.0,0.2,3.0,10.9,9.5,15.9,0.0,01-02-2020,,,
3229Y,,,,,,,,,,,,,,,,,,01-02-2021,,,
3229Y,,,0.7,,7.2,0.0,,,,,,,13.0,11.1,8.3,15.9,,01-02-2022,7.0,13.0,8.0
3229Y,,54.0,-1.6,,5.2,0.0,0.0,1.0,,52.0,0.0,1.0,18.0,7.1,6.0,13.5,1.0,01-02-2023,4.0,11.0,13.0
3229Y,,67.0,3.1,,8.8,0.0,0.0,7.0,,82.0,0.0,21.4,5.0,9.1,9.2,15.3,5.0,01-02-2024,12.0,7.0,10.0
3229Y,,,,,,,,,,,,,,,,,,01-03-2011,,,
3229Y,,44.0,1.7,,5.8,0.0,0.0,5.0,,56.0,0.0,14.8,6.0,5.7,10.1,18.5,4.0,01-03-2012,,,
3229Y,,73.0,5.0,,10.3,0.0,5.0,21.0,,90.0,0.0,120.4,3.0,7.7,9.4,13.8,16.0,01-03-2013,,,
3229Y,,55.0,3.6,,9.3,0.0,1.0,8.0,,73.0,0.0,16.4,3.0,11.7,10.6,17.5,2.0,01-03-2014,,,
3229Y,,56.0,2.8,,7.8,0.0,0.0,4.0,,73.0,0.0,14.2,7.0,9.2,10.3,17.7,3.0,01-03-2015,,,
3229Y,,58.0,1.7,,8.6,0.0,,,,67.0,,,10.0,10.2,8.5,15.2,,01-03-2016,,,
3229Y,,59.0,3.6,,8.5,0.0,0.0,5.0,,77.0,0.0,4.6,1.0,6.0,10.8,18.0,2.0,01-03-2017,,,
3229Y,,70.0,4.0,,9.5,0.0,,,,80.0,,,3.0,8.9,8.5,13.0,,01-03-2018,,,
3229Y,,47.0,2.9,,8.7,0.0,0.0,2.0,,62.0,0.0,10.2,6.0,12.4,10.7,18.5,1.0,01-03-2019,,,
3229Y,,65.0,4.9,,11.1,0.0,3.0,11.0,,88.0,1.0,90.2,3.0,10.2,10.7,16.5,7.0,01-03-2020,,,
3229Y,,,3.4,,10.2,0.0,0.0,2.0,,,0.0,3.2,6.0,11.4,10.3,17.2,1.0,01-03-2021,,,
3229Y,,,5.7,,11.8,0.0,,,,,,,1.0,11.4,10.0,14.3,,01-03-2022,22.0,1.0,8.0
3229Y,,52.0,3.8,,11.6,0.0,0.0,5.0,,74.0,0.0,16.4,5.0,6.3,11.4,19.0,3.0,01-03-2023,5.0,9.0,17.0
3229Y,,68.0,4.7,,12.1,0.0,4.0,16.0,,91.0,0.0,126.0,3.0,8.9,10.6,16.5,14.0,01-03-2024,15.0,3.0,13.0
3229Y,,,,,,,,,,,,,,,,,,01-04-2011,,,
3229Y,,61.0,5.7,,10.3,0.0,1.0,17.0,,86.0,0.0,51.2,1.0,10.9,11.3,16.8,10.0,01-04-2012,,,
3229Y,,59.0,5.8,,12.2,0.0,0.0,14.0,,88.0,0.0,24.4,2.0,7.6,11.8,17.9,8.0,01-04-2013,,,
3229Y,,56.0,8.5,,12.6,0.0,0.0,7.0,,102.0,0.0,22.8,0.0,13.7,15.5,22.5,4.0,01-04-2014,,,
3229Y,,,,,,,1.0,10.0,,88.0,0.0,34.4,,,,,5.0,01-04-2015,,,
3229Y,,62.0,6.1,,11.6,0.0,,,,90.0,,,1.0,11.3,11.9,17.6,,01-04-2016,,,
3229Y,,43.0,6.7,,13.1,0.0,0.0,5.0,,74.0,0.0,2.4,0.0,13.5,14.5,22.4,0.0,01-04-2017,,,
3229Y,,61.0,6.7,,12.6,0.0,1.0,14.0,,91.0,0.0,49.8,0.0,7.6,12.7,18.7,10.0,01-04-2018,,,
3229Y,,60.0,6.0,,10.1,0.0,4.0,14.0,,85.0,0.0,79.6,1.0,10.1,11.9,17.7,11.0,01-04-2019,,,
3229Y,,68.0,8.7,,11.9,0.0,3.0,15.0,,111.0,0.0,69.2,0.0,14.5,13.9,19.0,13.0,01-04-2020,,,
3229Y,,,7.4,,11.2,0.0,2.0,12.0,,,0.0,55.2,0.0,13.2,13.1,18.8,11.0,01-04-2021,,,
3229Y,,,5.9,,10.4,0.0,3.0,11.0,,88.0,0.0,69.6,3.0,11.1,12.3,18.7,7.0,01-04-2022,11.0,5.0,11.0
3229Y,,36.0,6.6,,13.5,3.0,0.0,3.0,,68.0,0.0,3.6,0.0,17.5,15.7,24.8,2.0,01-04-2023,3.0,9.0,18.0
3229Y,,50.0,6.2,,14.5,0.0,0.0,4.0,,84.0,0.0,7.0,0.0,13.7,14.0,21.7,2.0,01-04-2024,4.0,10.0,14.0
3229Y,,55.0,11.7,,15.9,3.0,4.0,11.0,,124.0,0.0,87.4,0.0,15.7,18.5,25.2,8.0,01-05-2011,,,
3229Y,,46.0,10.8,,16.5,13.0,0.0,8.0,,100.0,0.0,19.0,0.0,15.6,18.6,26.4,6.0,01-05-2012,,,
3229Y,,56.0,7.7,,15.2,0.0,,,,94.0,,,0.0,11.3,14.4,21.0,,01-05-2013,,,
