fecha;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;presmax;horapresmax;presmin;horapresmin;hrmedia;hrmax;horahrmax;hrmin;horahrmin
2001-01-04;1532;;;;;;;;7.5;;;;;;;;;;;
2001-01-09;1532;;;;;;;;1.1;;;;;;;;;;;
2001-01-27;1532;;;;;;;;9.2;;;;;;;;;;;
2001-02-01;1532;;;;;;;;7.8;;;;;;;;;;;
2001-02-07;1532;;;;;;;;6.1;;;;;;;;;;;
2001-02-08;1532;;;;;;;;11.1;;;;;;;;;;;
2001-02-09;1532;0.3;0.0;-2.5;08:00;3.1;Varias;31.0;6.1;17.2;00:10;851.0;24;843.2;00;;;;;
2001-02-11;1532;6.2;0.0;3.1;08:50;9.4;Varias;34.0;4.2;13.1;00:20;860.2;12;858.3;Varias;;;;;
2001-02-12;1532;8.2;0.0;3.8;05:40;12.6;16:15;28.0;2.8;8.9;20:30;859.7;Varias;856.2;Varias;90.0;;;;
2001-02-24;1532;1.6;0.0;-1.8;22:00;4.9;13:50;30.0;4.7;13.3;23:59;833.7;00;831.0;Varias;;;;;
2001-02-25;1532;-2.4;0.0;-5.5;23:50;0.8;Varias;31.0;5.0;15.8;05:00;838.2;Varias;833.0;Varias;97.0;;;;
2001-02-26;1532;-1.7;0.0;-7.0;06:00;3.6;Varias;30.0;3.1;13.1;23:00;838.2;01;829.2;24;92.0;;;;
2001-02-27;1532;-3.0;0.0;-5.0;23:59;-1.1;00:10;30.0;12.2;26.4;15:30;829.2;00;823.2;16;;;;;
2001-02-28;1532;-3.6;0.0;-5.6;Varias;-1.7;Varias;30.0;10.8;22.8;01:10;831.4;Varias;825.3;03;;;;;
2001-03-01;1532;0.2;0.0;-3.8;00:20;4.1;22:20;28.0;3.3;18.3;15:00;831.2;00;825.2;24;;;;;
2001-03-02;1532;4.4;0.0;1.0;00:00;7.8;09:50;24.0;5.8;22.5;10:20;825.4;00;817.2;Varias;;;;;
2001-03-03;1532;5.4;0.0;3.3;06:10;7.4;14:20;32.0;5.6;15.6;20:10;830.4;Varias;822.9;03;;;;;
2001-03-04;1532;5.4;0.0;3.8;Varias;7.0;12:20;26.0;6.4;19.2;07:10;834.3;Varias;827.2;07;;;;;
2001-03-05;1532;5.7;0.0;2.9;06:50;8.5;10:40;10.0;4.2;13.6;17:40;841.8;Varias;834.3;00;;;;;
2001-03-06;1532;8.5;0.0;6.6;09:10;10.4;Varias;24.0;6.1;15.0;18:00;842.0;Varias;839.2;Varias;;;;;
