indicativo,p_max,hr,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,q_min,np_010,fecha,n_cub,n_des,n_nub
3266A,,,,,,,,,,,,,,,,465.0,,,,,,,,,,,01-01-2001,,,
3266A,,88.0,856.0(28),12.0,1022.7,849.3,0.3,,5.6,0.0,,4.0,1.0,18.0,,444.0,64.0,1.0,118.1,21.0,18.0,-0.2,2.7,5.1,835.0(23),9.0,01-01-2002,,,
3266A,,95.0,864.8(27),18.0,1025.7,849.2,-4.3,,4.4,0.0,,3.0,3.0,11.0,,478.0,53.0,0.0,55.7,20.0,28.0,-6.9,-1.8,0.8,833.0(05),8.0,01-01-2003,,,
3266A,,,,,,849.1,,,,,,,,,,577.0,62.0,,,26.0,,,,,,,01-01-2004,,,
3266A,,,865.3(06),10.0,,854.9,-2.7,,2.5,0.0,,0.0,2.0,0.0,,417.0,48.0,0.0,0.0,18.0,20.0,-7.6,0.8,4.3,840.5(26),0.0,01-01-2005,,,
3266A,,,859.0(11),5.0,1024.9,848.7,-3.4,,0.0,0.0,,2.0,1.0,17.0,,342.0,52.0,0.0,50.2,14.0,31.0,-5.1,-1.1,1.1,837.2(28),7.0,01-01-2006,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2007,,,
3266A,,80.0,862.3(27),8.0,1026.3,851.6,-1.3,,4.1,0.0,,0.0,2.0,9.0,,305.0,55.0,0.0,19.2,13.0,18.0,-2.0,1.7,4.7,826.1(03),4.0,01-01-2008,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2009,,,
3266A,,,863.4(17),,1025.5,849.8,-2.6,,3.3,0.0,,1.0,,16.0,,,54.0,0.0,50.4,15.0,21.0,-7.1,-0.4,1.8,828.6(14),10.0,01-01-2010,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2011,,,
3266A,,74.0,864.8(19),6.0,1029.5,853.8,-2.1,,1.1,0.0,,0.0,0.0,5.0,,250.0,48.0,0.0,5.7,10.0,25.0,-2.8,1.1,4.2,839.7(16),3.0,01-01-2012,,,
3266A,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,01-01-2013,,,
3266A,,,856.5(26),,1016.4,843.5,-0.8,,5.0,0.0,,5.0,,21.0,,,,1.0,142.5,,18.0,-2.5,1.4,3.6,824.4(19),16.0,01-01-2014,,,
3266A,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2015,,,
