indicativo,p_max,n_cub,hr,nw_55,tm_min,ta_max,ts_min,nt_30,n_des,w_racha,np_100,n_nub,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2009
3268C,,,76.0,4.0,1.1,,6.6,0.0,,,2.0,,0.0,17.0,,197.0,64.0,0.0,56.6,9.0,10.0,0.2,4.4,7.7,8.0,01-01-2010
3268C,,,76.0,0.0,0.9,,7.1,0.0,,,3.0,,0.0,10.0,,111.0,70.0,0.0,64.2,5.0,10.0,4.3,5.6,10.1,9.0,01-01-2011
3268C,,,63.0,2.0,0.8,,5.1,0.0,,,0.0,,0.0,4.0,,139.0,58.0,0.0,4.0,6.0,12.0,5.3,6.9,13.0,1.0,01-01-2012
3268C,,,75.0,10.0,1.3,,8.1,0.0,,,3.0,,0.0,13.0,,228.0,67.0,0.0,83.0,9.0,9.0,1.2,5.6,9.9,11.0,01-01-2013
3268C,,,79.0,6.0,3.3,,7.8,0.0,,,4.0,,0.0,20.0,,222.0,76.0,0.0,90.2,9.0,0.0,4.4,6.6,9.8,15.0,01-01-2014
3268C,,,,9.0,1.0,,8.0,0.0,,,1.0,,0.0,8.0,,272.0,56.0,1.0,66.6,9.0,12.0,1.8,6.4,11.6,5.0,01-01-2015
3268C,,,,,,,,,,,,,,,,,,,,8.0,,,,,,01-01-2016
3268C,,,,,,,,,,,,,,,,,,,,3.0,,,,,,01-01-2017
3268C,,,71.0,6.0,2.0,,10.0,0.0,,,0.0,,0.0,11.0,,190.0,67.0,0.0,31.2,8.0,9.0,1.4,6.4,10.9,8.0,01-01-2018
3268C,,,57.0,7.0,0.9,,8.4,0.0,,,1.0,,0.0,6.0,,203.0,54.0,0.0,32.0,9.0,14.0,3.2,6.8,12.7,6.0,01-01-2019
3268C,,,72.0,2.0,1.6,,7.4,0.0,,,0.0,,0.0,11.0,,127.0,68.0,0.0,34.2,6.0,8.0,5.7,6.6,11.6,7.0,01-01-2020
3268C,,,,,,,,,,,,,,,,,,,,8.0,,,,,,01-01-2021
3268C,,5.0,58.0,3.0,0.6,,5.1,0.0,16.0,,0.0,10.0,0.0,3.0,,140.0,54.0,0.0,22.6,6.0,18.0,6.3,6.8,12.9,3.0,01-01-2022
3268C,,4.0,68.0,8.0,0.8,,6.8,0.0,8.0,,1.0,19.0,0.0,9.0,,227.0,63.0,0.0,37.2,9.0,14.0,3.4,6.0,11.2,5.0,01-01-2023
3268C,,11.0,78.0,2.0,3.2,,8.6,0.0,4.0,,2.0,16.0,0.0,12.0,,107.0,82.0,0.0,71.8,4.0,6.0,5.6,8.2,13.1,11.0,01-01-2024
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-02-2009
3268C,,,71.0,1.0,0.8,,5.9,0.0,,,3.0,,0.0,16.0,,174.0,64.0,0.0,100.2,7.0,10.0,1.4,5.3,9.7,15.0,01-02-2010
3268C,,,60.0,6.0,2.3,,8.0,0.0,,,0.0,,0.0,9.0,,208.0,61.0,0.0,28.8,9.0,3.0,6.0,7.8,13.3,7.0,01-02-2011
3268C,,,47.0,8.0,-1.2,,6.3,0.0,,,0.0,,0.0,4.0,,241.0,40.0,0.0,6.8,11.0,20.0,0.6,5.0,11.1,2.0,01-02-2012
3268C,,,71.0,12.0,1.5,,5.7,0.0,,,1.0,,0.0,18.0,,266.0,63.0,0.0,47.0,11.0,8.0,2.5,5.3,9.2,14.0,01-02-2013
3268C,,,77.0,3.0,1.4,,7.2,0.0,,,3.0,,0.0,20.0,,224.0,69.0,0.0,86.6,10.0,9.0,5.0,5.5,9.6,19.0,01-02-2014
3268C,,,67.0,11.0,0.9,,6.0,0.0,,,1.0,,1.0,11.0,,277.0,59.0,0.0,45.0,12.0,11.0,0.4,5.0,9.0,7.0,01-02-2015
3268C,,,69.0,11.0,1.9,,10.2,0.0,,,4.0,,0.0,12.0,,261.0,69.0,0.0,81.0,10.0,11.0,4.9,6.8,11.6,10.0,01-02-2016
3268C,,,69.0,3.0,2.5,,6.7,0.0,,,2.0,,0.0,11.0,,189.0,72.0,1.0,88.6,8.0,3.0,4.7,7.6,12.6,7.0,01-02-2017
3268C,,,60.0,2.0,-0.2,,5.1,0.0,,,2.0,,0.0,9.0,,191.0,53.0,0.0,50.0,8.0,16.0,2.4,4.6,9.4,6.0,01-02-2018
3268C,,,53.0,3.0,1.5,,4.9,0.0,,,0.0,,0.0,2.0,,133.0,57.0,0.0,1.8,6.0,5.0,5.1,8.4,15.3,1.0,01-02-2019
3268C,,,65.0,1.0,3.9,,9.0,0.0,,,0.0,,0.0,0.0,,136.0,79.0,0.0,0.0,6.0,1.0,10.0,10.2,16.5,0.0,01-02-2020
3268C,,,74.0,4.0,4.1,,7.9,0.0,,,4.0,,0.0,11.0,,155.0,80.0,0.0,102.2,7.0,1.0,7.4,8.5,12.9,9.0,01-02-2021
3268C,,8.0,56.0,2.0,2.7,,6.8,0.0,10.0,,1.0,10.0,0.0,4.0,,144.0,64.0,0.0,15.0,6.0,2.0,7.0,9.5,16.3,4.0,01-02-2022
3268C,,3.0,54.0,2.0,0.9,,5.4,0.0,13.0,,0.0,12.0,0.0,3.0,,159.0,52.0,0.0,1.8,7.0,10.0,4.3,6.8,12.6,0.0,01-02-2023
3268C,,10.0,66.0,7.0,4.1,,8.9,0.0,5.0,,2.0,14.0,0.0,9.0,,206.0,76.0,0.0,33.2,9.0,0.0,7.8,9.3,14.3,6.0,01-02-2024
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-03-2009
3268C,,,61.0,3.0,2.5,,9.2,0.0,,,1.0,,0.0,11.0,,189.0,64.0,0.0,62.1,9.0,7.0,3.1,7.5,12.3,10.0,01-03-2010
3268C,,,67.0,1.0,3.6,,8.1,0.0,,,4.0,,0.0,16.0,,204.0,72.0,0.0,88.8,9.0,5.0,2.7,8.1,12.6,11.0,01-03-2011
3268C,,,41.0,2.0,3.5,,8.9,0.0,,,1.0,,0.0,5.0,,166.0,52.0,0.0,19.8,8.0,3.0,4.8,10.5,17.4,2.0,01-03-2012
3268C,,,76.0,1.0,3.4,,7.8,0.0,,,4.0,,0.0,22.0,,189.0,78.0,0.0,145.2,8.0,5.0,4.1,7.6,11.7,22.0,01-03-2013
3268C,,,56.0,7.0,3.8,,10.1,0.0,,,3.0,,0.0,8.0,,222.0,67.0,0.0,76.1,9.0,2.0,7.9,9.7,15.6,6.0,01-03-2014
3268C,,,54.0,1.0,4.5,,10.9,0.0,,,1.0,,0.0,7.0,,224.0,65.0,0.0,29.2,10.0,3.0,6.6,10.3,16.1,5.0,01-03-2015
3268C,,,59.0,4.0,2.5,,7.8,0.0,,,2.0,,0.0,12.0,,242.0,62.0,0.0,55.4,11.0,5.0,7.1,7.9,13.3,10.0,01-03-2016
3268C,,,56.0,2.0,4.4,,9.8,0.0,,,1.0,,0.0,8.0,,180.0,71.0,0.0,28.4,8.0,4.0,5.4,10.4,16.5,7.0,01-03-2017
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-03-2018
3268C,,,45.0,0.0,3.6,,7.2,0.0,,,0.0,,0.0,2.0,,167.0,58.0,0.0,11.6,8.0,1.0,10.8,10.8,17.8,2.0,01-03-2019
3268C,,,65.0,5.0,4.9,,11.1,0.0,,,2.0,,0.0,13.0,,229.0,79.0,0.0,68.0,10.0,3.0,5.6,9.9,15.0,11.0,01-03-2020
3268C,,,55.0,0.0,3.7,,9.0,0.0,,,0.0,,0.0,4.0,,163.0,67.0,0.0,6.6,7.0,3.0,7.2,9.8,15.9,2.0,01-03-2021
3268C,,22.0,71.0,1.0,4.5,,10.2,0.0,1.0,,5.0,8.0,0.0,19.0,,206.0,78.0,0.0,137.4,8.0,1.0,8.9,8.5,12.4,13.0,01-03-2022
3268C,,6.0,53.0,1.0,5.0,,11.5,0.0,8.0,,1.0,17.0,0.0,5.0,,188.0,73.0,0.0,24.6,8.0,4.0,5.8,11.3,17.5,4.0,01-03-2023
3268C,,13.0,68.0,5.0,4.5,,12.4,0.0,3.0,,5.0,15.0,0.0,13.0,,179.0,83.0,0.0,108.4,8.0,1.0,6.9,9.8,15.0,10.0,01-03-2024
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-04-2009
3268C,,,55.0,0.0,6.9,,13.2,0.0,,,2.0,,0.0,11.0,,149.0,85.0,0.0,67.2,7.0,0.0,9.5,12.9,18.9,11.0,01-04-2010
3268C,,,54.0,0.0,8.7,,11.5,0.0,,,5.0,,0.0,10.0,,138.0,93.0,1.0,124.6,6.0,0.0,12.9,15.0,21.3,8.0,01-04-2011
3268C,,,65.0,2.0,5.0,,9.7,0.0,,,2.0,,0.0,19.0,,247.0,75.0,0.0,64.0,11.0,1.0,8.5,9.4,13.7,14.0,01-04-2012
3268C,,,55.0,0.0,5.2,,13.1,0.0,,,2.0,,0.0,9.0,,188.0,77.0,0.0,39.6,9.0,1.0,7.2,10.9,16.6,7.0,01-04-2013
3268C,,,53.0,0.0,8.5,,12.1,0.0,,,1.0,,0.0,7.0,,198.0,92.0,0.0,25.8,9.0,0.0,11.1,14.7,20.9,6.0,01-04-2014
3268C,,,,,,,,,,,,,,,,,81.0,,,7.0,,,,,,01-04-2015
3268C,,,62.0,1.0,5.1,,10.2,0.0,,,4.0,,0.0,19.0,,163.0,80.0,0.0,94.6,8.0,1.0,8.5,10.2,15.4,13.0,01-04-2016
3268C,,,38.0,1.0,6.6,,13.7,0.0,,,0.0,,0.0,8.0,,145.0,66.0,0.0,16.8,7.0,0.0,11.6,14.1,21.5,3.0,01-04-2017
3268C,,,,,,,,,,,,,,,,,,,,6.0,,,,,,01-04-2018
3268C,,,59.0,0.0,5.4,,11.7,0.0,,,3.0,,0.0,15.0,,196.0,77.0,0.0,79.4,9.0,1.0,6.7,10.9,16.3,11.0,01-04-2019
3268C,,,68.0,0.0,7.6,,10.8,0.0,,,4.0,,0.0,16.0,,141.0,101.0,0.0,94.4,7.0,0.0,13.3,12.4,17.2,13.0,01-04-2020
3268C,,,63.0,0.0,6.3,,10.5,0.0,,,3.0,,0.0,18.0,,133.0,88.0,0.0,95.8,7.0,1.0,11.4,11.8,17.1,14.0,01-04-2021
3268C,,10.0,54.0,1.0,5.2,,10.5,0.0,2.0,,1.0,15.0,0.0,12.0,,204.0,77.0,0.0,49.4,9.0,3.0,7.7,11.1,16.9,9.0,01-04-2022
3268C,,5.0,35.0,1.0,8.1,,15.9,1.0,9.0,,0.0,16.0,0.0,2.0,,219.0,68.0,0.0,5.4,10.0,0.0,12.8,15.4,22.7,1.0,01-04-2023
3268C,,6.0,49.0,0.0,6.1,,15.7,0.0,12.0,,0.0,10.0,0.0,4.0,,161.0,81.0,0.0,12.0,7.0,1.0,11.4,13.1,20.1,4.0,01-04-2024
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-05-2009
3268C,,,47.0,3.0,8.1,,14.0,1.0,,,1.0,,1.0,8.0,,201.0,85.0,0.0,39.2,9.0,0.0,9.3,14.4,20.7,6.0,01-05-2010
3268C,,,53.0,0.0,10.7,,17.3,2.0,,,4.0,,0.0,14.0,,128.0,112.0,0.0,84.6,5.0,0.0,17.3,17.5,24.3,9.0,01-05-2011
3268C,,,46.0,0.0,10.3,,16.7,6.0,,,2.0,,0.0,6.0,,165.0,92.0,0.0,36.6,7.0,0.0,13.3,17.3,24.1,4.0,01-05-2012
3268C,,,51.0,1.0,6.7,,12.8,0.0,,,1.0,,0.0,10.0,,204.0,78.0,0.0,32.0,9.0,0.0,9.6,12.8,18.9,8.0,01-05-2013
3268C,,,41.0,1.0,9.1,,14.6,0.0,,,0.0,,0.0,7.0,,189.0,80.0,0.0,27.4,8.0,0.0,13.7,15.9,22.6,5.0,01-05-2014
3268C,,,39.0,0.0,10.3,,17.0,7.0,,,0.0,,0.0,1.0,,159.0,89.0,0.0,3.6,8.0,0.0,18.8,18.1,25.8,1.0,01-05-2015
3268C,,,57.0,0.0,8.4,,11.9,0.0,,,,,0.0,,,167.0,94.0,,,8.0,0.0,11.7,14.2,19.9,,01-05-2016
3268C,,,44.0,1.0,10.8,,17.9,6.0,,,0.0,,0.0,9.0,,140.0,97.0,0.0,19.0,6.0,0.0,15.1,17.7,24.6,4.0,01-05-2017
3268C,,,,,,,,,,,,,,,,,,,,4.0,,,,,,01-05-2018
3268C,,,37.0,1.0,9.0,,16.0,3.0,,,0.0,,0.0,1.0,,200.0,80.0,0.0,1.4,9.0,0.0,15.6,16.6,24.2,1.0,01-05-2019
3268C,,,51.0,0.0,11.3,,17.5,4.0,,,1.0,,0.0,10.0,,144.0,114.0,1.0,78.2,6.0,0.0,14.0,18.2,24.9,9.0,01-05-2020
3268C,,,48.0,0.0,9.8,,16.0,1.0,,,0.0,,0.0,3.0,,215.0,96.0,0.0,10.8,10.0,0.0,15.2,16.0,22.2,2.0,01-05-2021
3268C,,8.0,41.0,0.0,11.2,,17.0,6.0,11.0,,1.0,12.0,0.0,3.0,,155.0,100.0,0.0,15.4,7.0,0.0,15.0,18.6,25.9,3.0,01-05-2022
3268C,,12.0,45.0,0.0,9.0,,15.4,0.0,5.0,,2.0,14.0,0.0,11.0,,195.0,87.0,1.0,94.2,9.0,0.0,15.3,15.8,22.5,9.0,01-05-2023
3268C,,6.0,45.0,1.0,9.0,,15.3,3.0,5.0,,0.0,20.0,0.0,5.0,,194.0,90.0,0.0,10.2,9.0,0.0,12.1,15.8,22.6,3.0,01-05-2024
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-06-2009
3268C,,,46.0,0.0,12.9,,18.7,14.0,,,1.0,,0.0,12.0,,156.0,111.0,0.0,48.6,7.0,0.0,13.6,19.6,26.3,6.0,01-06-2010
3268C,,,40.0,0.0,13.9,,21.6,12.0,,,1.0,,0.0,4.0,,170.0,107.0,0.0,27.8,8.0,0.0,18.2,21.0,28.0,2.0,01-06-2011
3268C,,,35.0,0.0,15.1,,23.5,11.0,,,0.0,,0.0,1.0,,218.0,95.0,0.0,4.0,9.0,0.0,20.8,22.0,28.9,1.0,01-06-2012
3268C,,,39.0,0.0,11.8,,17.3,12.0,,,0.0,,0.0,4.0,,182.0,96.0,0.0,8.4,8.0,0.0,17.2,19.2,26.5,2.0,01-06-2013
3268C,,,37.0,0.0,12.8,,17.5,4.0,,,0.0,,0.0,3.0,,165.0,98.0,0.0,2.2,8.0,0.0,21.9,20.1,27.2,1.0,01-06-2014
3268C,,,36.0,0.0,15.0,,22.6,18.0,,,0.0,,0.0,6.0,,136.0,105.0,0.0,13.0,6.0,0.0,19.9,22.4,29.8,4.0,01-06-2015
3268C,,,38.0,1.0,13.9,,19.6,14.0,,,,,0.0,,,204.0,107.0,,,8.0,0.0,18.4,21.2,28.5,,01-06-2016
3268C,,,35.0,1.0,16.7,,23.8,21.0,,,0.0,,0.0,6.0,,180.0,113.0,0.0,24.2,7.0,0.0,19.3,24.0,31.2,5.0,01-06-2017
3268C,,,49.0,0.0,13.6,,19.8,10.0,,,1.0,,0.0,10.0,,163.0,124.0,0.0,24.4,7.0,0.0,16.2,20.2,26.7,6.0,01-06-2018
3268C,,,31.0,1.0,13.5,,22.2,12.0,,,0.0,,0.0,1.0,,208.0,88.0,0.0,1.4,9.0,0.0,18.7,21.0,28.4,1.0,01-06-2019
3268C,,,41.0,0.0,13.8,,20.9,10.0,,,0.0,,0.0,2.0,,196.0,108.0,0.0,4.8,8.0,0.0,15.8,20.6,27.2,2.0,01-06-2020
3268C,,,45.0,1.0,13.9,,18.2,12.0,,,2.0,,0.0,8.0,,165.0,116.0,0.0,54.0,8.0,0.0,19.1,20.7,27.5,7.0,01-06-2021
3268C,,6.0,34.0,0.0,15.3,,22.1,13.0,7.0,,0.0,17.0,0.0,2.0,,182.0,104.0,0.0,2.2,8.0,0.0,22.5,22.6,29.8,1.0,01-06-2022
3268C,,12.0,52.0,0.0,14.9,,21.3,11.0,7.0,,3.0,11.0,0.0,11.0,,124.0,143.0,0.0,72.4,6.0,0.0,18.8,21.6,28.2,9.0,01-06-2023
3268C,,9.0,47.0,1.0,13.4,,18.8,8.0,8.0,,3.0,13.0,0.0,9.0,,161.0,121.0,0.0,67.2,7.0,0.0,19.5,20.2,27.0,5.0,01-06-2024
3268C,,,,,,,,,,,,,,,,,,,,,,,,,,01-07-2009
3268C,,,30.0,0.0,18.3,,23.4,30.0,,,0.0,,0.0,2.0,,151.0,113.0,0.0,2.2,7.0,0.0,29.9,25.9,33.5,1.0,01-07-2010
3268C,,,34.0,1.0,15.6,,19.4,17.0,,,0.0,,0.0,0.0,,217.0,100.0,0.0,0.0,9.0,0.0,23.2,22.8,30.0,0.0,01-07-2011
3268C,,,30.0,2.0,16.2,,21.7,24.0,,,0.0,,0.0,1.0,,214.0,92.0,0.0,3.6,9.0,0.0,23.7,23.8,31.5,1.0,01-07-2012
3268C,,,35.0,0.0,17.3,,20.4,27.0,,,1.0,,0.0,6.0,,137.0,115.0,0.0,22.8,6.0,0.0,21.8,24.9,32.5,5.0,01-07-2013
3268C,,,37.0,0.0,15.7,,20.5,18.0,,,0.0,,0.0,2.0,,185.0,108.0,0.0,18.4,8.0,0.0,22.6,23.0,30.2,2.0,01-07-2014
3268C,,,,,,,,,,,,,,,,,113.0,,,8.0,,,,,,01-07-2015
3268C,,,33.0,1.0,17.7,,23.2,27.0,,,,,0.0,,,166.0,120.0,,,7.0,0.0,27.4,25.7,33.5,,01-07-2016
