fecha;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;presmax;horapresmax;presmin;horapresmin;hrmedia;hrmax;horahrmax;hrmin;horahrmin
2001-01-01;763;7.0;0.0;5.0;00:00;9.1;Varias;;;;;931.2;00;923.3;Varias;91.0;93.0;Varias;76.0;20:20
2001-01-02;763;7.6;0.0;5.7;23:45;9.5;13:30;;;;;934.0;24;924.7;Varias;75.0;88.0;03:20;62.0;14:55
2001-01-03;763;5.8;0.0;4.1;03:50;7.6;23:59;;;;;935.6;Varias;930.4;24;83.0;93.0;Varias;79.0;00:00
2001-01-04;763;9.2;0.0;7.3;23:10;11.2;11:00;;;;;935.9;11;929.5;01;73.0;93.0;Varias;60.0;06:30
2001-01-05;763;10.0;0.0;6.6;23:55;13.4;13:00;;;;;933.2;00;922.1;Varias;87.0;94.0;Varias;75.0;14:30
2001-01-06;763;6.6;0.0;4.0;Varias;9.2;Varias;;;;;931.0;24;921.3;02;66.0;91.0;03:25;53.0;Varias
2001-01-07;763;5.2;0.0;2.5;Varias;7.9;14:10;;;;;937.8;23;931.0;00;57.0;65.0;Varias;46.0;14:30
2001-01-08;763;4.8;0.0;1.4;Varias;8.3;10:40;14.0;0.6;4.7;12:40;938.4;11;934.2;24;64.0;78.0;19:15;49.0;10:40
2001-01-09;763;2.5;0.0;1.0;05:15;4.0;Varias;;;;;934.2;00;929.2;15;86.0;91.0;Varias;72.0;Varias
2001-01-10;763;6.8;0.0;4.0;00:00;9.7;23:30;;;;;932.3;Varias;927.4;24;92.0;93.0;Varias;90.0;00:00
2001-01-11;763;7.8;0.0;5.8;23:55;9.7;Varias;;;;;927.4;Varias;923.1;16;91.0;93.0;09:20;84.0;15:25
2001-01-12;763;5.7;0.0;3.5;Varias;7.9;14:35;;;;;930.6;24;922.9;04;90.0;93.0;Varias;85.0;16:10
2001-01-13;763;7.6;0.0;1.8;07:30;13.5;13:40;;;;;935.5;19;930.4;01;64.0;92.0;02:40;42.0;15:00
2001-01-14;763;7.8;0.0;3.0;03:30;12.5;13:20;;;;;935.0;10;932.8;15;62.0;84.0;23:59;51.0;13:20
2001-01-15;763;5.1;0.0;2.2;07:50;8.0;11:40;;;;;933.9;00;931.9;Varias;87.0;91.0;Varias;77.0;Varias
2001-01-16;763;4.6;0.0;2.8;20:55;6.5;12:50;;;;;934.1;Varias;931.9;05;85.0;93.0;Varias;75.0;05:35
2001-01-17;763;5.0;2.8;1.6;08:10;8.5;11:20;;;;;937.3;11;933.7;01;76.0;94.0;00:15;63.0;09:50
2001-01-18;763;5.6;3.0;2.7;23:05;8.6;14:00;;;;;935.8;00;928.1;17;81.0;94.0;Varias;67.0;15:10
2001-01-19;763;7.0;0.0;4.1;00:00;10.0;12:20;;;;;942.5;Varias;930.5;Varias;60.0;80.0;00:05;49.0;Varias
2001-01-20;763;6.1;0.0;1.2;23:55;11.0;11:10;18.0;0.0;3.9;16:20;943.5;Varias;941.6;Varias;62.0;90.0;23:45;48.0;Varias
2001-01-21;763;5.0;0.0;-0.7;07:30;10.8;13:50;;;;;943.4;00;936.9;24;76.0;93.0;Varias;58.0;Varias
2001-01-22;763;3.9;0.0;0.8;Varias;7.0;23:10;;;;;936.9;00;932.6;15;85.0;93.0;Varias;79.0;13:00
2001-01-23;763;9.0;3.9;6.6;00:00;11.5;21:40;;;;;934.9;11;930.6;24;82.0;93.0;Varias;74.0;21:40
2001-01-24;763;8.8;5.6;7.1;Varias;10.6;Varias;;;;;930.6;00;927.4;Varias;81.0;92.0;Varias;64.0;14:55
2001-01-25;763;5.0;1.1;2.5;07:10;7.5;Varias;;;;;934.6;24;928.0;01;78.0;89.0;03:30;62.0;Varias
2001-01-26;763;5.2;5.0;0.5;02:50;9.9;Varias;;;;;934.9;03;926.7;Varias;85.0;94.0;10:25;72.0;00:30
2001-01-27;763;9.8;0.5;7.6;07:30;12.1;15:00;;;;;931.6;04;922.4;24;77.0;87.0;13:45;64.0;08:45
2001-01-28;763;6.2;5.0;3.6;19:30;8.8;00:00;26.0;3.9;20.3;13:00;927.7;24;916.9;15;59.0;83.0;Varias;46.0;09:50
2001-01-29;763;5.6;0.0;2.7;02:10;8.6;15:50;32.0;0.3;14.2;16:00;939.1;22;926.8;03;59.0;75.0;02:15;48.0;16:00
2001-01-30;763;5.8;0.0;1.2;Varias;10.4;15:20;36.0;3.1;13.3;01:50;941.1;12;938.4;01;53.0;66.0;23:45;40.0;Varias
2001-01-31;763;10.1;0.0;7.3;Varias;12.9;15:10;31.0;2.2;11.7;00:00;940.3;Varias;937.4;15;60.0;67.0;03:00;55.0;12:45
2001-02-01;763;11.1;0.0;7.1;06:40;15.1;13:20;21.0;1.4;9.4;00:00;941.4;Varias;939.3;15;62.0;74.0;06:50;52.0;13:25
2001-02-02;763;10.2;0.0;4.4;23:45;16.0;14:30;35.0;2.2;10.0;12:10;940.1;Varias;937.4;16;54.0;74.0;23:59;42.0;Varias
2001-02-03;763;7.2;0.0;1.9;07:45;12.5;Varias;18.0;0.8;5.6;14:40;939.4;Varias;935.5;16;71.0;86.0;Varias;61.0;Varias
2001-02-04;763;6.7;0.1;2.8;04:00;10.6;12:30;;;;;935.7;00;932.5;15;76.0;92.0;05:00;53.0;12:10
2001-02-05;763;6.4;6.2;2.7;06:55;10.0;18:00;;;;;936.6;11;932.8;Varias;88.0;93.0;Varias;79.0;01:30
2001-02-06;763;8.6;18.7;7.6;23:59;9.5;Varias;;;;;932.8;Varias;926.6;24;82.0;94.0;Varias;70.0;Varias
2001-02-07;763;6.0;26.6;3.9;23:00;8.0;17:20;;;;;927.2;01;920.6;13;85.0;94.0;Varias;67.0;17:20
2001-02-08;763;6.6;6.2;3.9;05:10;9.2;14:25;;;;;938.1;24;925.1;Varias;71.0;91.0;Varias;53.0;15:20
2001-02-09;763;6.4;0.5;3.2;04:05;9.6;13:20;22.0;0.8;6.7;13:40;944.4;24;937.9;Varias;63.0;87.0;23:59;48.0;10:45
2001-02-10;763;11.2;0.0;5.6;03:40;16.8;15:00;;;;;951.0;24;944.3;00;75.0;92.0;Varias;52.0;Varias
2001-02-11;763;11.2;0.1;5.3;01:40;17.0;15:10;;;;;952.0;10;949.3;Varias;73.0;93.0;Varias;53.0;Varias
2001-02-12;763;11.0;0.0;4.0;Varias;18.0;14:40;35.0;0.0;5.8;19:50;951.0;00;945.8;16;71.0;92.0;Varias;48.0;Varias
2001-02-13;763;11.5;0.0;4.0;07:00;19.0;14:20;36.0;1.4;11.7;22:30;946.3;00;934.4;Varias;63.0;91.0;08:00;37.0;14:40
2001-02-14;763;4.8;0.6;0.3;06:40;9.4;00:35;36.0;1.7;10.8;01:00;936.9;24;933.1;Varias;68.0;85.0;Varias;56.0;Varias
2001-02-15;763;7.8;0.0;3.0;Varias;12.5;Varias;5.0;1.1;10.6;16:10;943.3;24;936.7;Varias;66.0;86.0;00:40;49.0;Varias
2001-02-16;763;8.7;0.0;3.3;05:00;14.1;15:20;11.0;1.1;6.9;10:10;945.2;24;941.7;Varias;55.0;76.0;04:55;38.0;Varias
2001-02-17;763;8.6;0.0;0.6;06:50;16.5;13:40;35.0;3.3;13.6;18:50;945.3;Varias;941.0;15;49.0;65.0;07:15;30.0;Varias
2001-02-18;763;6.0;1.6;0.8;07:00;11.2;14:20;35.0;1.9;12.8;16:40;942.7;Varias;939.2;15;52.0;87.0;Varias;39.0;05:20
2001-02-19;763;5.8;0.0;0.9;01:35;10.8;14:30;8.0;2.5;9.2;13:30;946.0;23;942.7;00;58.0;87.0;02:45;46.0;Varias
2001-02-20;763;8.6;0.0;1.2;05:30;16.1;15:10;13.0;0.8;4.7;11:40;945.6;00;940.5;16;57.0;76.0;Varias;35.0;16:10
2001-02-21;763;7.8;0.0;-0.3;05:30;16.0;15:10;22.0;0.6;4.4;11:50;942.6;10;939.6;16;52.0;72.0;07:40;35.0;16:05
2001-02-22;763;;;;;;;;1.7;;;;;;;45.0;;;;
2001-02-23;763;11.0;0.0;7.5;Varias;14.5;15:50;99.0;2.2;8.1;13:10;932.6;00;922.9;24;51.0;80.0;23:50;36.0;Varias
2001-02-24;763;9.0;0.0;5.1;23:50;13.0;14:20;36.0;2.5;10.6;20:30;925.0;Varias;920.7;15;58.0;86.0;02:35;46.0;14:30
2001-02-25;763;5.4;0.0;0.4;23:59;10.4;12:00;35.0;2.8;10.3;03:30;931.6;24;925.0;00;47.0;60.0;07:20;41.0;Varias
2001-02-26;763;2.4;0.0;-3.7;Varias;8.5;Varias;99.0;2.2;7.8;15:40;931.8;01;921.5;24;58.0;75.0;Varias;47.0;Varias
2001-02-27;763;4.0;0.2;0.8;10:25;7.3;14:20;32.0;4.2;17.5;10:20;921.5;00;918.2;16;54.0;80.0;10:30;45.0;Varias
2001-02-28;763;4.5;0.0;0.9;Varias;8.1;Varias;31.0;4.4;16.9;07:50;924.6;Varias;920.2;Varias;51.0;64.0;Varias;44.0;13:05
2001-03-01;763;3.6;20.2;2.0;02:55;5.1;16:50;23.0;1.1;5.8;07:25;924.6;00;915.7;24;89.0;94.0;13:10;64.0;00:00
2001-03-02;763;8.4;12.4;5.0;00:00;11.8;10:50;;;;;915.7;00;907.5;15;86.0;95.0;Varias;77.0;12:30
2001-03-03;763;9.9;11.2;7.9;05:40;11.9;16:10;;;;;921.1;23;912.2;02;79.0;91.0;Varias;66.0;18:40
2001-03-04;763;9.3;14.9;8.0;Varias;10.6;Varias;;;;;924.4;24;919.1;11;86.0;94.0;Varias;77.0;Varias
2001-03-05;763;10.6;1.5;8.1;06:10;13.1;15:10;;;;;931.9;Varias;924.4;00;83.0;94.0;00:10;73.0;15:05
2001-03-06;763;15.0;5.0;10.8;Varias;19.2;13:10;;;;;931.6;01;926.6;17;74.0;91.0;Varias;48.0;14:25
2001-03-07;763;10.8;3.0;7.3;22:20;14.2;12:00;;;;;931.1;02;925.7;Varias;77.0;88.0;Varias;63.0;17:20
2001-03-08;763;9.2;1.0;6.9;07:00;11.5;12:40;;;;;930.4;Varias;927.7;14;79.0;90.0;Varias;70.0;Varias
2001-03-09;763;10.5;0.2;8.6;Varias;12.4;13:30;;;;;934.1;23;929.7;02;83.0;90.0;Varias;76.0;Varias
2001-03-10;763;14.0;1.7;10.6;00:00;17.5;12:10;;;;;937.3;22;933.6;Varias;79.0;90.0;Varias;68.0;12:10
2001-03-11;763;14.6;0.0;10.9;04:30;18.3;16:10;;;;;936.9;Varias;931.2;23;70.0;92.0;Varias;53.0;Varias
2001-03-12;763;9.7;1.8;5.9;23:59;13.5;Varias;;;;;936.1;24;929.5;08;69.0;87.0;11:40;44.0;16:10
2001-03-13;763;9.6;0.0;4.1;06:50;15.1;15:20;35.0;1.7;11.9;20:00;939.2;10;935.2;04;53.0;65.0;Varias;42.0;Varias
2001-03-14;763;8.6;0.0;2.0;Varias;15.3;15:00;32.0;0.6;10.8;00:30;938.1;01;932.3;Varias;63.0;85.0;07:00;48.0;15:50
2001-03-15;763;;;;;;;;1.4;;;;;;;58.0;;;;
2001-03-16;763;;6.4;;;;;;4.2;;;;;;;72.0;;;;
2001-03-17;763;6.7;0.0;1.9;06:25;11.5;15:30;23.0;1.1;9.2;16:50;928.5;09;924.7;00;68.0;88.0;01:40;56.0;Varias
2001-03-18;763;8.5;0.0;4.7;05:25;12.3;15:35;23.0;0.8;11.9;17:20;932.4;24;927.1;04;76.0;89.0;Varias;67.0;10:00
2001-03-19;763;9.8;0.0;5.9;01:00;13.7;Varias;;;;;934.9;21;932.2;03;78.0;92.0;Varias;68.0;13:35
2001-03-20;763;12.4;0.0;8.4;Varias;16.5;12:20;23.0;1.7;13.9;16:40;934.2;00;932.2;Varias;68.0;92.0;Varias;52.0;Varias
2001-03-21;763;13.0;0.0;11.3;07:50;14.8;11:10;22.0;4.7;19.7;15:50;933.4;00;929.6;16;72.0;82.0;Varias;66.0;Varias
2001-03-22;763;14.4;0.0;9.4;23:55;19.3;16:20;22.0;0.0;14.7;00:30;932.0;11;927.8;Varias;73.0;93.0;Varias;47.0;16:50
2001-03-23;763;15.6;0.6;8.7;06:20;22.6;14:30;23.0;0.6;10.8;15:30;929.0;00;920.6;24;51.0;87.0;00:20;32.0;15:30
2001-03-24;763;11.4;1.1;7.4;22:50;15.3;Varias;22.0;5.0;17.5;09:10;924.2;24;918.9;03;69.0;84.0;06:40;52.0;01:05
2001-03-25;763;8.0;1.6;4.6;23:59;11.4;12:50;99.0;4.4;12.8;Varias;925.3;Varias;923.2;Varias;71.0;87.0;03:50;62.0;Varias
2001-03-26;763;8.6;7.0;4.6;00:00;12.7;13:50;;;;;927.2;24;921.6;14;80.0;93.0;Varias;58.0;14:50
2001-03-27;763;8.7;0.2;4.0;02:30;13.4;15:00;;;;;929.8;Varias;926.9;04;67.0;89.0;Varias;45.0;14:55
2001-03-28;763;11.6;0.0;7.3;Varias;15.8;14:25;35.0;1.7;8.1;14:40;932.2;Varias;929.5;Varias;53.0;70.0;23:15;39.0;Varias
2001-03-29;763;11.0;0.1;6.9;Varias;15.1;13:20;32.0;5.8;16.7;22:20;934.3;24;929.7;Varias;58.0;88.0;06:55;40.0;14:20
2001-03-30;763;13.6;0.1;8.8;Varias;18.4;13:50;31.0;3.9;13.1;13:10;936.9;24;933.9;Varias;66.0;72.0;Varias;53.0;13:30
2001-03-31;763;15.9;0.0;10.5;05:40;21.3;Varias;33.0;2.8;13.9;04:40;937.5;01;933.6;Varias;54.0;70.0;Varias;41.0;Varias
2001-04-01;763;14.8;0.0;9.7;04:20;20.0;15:10;12.0;2.2;7.2;10:40;936.9;Varias;932.6;Varias;54.0;77.0;Varias;36.0;Varias
2001-04-02;763;11.5;0.0;6.4;06:20;16.6;14:00;99.0;2.5;10.0;Varias;935.8;Varias;933.0;Varias;58.0;68.0;Varias;47.0;00:10
2001-04-03;763;10.6;0.0;5.5;02:55;15.8;Varias;22.0;2.2;8.3;16:50;935.9;07;932.5;Varias;62.0;84.0;06:50;45.0;Varias
2001-04-04;763;11.4;0.0;5.6;Varias;17.2;14:10;18.0;1.4;6.7;12:50;937.6;22;933.7;03;69.0;86.0;21:40;54.0;14:10
2001-04-05;763;15.0;0.0;10.0;Varias;19.9;Varias;32.0;2.5;9.2;21:00;939.2;10;936.2;Varias;59.0;86.0;Varias;49.0;Varias
2001-04-06;763;14.4;0.0;7.9;06:10;20.8;14:30;30.0;2.2;14.2;23:50;938.3;00;933.8;17;64.0;89.0;Varias;49.0;15:10
2001-04-07;763;10.9;0.0;7.2;23:59;14.6;15:10;27.0;3.9;18.1;18:00;939.3;24;934.4;04;51.0;62.0;23:50;42.0;14:20
2001-04-08;763;11.6;0.0;5.8;Varias;17.3;Varias;31.0;3.1;14.7;10:30;942.6;23;939.3;00;48.0;67.0;Varias;37.0;16:45
2001-04-09;763;13.1;0.0;3.3;05:50;22.9;15:30;35.0;1.4;9.2;16:30;942.8;Varias;937.9;Varias;46.0;77.0;06:10;32.0;Varias
2001-04-10;763;16.8;0.0;10.5;05:40;23.0;13:40;35.0;3.9;13.6;23:59;940.4;00;936.2;16;44.0;62.0;05:20;36.0;14:30
2001-04-11;763;12.6;0.0;7.1;23:00;18.0;14:40;33.0;2.8;16.1;01:50;939.7;22;937.5;03;45.0;59.0;23:00;37.0;13:00
2001-04-12;763;10.5;0.0;0.1;Varias;20.9;14:30;15.0;1.4;11.1;16:00;939.9;Varias;935.0;16;50.0;81.0;06:05;38.0;14:50
2001-04-13;763;12.0;0.0;3.3;04:50;20.6;13:40;28.0;2.2;12.8;19:20;936.7;Varias;930.5;16;49.0;69.0;Varias;37.0;14:50
2001-04-14;763;11.0;0.0;0.9;05:10;21.1;15:10;14.0;1.7;8.1;19:30;937.4;24;933.0;16;53.0;86.0;06:10;34.0;15:30
2001-04-15;763;13.6;0.0;3.5;05:50;23.6;15:10;36.0;1.7;10.0;23:40;937.4;00;931.4;16;42.0;65.0;04:05;32.0;Varias
2001-04-16;763;18.2;0.0;12.7;23:00;23.7;12:30;99.0;1.1;10.6;02:35;932.7;00;927.2;17;46.0;56.0;22:55;38.0;Varias
2001-04-17;763;14.6;0.3;9.4;05:50;19.7;Varias;26.0;2.5;8.3;17:40;928.6;00;922.9;17;57.0;79.0;23:59;40.0;14:10
2001-04-18;763;12.0;0.0;5.9;23:59;18.0;16:40;9.0;1.7;6.7;00:30;927.9;11;924.9;17;66.0;86.0;05:45;41.0;17:10
2001-04-19;763;11.3;0.0;3.6;05:10;19.0;13:30;21.0;1.9;11.7;20:30;927.0;00;921.2;17;54.0;87.0;Varias;40.0;18:00
2001-04-20;763;9.3;0.0;1.9;06:05;16.7;14:05;4.0;2.8;10.6;17:50;930.4;24;924.8;Varias;47.0;72.0;Varias;34.0;15:00
2001-04-21;763;8.5;0.0;2.5;05:40;14.5;15:10;31.0;3.6;12.2;18:00;932.8;09;929.5;Varias;47.0;62.0;Varias;39.0;Varias
2001-04-22;763;13.2;0.0;7.4;04:00;18.9;14:05;31.0;3.3;13.3;19:30;929.9;00;924.4;18;54.0;81.0;23:59;47.0;Varias
2001-04-23;763;13.5;0.0;9.0;Varias;18.0;13:10;22.0;3.6;13.3;17:50;928.6;23;925.1;Varias;66.0;91.0;Varias;56.0;15:10
2001-04-24;763;13.1;0.0;9.4;05:10;16.8;16:50;23.0;4.4;13.6;22:20;930.8;24;927.5;17;62.0;84.0;04:20;51.0;15:50
2001-04-25;763;12.4;0.0;6.8;05:50;18.1;15:10;99.0;1.9;10.6;Varias;937.4;Varias;930.8;00;44.0;72.0;00:00;35.0;Varias
2001-04-26;763;12.4;0.0;4.6;03:10;20.3;16:00;35.0;2.2;8.9;20:40;937.7;Varias;930.8;19;41.0;68.0;03:25;33.0;Varias
2001-04-27;763;13.4;0.0;8.2;23:30;18.6;14:30;35.0;3.9;14.2;07:10;935.8;Varias;932.0;02;48.0;68.0;05:20;39.0;Varias
2001-04-28;763;13.2;0.0;4.6;05:20;21.7;15:40;99.0;2.8;8.3;Varias;936.3;Varias;928.6;24;47.0;74.0;05:45;37.0;Varias
