indicativo,p_max,hr,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,q_min,np_010,fecha,n_cub,n_des,n_nub
3338,,75.0,943.5(20),,1025.3,932.1,3.5,,7.6,0.0,,0.0,,8.0,,,74.0,0.0,26.9,,1.0,4.0,6.6,9.6,916.9(28),7.0,01-01-2001,,,
3338,,74.0,949.2(11),,1035.9,941.7,2.4,,6.8,0.0,,3.0,,11.0,,,72.0,0.0,83.4,,6.0,6.5,6.5,10.6,926.9(23),8.0,01-01-2002,,,
3338,,65.0,956.0(13),,1030.2,936.1,1.0,,8.7,0.0,,2.0,,21.0,,,59.0,0.0,57.9,,12.0,5.1,5.6,10.2,917.9(05),8.0,01-01-2003,,,
3338,,66.0,943.3(10),4.0,1028.1,935.0,2.7,,10.7,0.0,,0.0,0.0,8.0,,167.0,71.0,0.0,8.2,6.0,10.0,6.0,7.5,12.4,925.2(26),2.0,01-01-2004,,,
3338,,64.0,953.0(06),5.0,1036.5,941.8,-1.0,,5.5,0.0,,0.0,0.0,3.0,,144.0,56.0,0.0,1.6,6.0,17.0,1.9,5.5,11.8,928.7(26),0.0,01-01-2005,,,
3338,,69.0,946.6(11),,1029.6,935.4,0.5,,4.5,0.0,,2.0,,11.0,,,59.0,0.0,34.4,,10.0,2.8,4.7,8.8,923.3(06),3.0,01-01-2006,,,
3338,,,,,,,,,,,,1.0,,16.0,,,,0.0,18.6,,,,,,,2.0,01-01-2007,,,
3338,,,950.5(27),,1033.6,940.0,,,,,,,,,,,67.0,,,,,,,,918.2(04),,01-01-2008,,,
3338,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2009,,,
3338,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2010,,,
3338,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2011,,,
3338,,59.0,952.5(19),,1034.9,940.7,1.0,,5.7,0.0,,0.0,,3.0,,,56.0,0.0,4.6,4.0,10.0,5.8,6.8,12.5,927.3(16),2.0,01-01-2012,,,
3338,,63.0,953.5(04),,1030.0,936.1,2.3,,9.0,0.0,,,,,,,58.0,,,,7.0,3.1,6.1,9.9,898.4(19),,01-01-2013,,,
3338,,64.0,944.0(24),,1024.4,931.5,4.1,,9.1,0.0,,0.0,,18.0,,,65.0,0.0,34.0,,0.0,5.7,7.3,10.5,911.5(19),9.0,01-01-2014,,,
3338,,,957.3(09),4.0,,939.2,,,,,,,0.0,,,97.0,,,,4.0,,,,,911.1(31),,01-01-2015,,,
3338,,,949.8(31),,,937.3,,,,,,,,,,,,,,,,,,,918.7(04),,01-01-2016,,,
3338,,,944.9(07),4.0,,937.1,,,,,,,0.0,,,175.0,,,,7.0,,,,,923.7(27),,01-01-2017,,,
3338,,61.0,,,,,2.1,,8.0,0.0,,1.0,,10.0,,,58.0,0.0,37.5,,6.0,2.0,6.4,10.7,,7.0,01-01-2018,,,
