indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3343Y,,81.0,5.0,0.3,,8.6,0.0,,0.0,0.0,16.0,,209.0,69.0,0.0,38.6,9.0,18.0,0.3,3.9,7.4,9.0,01-01-2009,,,
3343Y,,81.0,4.0,1.4,,6.6,0.0,,2.0,0.0,14.0,,212.0,69.0,0.0,50.6,9.0,10.0,-1.0,4.3,7.3,6.0,01-01-2010,,,
3343Y,,80.0,1.0,1.7,,7.3,0.0,,3.0,0.0,13.0,,151.0,74.0,0.0,71.4,7.0,8.0,3.9,5.3,9.0,10.0,01-01-2011,,,
3343Y,,68.0,0.0,1.0,,5.7,0.0,,0.0,0.0,4.0,,149.0,63.0,0.0,8.8,7.0,6.0,3.0,6.4,11.7,2.0,01-01-2012,,,
3343Y,,77.0,11.0,1.9,,6.7,0.0,,1.0,0.0,15.0,,251.0,69.0,0.0,48.2,11.0,7.0,2.0,5.6,9.2,8.0,01-01-2013,,,
3343Y,,79.0,8.0,3.6,,8.2,0.0,,4.0,0.0,18.0,,269.0,79.0,0.0,96.4,11.0,1.0,5.6,6.7,9.7,12.0,01-01-2014,,,
3343Y,,62.0,5.0,1.6,,9.7,0.0,,1.0,0.0,6.0,,237.0,58.0,0.0,26.8,9.0,6.0,1.7,6.3,10.9,4.0,01-01-2015,,,
3343Y,,,,,,,,,,,,,,,,,11.0,,,,,,01-01-2016,,,
3343Y,,67.0,5.0,0.9,,6.4,0.0,,1.0,0.0,3.0,,213.0,61.0,0.0,25.8,9.0,12.0,3.6,5.3,9.6,3.0,01-01-2017,,,
3343Y,,,,,,,,,,,,,,,,,,,,,,,01-01-2018,,,
3343Y,,60.0,7.0,1.6,,9.2,0.0,,1.0,0.0,4.0,,199.0,57.0,0.0,27.2,9.0,7.0,2.5,6.6,11.6,4.0,01-01-2019,,,
3343Y,,77.0,3.0,2.4,,8.3,0.0,,1.0,0.0,13.0,,177.0,73.0,0.0,34.6,7.0,6.0,6.1,6.4,10.3,6.0,01-01-2020,,,
3343Y,,,,,,,,,,,,,,,,,9.0,,,,,,01-01-2021,,,
3343Y,,60.0,2.0,1.6,,6.7,0.0,,0.0,0.0,3.0,,155.0,58.0,0.0,11.8,6.0,10.0,6.6,6.7,11.7,2.0,01-01-2022,6.0,16.0,9.0
